1983/043   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:01:29 0.72 246.31 292.98  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.83 530.2 223357.
 0:04:11 0.72 246.31 292.96  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.40 546.6 305228.
 0:06:53 0.72 246.31 292.94  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.94 553.9 290000.
 0:09:35 0.72 246.31 292.91  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.76 546.5 407506.
 0:12:17 0.72 246.31 292.89  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.05 551.3 345389.
 0:14:59 0.72 246.32 292.87  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.62 546.6 283233.
 0:17:41 0.72 246.32 292.84  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.45 528.2 246428.
 0:20:23 0.72 246.32 292.82  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.72 542.3 283324.
 0:23:05 0.72 246.32 292.79  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.95 563.5 291127.
 0:25:47 0.72 246.32 292.77  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.19 566.4 357184.
 0:28:29 0.72 246.32 292.74  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.45 550.4 307106.
 0:31:11 0.72 246.32 292.72  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.26 546.5 290935.
 0:33:53 0.72 246.32 292.69  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.22 547.8 334715.
 0:36:35 0.72 246.32 292.67  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.90 545.9 274046.
 0:39:17 0.72 246.32 292.65  5.27 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.******1191.35485632.
