1975/043   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:15 0.64 354.34  87.79 -6.33 1624   4.47   691.5 213151. -1.15 -1.68  10.54  -1.68   5.68 0.18 0.34 0.23  0.15 761.6 712270.  4.23 692.9 175936.
 0:00:56 0.64 354.34  87.78 -6.33 1624   4.58   704.2 240230. -1.01 -2.46  10.36  -1.47   6.27 0.27 0.31 0.34  0.20 767.21302294.  4.15 705.1 197974.
 0:01:36 0.64 354.34  87.77 -6.33 1624   4.51   707.2 205874. -0.95 -2.57  10.24  -1.77   6.31 0.20 0.30 0.27  0.18 778.71316223.  4.45 701.7 190438.
 0:03:38 0.64 354.34  87.76 -6.33 1624   5.39   710.7 306654.  0.00  0.00   8.07  -7.02  -1.24 1.12 1.24 1.72  0.22 755.11365288.  4.64 704.2 265698.
 0:04:18 0.64 354.34  87.75 -6.33 1624   5.43   685.1 281654.  2.46  1.61   8.43  -7.17  -1.34 0.47 0.83 0.38  0.18 754.8 895431.  4.74 694.6 323391.
 0:04:59 0.64 354.34  87.74 -6.33 1624   5.17   692.3 200625.  2.88  0.34   8.62  -7.08   1.81 0.65 1.12 0.82  0.18 768.61086492.  4.99 689.7 248234.
 0:05:39 0.64 354.34  87.74 -6.33 1624   5.10   682.7 229159.  2.75  0.47   8.84  -7.02  -0.25 1.24 1.39 0.64  0.15 763.0 875057.  4.69 682.9 206602.
 0:06:20 0.64 354.34  87.73 -6.33 1624   5.35   706.1 262423.  4.30  0.06   7.90  -8.52   1.41 0.59 0.52 0.33  0.18 770.61503750.  5.32 697.4 279367.
 0:07:00 0.64 354.34  87.73 -6.33 1624   5.15   699.0 254003.  3.90  0.02   8.79  -7.24   1.91 0.38 0.79 0.74  0.20 738.41240131.  4.73 693.0 226457.
 0:07:41 0.64 354.34  87.72 -6.33 1624   5.26   677.3 192465.  1.61 -0.67   9.84  -4.69   3.66 0.69 0.70 0.97  0.22 756.01656558.  5.20 677.4 255927.
 0:08:21 0.64 354.34  87.71 -6.33 1624   5.46   687.3 251353.  2.56 -1.10   8.88  -6.04   3.73 0.33 0.99 1.09  0.20 752.5 880462.  5.09 689.6 291738.
 0:09:02 0.64 354.34  87.71 -6.33 1624   6.32   700.1 330355.  0.78 -3.45   9.08  -5.05   4.53 0.59 0.89 0.89  0.20 750.51445122.  6.11 698.2 303120.
