1978/248   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:01:33 0.89 120.87 319.07 -3.29 1672  -1.00    -1.0     -1. -1.00 -1.00  -2.93   1.08  -3.27 0.10 0.20 0.16 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:06:57 0.89 120.87 319.03 -3.29 1672  11.54   299.6  24087. -0.10 -0.13   0.00   0.00   0.00 0.00 0.00 0.00  0.18 289.0  43347. 12.75 297.6  22034.
 0:12:21 0.89 120.87 318.98 -3.29 1672  12.00   289.5  27034.  0.92  2.53  -3.62   1.84  -2.40 0.00 0.00 0.20  0.24 282.4  75962. 13.21 288.7  24000.
 0:15:21 0.89 120.87 318.95 -3.29 1672  -1.00    -1.0     -1. -1.00 -1.00  -4.43   1.48  -1.65 0.27 0.12 0.32 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:15:57 0.89 120.87 318.94 -3.29 1672  -1.00    -1.0     -1. -1.00 -1.00  -4.37   1.34  -1.71 0.19 0.18 0.05 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:26:45 0.89 120.86 318.84 -3.29 1672  12.75   289.1  31328.  0.24  3.34  -3.88   0.33  -3.25 0.00 0.00 0.00  0.20 282.3  92464. 12.36 287.9  27992.
 0:37:33 0.89 120.86 318.74 -3.29 1672  11.82   292.3  37205. -0.74  3.83  -3.77   2.26   0.52 0.18 0.09 0.19  0.12 289.9  89281. 11.45 292.9  29970.
 0:48:21 0.89 120.86 318.64 -3.29 1672  12.14   286.6  30929.  1.01  4.40  -5.14   1.23   1.33 0.20 0.10 0.20  0.14 279.2  31211. 12.99 286.0  28541.
 0:52:35 0.89 120.86 318.60 -3.29 1672  10.86   291.1  26868. -0.67  4.17  -5.14   1.63   1.13 0.00 0.00 0.00  0.13 290.5  30977. 11.06 292.8  27839.
 1:03:23 0.89 120.86 318.50 -3.29 1672  11.35   287.9  31669.  0.47  4.70  -4.65   1.46   2.74 0.15 0.09 0.01  0.08 280.0  33940. 11.95 287.3  26517.
 1:14:11 0.89 120.86 318.40 -3.29 1672  10.59   288.8  26949. -0.24  4.08  -4.95   0.23   3.59 0.10 0.30 0.05  0.12 296.8  80796. 10.86 289.8  25608.
 1:24:59 0.89 120.86 318.30 -3.29 1672  10.60   290.9  28960. -0.10  3.91  -4.67   0.90   2.88 0.09 0.19 0.19  0.10 287.4 101196. 11.29 289.1  27108.
 1:35:45 0.89 120.86 318.20 -3.30 1672  10.78   290.8  25699. -0.40  3.96  -3.74   1.43   3.26 0.20 0.10 0.20  0.19 283.5  79951. 11.08 291.6  24214.
 1:46:33 0.89 120.86 318.10 -3.30 1672  10.11   302.2  27368.  0.00  0.00  -4.11   1.73   3.06 0.00 0.00 0.00  0.17 296.5 129821. -1.00  -1.0     -1.
 1:57:21 0.89 120.86 318.00 -3.30 1672  11.60   291.9  25764.  0.22  2.75  -3.09   2.12   1.88 0.00 0.00 0.00  0.28 287.7  48493. 11.54 293.2  23317.
 2:08:09 0.89 120.86 317.90 -3.30 1672  -1.00    -1.0     -1. -1.00 -1.00  -3.87   0.59   3.30 0.05 0.24 0.38 -1.00  -1.0     -1. 12.19 290.3  27615.
 2:18:57 0.89 120.86 317.80 -3.30 1672  11.45   289.2  25085.  0.17  3.40  -3.99   1.07   3.13 0.11 0.25 0.05  0.28 285.8 151612. 11.18 291.3  23964.
 2:29:45 0.89 120.85 317.70 -3.30 1672  11.87   292.3  36695. -1.32  3.39  -4.11   0.09   2.90 0.10 0.24 0.19  0.22 282.3  79301. 12.43 291.7  38069.
 2:40:33 0.89 120.85 317.60 -3.30 1672  12.76   292.9  38208. -0.90  3.05  -3.86   0.67   2.18 0.30 0.05 0.21 -1.00  -1.0     -1. 11.98 294.7  33472.
 2:51:21 0.89 120.85 317.50 -3.30 1672  11.06   289.7  36610. -1.86  3.08  -3.89  -0.58   3.18 0.09 0.14 0.00  0.24 286.3  94374. 11.48 290.8  30652.
 3:00:32 0.89 120.85 317.42 -3.30 1672  12.21   292.3  26793.  0.86  3.50  -2.43   2.82   1.54 0.00 0.00 0.19  0.19 289.9 102573. 12.00 293.7  27592.
 3:11:20 0.89 120.85 317.32 -3.30 1672  11.65   293.2  27125.  1.34  2.97  -2.26   2.87   1.01 0.15 0.05 0.00  0.20 286.0  92490. 12.31 291.1  24942.
 3:22:08 0.89 120.85 317.22 -3.30 1672  11.56   289.4  28856.  1.18  3.05  -2.71   2.47   1.26 0.31 0.35 0.25  0.28 284.7 184941. 11.78 290.6  26943.
