1976/251   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 1:49:42 0.61 156.99 242.86 -6.72 1646  -1.00    -1.0     -1. -1.00 -1.00   8.93  -3.91  -2.49 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
12:59:26 0.61 157.40 237.12 -6.63 1645   8.18   597.6 288690. -2.81 -1.28   0.00   0.00   0.00 0.00 0.00 0.00  0.24 665.11143457.  7.35 597.3 245827.
13:42:38 0.61 157.43 236.75 -6.63 1645   8.67   600.2 411921. -2.62  2.59   8.94  -3.93  -3.19 0.00 0.00 0.00  0.25 665.8 846782.  7.61 598.8 391965.
15:05:47 0.61 157.46 236.02 -6.77 1646  -1.00    -1.0     -1. -1.00 -1.00  10.81  -2.12  -1.77 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
15:07:08 0.61 157.46 236.01 -6.77 1646  -1.00    -1.0     -1. -1.00 -1.00  10.55  -2.27  -1.14 0.13 0.08 0.32 -1.00  -1.0     -1. -1.00  -1.0     -1.
15:08:29 0.61 157.46 236.00 -6.77 1646  -1.00    -1.0     -1. -1.00 -1.00  10.72  -1.91  -1.29 0.08 0.18 0.39 -1.00  -1.0     -1. -1.00  -1.0     -1.
15:08:49 0.61 157.48 236.01 -6.64 1645   6.89   555.1 180114. -2.29  0.10  10.74  -1.94  -1.21 0.08 0.19 0.37 -1.00  -1.0     -1.  7.14 564.9 195453.
15:10:09 0.61 157.48 236.00 -6.64 1645   8.45   563.1 196405. -2.43  0.15  10.61  -1.43  -0.98 0.14 0.31 0.00 -1.00  -1.0     -1.  7.05 564.4 278159.
15:11:30 0.61 157.48 235.99 -6.64 1645   7.36   570.8 358981. -2.07  0.41  10.59  -2.59  -1.21 0.04 0.15 0.37 -1.00  -1.0     -1.  7.12 564.9 199891.
15:12:51 0.61 157.48 235.98 -6.64 1645   8.06   571.6 302438. -2.41  0.31  10.68  -1.68  -0.98 0.06 0.09 0.00 -1.00  -1.0     -1.  7.26 566.8 266270.
15:14:12 0.61 157.48 235.97 -6.64 1645   7.19   581.3 339896. -2.66 -0.05  10.91  -1.56  -0.97 0.16 0.14 0.01 -1.00  -1.0     -1.  7.32 578.2 295720.
15:15:33 0.61 157.48 235.96 -6.64 1645   7.81   565.4 176937. -2.51  0.00  10.68  -2.19  -0.98 0.15 0.10 0.01 -1.00  -1.0     -1.  6.46 558.1 169332.
15:16:54 0.61 157.48 235.95 -6.64 1645   7.14   568.9 121067. -2.44  0.20  11.71  -2.15  -0.56 0.16 0.08 0.00  0.23 660.51045952.  6.52 579.2 271243.
15:18:15 0.61 157.48 235.93 -6.64 1645   7.68   578.9 281157. -2.55  0.19  11.60  -2.07  -0.60 0.20 0.17 0.12  0.25 627.4 644650.  6.55 571.1 135925.
15:19:36 0.61 157.48 235.92 -6.64 1645   7.59   574.8 216149. -2.62  0.14  11.60  -1.81  -0.92 0.00 0.00 0.12 -1.00  -1.0     -1.  7.21 579.4 286953.
15:20:57 0.61 157.48 235.91 -6.64 1645   7.64   578.7 274972. -2.51  0.14  11.40  -1.96  -0.73 0.30 0.26 0.27 -1.00  -1.0     -1.  6.61 571.0 134031.
15:22:18 0.61 157.49 235.90 -6.64 1645   7.09   567.0 133352. -2.65  0.11  11.43  -1.85  -0.56 0.20 0.05 0.01  0.19 638.1 697860.  7.16 579.3 298423.
15:23:39 0.61 157.49 235.89 -6.64 1645   7.61   583.1 265042. -2.55  0.10  11.84  -1.67  -0.09 0.28 0.11 0.18 -1.00  -1.0     -1.  7.13 580.0 217176.
15:25:00 0.61 157.49 235.88 -6.64 1645   7.73   564.3 128200. -2.41  0.11  10.83  -2.07  -0.61 0.30 0.17 0.12 -1.00  -1.0     -1.  7.18 570.8 183496.
15:26:21 0.61 157.49 235.86 -6.64 1645   8.10   575.3 271454. -2.34 -0.02  11.34  -2.23  -0.16 0.08 0.16 0.01 -1.00  -1.0     -1.  6.67 570.0 135760.
15:27:42 0.61 157.49 235.85 -6.64 1645   7.31   570.5 130504. -2.40  0.06  11.64  -1.90  -0.32 0.09 0.14 0.20 -1.00  -1.0     -1.  6.76 572.5 193978.
15:29:03 0.61 157.49 235.84 -6.64 1645   7.73   579.4 260536. -2.56  0.49  11.94  -1.83  -0.88 0.14 0.22 0.18 -1.00  -1.0     -1.  6.81 570.8 127846.
15:30:24 0.61 157.49 235.83 -6.64 1645   7.36   569.5 120745. -1.82  0.46  11.32  -2.82  -0.96 0.40 0.22 0.01 -1.00  -1.0     -1.  7.07 580.5 287687.
