1977/258   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
12:59:48 0.69 138.08 334.57 -5.90 1659  11.35   662.4 403225. -5.24  3.32   0.00   0.00   0.00 0.00 0.00 0.00  0.32 741.6 969652. 10.29 658.3 327601.
13:43:00 0.69 138.10 334.19 -5.91 1659   8.36   713.7 359617.  0.00  0.00  11.55 -11.54  -1.19 0.00 0.00 0.00  0.41 754.11407492.  7.95 709.6 349066.
14:24:41 0.69 138.11 333.82 -5.91 1659  -1.00    -1.0     -1. -1.00 -1.00  12.56 -11.95   0.41 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
15:09:41 0.69 138.12 333.42 -5.91 1659   7.90   670.7 297975. -2.03  0.48   0.00   0.00   0.00 0.00 0.00 0.00  0.29 755.61266327.  7.43 676.7 306239.
15:12:23 0.69 138.12 333.40 -5.91 1659   7.69   689.5 291997. -1.75  2.18  11.19 -11.39   3.94 1.00 0.51 1.79  0.26 761.5 769027.  7.53 692.2 346260.
15:15:05 0.69 138.13 333.37 -5.91 1659   7.29   687.8 329628. -1.98 -0.15  11.85 -10.19   4.87 0.34 0.51 0.92  0.36 752.51483584.  6.81 687.8 310760.
15:17:47 0.69 138.13 333.35 -5.91 1659   8.59   688.2 316634. -3.40  0.32  13.48  -9.17   4.72 1.07 1.01 1.01  0.31 740.41339924.  8.32 687.9 340386.
15:20:31 0.69 138.13 333.32 -5.91 1659  -1.00    -1.0     -1. -1.00 -1.00  12.91 -10.76  -7.67 0.74 0.14 0.96 -1.00  -1.0     -1.  6.17 684.3 254055.
15:23:13 0.69 138.13 333.30 -5.91 1659   7.23   681.2 260344. -3.45  2.27  14.89 -10.43  -0.06 0.33 0.43 0.79  0.31 734.61080879.  6.50 684.8 219752.
15:25:55 0.69 138.13 333.27 -5.91 1659   9.97   735.9 653174. -5.30 -2.46   5.46  -5.58  12.03 2.52 0.85 0.91  0.27 769.9 993768.  8.53 742.7 616843.
15:28:37 0.69 138.13 333.25 -5.92 1659   8.17   697.7 321156. -3.70 -2.02  10.93  -7.60   7.79 0.65 0.35 0.39  0.40 731.31380049.  7.79 701.5 308734.
15:31:19 0.69 138.13 333.23 -5.92 1659   6.51   666.1 214554. -5.18  1.56  17.08  -6.15   1.69 0.46 0.32 0.72  0.25 739.9 779838.  6.18 667.4 180666.
15:34:01 0.69 138.13 333.20 -5.92 1659   7.31   670.8 181706. -4.70  0.48  16.51  -6.84   2.85 0.27 0.20 0.36  0.29 752.91039299.  7.42 674.3 218868.
15:36:43 0.69 138.13 333.18 -5.92 1659   8.03   675.1 178119. -8.17  2.12  18.91  -1.03   1.36 0.19 0.37 0.56  0.30 748.21261545.  8.09 672.5 151924.
15:39:25 0.69 138.13 333.16 -5.92 1659   8.77   669.8 163410. -6.15  0.27  17.47  -4.36   2.52 0.31 0.38 0.55  0.30 750.8 955930.  8.05 673.5 200625.
15:42:07 0.69 138.13 333.13 -5.92 1659   8.29   669.3 185032. -6.14  1.77  17.49  -4.75   1.08 0.22 0.11 0.16  0.28 756.41132854.  7.92 669.3 157693.
15:50:13 0.69 138.14 333.06 -5.92 1659   6.82   666.1 185188. -5.97 -1.39  14.81  -5.56   6.06 0.82 0.39 1.23  0.33 726.51338468.  6.26 664.2 213307.
