1976/071   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:40 0.49 353.77 300.71 -7.22 1639  14.89   607.7 344012. -4.24 -5.08  13.65   3.62   4.72 2.27 2.79 4.46 -1.00  -1.0     -1. 12.53 612.5 274326.
 0:02:01 0.49 353.77 300.70 -7.22 1639  14.12   574.6 315701. -2.03  1.76  15.31  -1.32   3.17 1.60 2.65 2.77  0.48 634.5 645833. 12.06 574.0 280920.
 0:03:22 0.49 353.77 300.69 -7.22 1639  13.85   571.2 271717. -2.42  3.45  16.13  -1.25  -1.90 1.10 2.07 1.72  0.59 654.61059049. 13.14 574.0 335160.
 0:04:43 0.49 353.77 300.68 -7.22 1639  15.23   574.2 337892. -2.75 -0.43  14.48  -3.09  -1.94 2.90 3.79 4.29  0.45 669.0 570273. 12.72 573.0 324895.
 0:06:04 0.49 353.78 300.67 -7.22 1639  14.01   595.5 319830. -3.90  6.90  12.37  -3.90  -8.27 2.33 3.88 3.27  0.49 664.3 949278. 12.85 592.9 317706.
 0:07:25 0.49 353.78 300.66 -7.22 1639  15.05   620.2 342975.  0.00  4.56   5.11 -12.80  -7.55 2.16 1.76 1.86  0.77 639.0 987038. 12.90 616.6 346968.
 0:08:46 0.49 353.78 300.65 -7.22 1639  15.05   623.5 357334.  2.35  5.49   8.62 -11.29  -6.55 2.94 1.70 1.97  0.58 645.7 729474. 12.65 622.4 304439.
 0:10:07 0.49 353.78 300.64 -7.22 1639  13.94   592.8 359624.  1.44  2.82  12.80  -8.44  -3.13 1.36 1.36 1.35  0.63 627.4 716389. 13.20 594.6 380089.
 0:11:28 0.49 353.78 300.62 -7.22 1639  14.39   598.9 355193.  1.33  3.60  13.14  -4.93  -3.33 2.09 4.66 2.34  0.59 645.9 786309. 12.88 594.4 356135.
