1985/009   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
14:29:41 0.56  40.61 238.64 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.67 456.6 180786.
14:30:21 0.56  40.61 238.63 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.52 456.7 177252.
14:31:02 0.56  40.62 238.63 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.46 454.5 189713.
14:31:42 0.56  40.62 238.62 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.28 456.5 180218.
14:32:23 0.56  40.62 238.62 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.00 453.6 181274.
14:33:03 0.56  40.62 238.61 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.03 451.3 151125.
14:33:44 0.56  40.62 238.60 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.56 456.9 183528.
14:34:24 0.56  40.62 238.60 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.00 458.6 180718.
14:35:05 0.56  40.62 238.60 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.79 453.8 189047.
14:35:45 0.56  40.62 238.59 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.31 452.1 181979.
14:36:26 0.56  40.62 238.58 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.06 459.1 213973.
14:37:06 0.56  40.62 238.58 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.27 406.0 191799.
14:37:47 0.56  40.62 238.57 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.18 408.8 171723.
14:38:27 0.56  40.62 238.57 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.63 414.9 174988.
14:39:08 0.56  40.62 238.56 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.57 410.6 172886.
14:39:48 0.56  40.62 238.55 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.44 418.5 182713.
14:40:29 0.56  40.62 238.55 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.71 424.0 207641.
14:41:09 0.56  40.62 238.55 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.92 409.7 210386.
14:41:50 0.56  40.62 238.54 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.99 408.1 184308.
14:42:30 0.56  40.62 238.53 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.15 406.4 204994.
14:43:11 0.56  40.62 238.52 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.96 409.7 232586.
14:43:51 0.56  40.62 238.52 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.10 421.0 184337.
14:44:32 0.56  40.63 238.52 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.50 412.0 169833.
14:45:12 0.56  40.63 238.51 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.21 416.3 176918.
14:45:53 0.56  40.63 238.50 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.38 406.7 178243.
14:46:33 0.56  40.63 238.49 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.37 409.8 195863.
14:47:14 0.56  40.63 238.50 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.16 410.6 157209.
14:47:54 0.56  40.63 238.49 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.18 409.6 226119.
14:48:35 0.56  40.63 238.48 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.33 408.8 186874.
14:49:15 0.56  40.63 238.47 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.94 409.3 222500.
14:49:56 0.56  40.63 238.47 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.42 416.6 232096.
14:50:36 0.56  40.63 238.47 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.05 412.5 208177.
14:51:17 0.56  40.63 238.46 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.25 414.0 229978.
14:51:57 0.56  40.63 238.45 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.19 417.1 184652.
14:52:38 0.56  40.63 238.44 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.17 417.7 161916.
14:53:18 0.56  40.63 238.45 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.58 421.7 183096.
14:53:59 0.56  40.63 238.44 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.03 415.7 153298.
14:54:39 0.56  40.63 238.43 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.87 429.5 167036.
14:55:20 0.56  40.63 238.42 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.88 431.4 167065.
14:56:00 0.56  40.64 238.42 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.30 430.2 155517.
14:56:41 0.56  40.64 238.42 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.61 431.4 167669.
14:57:21 0.56  40.64 238.41 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.32 423.6 160737.
14:58:02 0.56  40.64 238.40 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.82 426.3 133629.
14:58:42 0.56  40.64 238.39 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.94 430.3 167487.
14:59:23 0.56  40.64 238.39 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.41 431.6 162634.
15:00:03 0.56  40.64 238.39 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.08 430.4 164216.
15:00:44 0.56  40.64 238.38 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.14 429.5 225924.
15:01:24 0.56  40.64 238.37 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.36 424.5 158798.
15:02:05 0.56  40.64 238.37 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.11 401.0 201222.
15:02:45 0.56  40.64 238.37 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.84 407.3 200579.
15:03:26 0.56  40.64 238.36 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.20 413.0 162556.
15:04:06 0.56  40.64 238.35 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.72 421.4 155114.
15:04:47 0.56  40.64 238.34 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.98 413.5 159431.
15:05:27 0.56  40.64 238.34 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.21 392.1 246223.
15:06:08 0.56  40.64 238.34 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.09 391.6 222208.
15:06:48 0.56  40.64 238.33 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.83 392.2 233902.
15:07:29 0.56  40.64 238.32 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.43 414.9 163583.
15:08:09 0.56  40.64 238.32 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.74 415.8 157404.
15:08:50 0.56  40.64 238.31 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.50 410.6 160399.
15:09:30 0.56  40.65 238.31 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.12 418.3 162381.
15:10:11 0.56  40.65 238.30 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.07 417.0 151206.
15:10:51 0.56  40.65 238.29 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.73 421.8 167283.
15:11:32 0.56  40.65 238.29 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.15 417.3 129445.
15:12:12 0.56  40.65 238.28 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.48 413.8 164002.
15:12:53 0.56  40.65 238.28 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.47 426.7 135074.
15:13:33 0.56  40.65 238.27 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.00 451.4 148211.
15:14:14 0.56  40.65 238.27 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.73 446.1 158570.
