328  0:11:47 0.75  61.35  80.90 -5.26 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.57 490.5  47337.
328  0:54:59 0.75  61.35  80.50 -5.26 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.26 739.7 484982.
328  1:38:11 0.75  61.36  80.12 -5.27 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.76 739.71319913.
328  2:21:23 0.75  61.36  79.73 -5.27 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.91 754.51497721.
328  3:04:35 0.75  61.37  79.34 -5.27 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.31 732.91679271.
328  3:47:47 0.75  61.38  78.95 -5.28 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.80 736.51223187.
328  4:30:59 0.75  61.38  78.56 -5.28 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.93 716.21276098.
328  5:14:11 0.75  61.39  78.17 -5.28 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.42 721.61458739.
328  5:57:23 0.75  61.39  77.79 -5.29 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.90 735.51980103.
328  6:40:35 0.75  61.40  77.39 -5.29 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.62 702.1 866429.
328  7:23:47 0.75  61.41  77.00 -5.29 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.08 690.3 636594.
328  8:06:59 0.74  61.41  76.62 -5.30 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.73 699.9 643922.
