1981/064   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 1:35:51 0.98 269.99 314.23  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.60 383.1  17412.
 1:38:33 0.98 269.99 314.21  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.32 377.6  23896.
 1:38:52 0.98 269.99 314.20  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.20 402.0  14290.
 1:41:35 0.98 269.99 314.17  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.32 378.5  21930.
 1:44:17 0.98 269.99 314.15  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.36 381.2  16850.
 1:46:59 0.98 269.99 314.13  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.64 384.0  15167.
 1:49:41 0.98 269.99 314.10  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.66 385.8  21047.
 1:52:23 0.98 269.99 314.07  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.35 387.0  23408.
 1:55:05 0.98 269.99 314.05  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.79 360.6  23064.
 1:57:47 0.98 269.99 314.02  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.43 366.6  15433.
 2:00:29 0.98 269.99 314.00  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.79 363.7  31192.
 2:03:11 0.98 269.99 313.97  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.46 371.9  22496.
 2:05:53 0.98 269.99 313.95  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.99 393.6  12594.
 2:08:35 0.98 269.99 313.92  0.19 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.54 378.5  25751.
 2:11:17 0.98 269.98 313.90  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.68 409.7  25117.
 2:13:59 0.98 269.98 313.88  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.27 412.2  17116.
 2:16:41 0.98 269.98 313.85  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.88 408.0  32673.
 2:19:23 0.98 269.98 313.82  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.61 405.6  35161.
 2:22:05 0.98 269.98 313.80  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.89 362.3  37351.
 2:24:47 0.98 269.98 313.77  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.35 365.4  36094.
 2:27:29 0.98 269.98 313.75  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.61 383.4  19617.
 2:30:11 0.98 269.98 313.72  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.09 388.0  26517.
 2:32:53 0.98 269.98 313.70  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.38 376.4  32452.
 2:35:35 0.98 269.98 313.67  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.43 371.9  21917.
 2:38:17 0.98 269.98 313.65  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.00 375.4  23272.
 2:40:59 0.98 269.98 313.62  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.09 377.7  34382.
 2:43:41 0.98 269.98 313.60  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.09 388.2  17964.
 2:46:23 0.98 269.98 313.57  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.54 375.0  18633.
 2:49:05 0.98 269.98 313.54  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.84 367.0  14391.
 2:51:47 0.98 269.98 313.52  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.25 364.9  22015.
 2:54:27 0.98 269.98 313.50  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.03 359.0  24747.
 2:57:09 0.98 269.98 313.47  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.29 367.9  17337.
 3:02:33 0.98 269.97 313.42  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.48 358.2  44897.
 3:05:17 0.98 269.97 313.39  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.64 355.7  32449.
 3:07:59 0.98 269.97 313.37  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.96 386.5  52001.
 3:10:41 0.98 269.97 313.34  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.58 375.8  34648.
 3:13:23 0.98 269.97 313.32  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.34 363.6  44319.
 3:16:05 0.98 269.97 313.29  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.80 381.1  36107.
 3:18:47 0.98 269.97 313.27  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.47 380.0  38335.
 3:21:29 0.98 269.97 313.24  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.25 391.1  33696.
 3:24:11 0.98 269.97 313.22  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.33 366.6  36438.
 3:26:53 0.98 269.97 313.19  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.50 363.6  29782.
 3:29:35 0.98 269.97 313.16  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.02 364.2  21846.
 3:32:17 0.98 269.97 313.14  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.81 364.7  27885.
 3:34:59 0.98 269.97 313.12  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.84 367.1  15437.
 3:37:41 0.98 269.97 313.09  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.58 353.9  14901.
 3:40:23 0.98 269.97 313.06  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.81 358.5  14946.
 3:43:05 0.98 269.97 313.04  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.43 361.5  15648.
 3:45:47 0.98 269.97 313.01  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.37 362.7  24217.
 3:48:29 0.98 269.96 312.99  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.52 369.8  36341.
 3:51:11 0.98 269.96 312.96  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.36 374.8  49880.
 3:53:53 0.98 269.96 312.94  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.03 364.2  24860.
 3:56:35 0.98 269.96 312.91  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.90 364.8  28242.
 3:59:17 0.98 269.96 312.89  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.02 363.2  27134.
 4:01:59 0.98 269.96 312.86  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.70 351.9  25481.
 4:04:41 0.98 269.96 312.84  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.27 364.2  27820.
 4:07:23 0.98 269.96 312.81  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.88 363.9  35532.
 4:10:05 0.98 269.96 312.78  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.31 356.2  28918.
 4:12:47 0.98 269.96 312.76  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.60 366.5  31214.
 4:15:29 0.98 269.96 312.74  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.18 357.3  19335.
 4:18:11 0.98 269.96 312.71  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.11 351.8  30561.
 4:20:54 0.98 269.96 312.68  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.40 366.6  33833.
 4:23:35 0.98 269.96 312.66  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.74 362.3  23155.
 4:26:18 0.98 269.96 312.63  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.83 358.9  24490.
 4:28:59 0.98 269.96 312.61  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.07 354.9  42110.
 4:31:42 0.98 269.96 312.58  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.26 346.1  44069.
 4:34:24 0.98 269.95 312.56  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.82 345.8  33297.
 4:37:06 0.98 269.95 312.53  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.19 344.8  14212.
 4:39:48 0.98 269.95 312.51  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.90 340.0  26339.
 4:42:30 0.98 269.95 312.48  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.08 348.0  21670.
 4:45:12 0.98 269.95 312.46  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.05 357.1  13046.
 4:47:54 0.98 269.95 312.43  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.94 349.9  23178.
 4:50:36 0.98 269.95 312.41  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.17 331.4  13773.
 4:53:18 0.98 269.95 312.38  0.18 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.10 356.9  30198.
 4:56:00 0.98 269.95 312.36  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.07 314.9  27131.
 4:58:42 0.98 269.95 312.33  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.24 365.7  34875.
 5:01:24 0.98 269.95 312.30  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.86 357.2  43101.
 5:04:06 0.98 269.95 312.28  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.58 357.1  22450.
 5:06:48 0.98 269.95 312.26  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.67 372.0  43965.
 5:09:30 0.98 269.95 312.23  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.74 352.2  44991.
 5:12:12 0.98 269.95 312.20  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.10 360.0  39076.
 5:14:54 0.98 269.95 312.18  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.58 357.5  18701.
 5:17:36 0.98 269.95 312.15  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  1.78 352.4  22548.
 5:20:18 0.98 269.95 312.13  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.09 352.2  24451.
 5:23:00 0.98 269.94 312.10  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.10 354.4  44741.
 5:25:42 0.98 269.94 312.08  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.55 355.3  51374.
 5:28:24 0.98 269.94 312.05  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.52 347.3  26066.
 5:31:06 0.98 269.94 312.03  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  1.99 354.9  30766.
 5:33:48 0.98 269.94 312.00  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.79 372.5  18922.
 5:36:30 0.98 269.94 311.98  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.74 373.8  27294.
 5:39:12 0.98 269.94 311.95  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.04 370.9  24185.
 5:41:54 0.98 269.94 311.93  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  1.41 370.3  19874.
 5:44:36 0.98 269.94 311.90  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.39 347.3  36201.
 5:47:18 0.98 269.94 311.88  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.70 358.1  90249.
 5:50:00 0.98 269.94 311.85  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.41 333.0  32842.
 5:52:42 0.98 269.94 311.83  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.45 340.6 251349.
 5:55:24 0.98 269.94 311.80  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  1.46 343.0  18367.
 5:58:06 0.98 269.94 311.77  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.19 340.5  23369.
 6:00:48 0.98 269.94 311.75  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.05 346.8  17460.
 6:03:30 0.98 269.94 311.73  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.01 354.1  31114.
 6:06:12 0.98 269.94 311.70  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.56 343.9  16242.
 6:08:54 0.98 269.94 311.67  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.63 347.0  36509.
 6:11:36 0.98 269.93 311.65  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.64 340.2  32891.
 6:14:18 0.98 269.93 311.62  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.70 315.4  37653.
 6:17:00 0.98 269.93 311.60  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.71 329.5  39186.
 6:19:42 0.98 269.93 311.57  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.17 220.8   7309.
 6:22:24 0.98 269.93 311.55  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.31 330.8  34148.
 6:25:06 0.98 269.93 311.52  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.12 327.4  20982.
 6:27:48 0.98 269.93 311.50  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.62 338.8  26858.
 6:30:30 0.98 269.93 311.47  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.55 340.3  23675.
 6:33:12 0.98 269.93 311.45  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.18 331.5  32095.
 6:35:54 0.98 269.93 311.42  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  1.64 349.9  11162.
 6:38:36 0.98 269.93 311.39  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.95 349.4  21362.
 6:41:18 0.98 269.93 311.37  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.17 349.2  26277.
 6:44:00 0.98 269.93 311.35  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.32 325.1  18344.
 6:46:42 0.98 269.93 311.32  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.82 344.3  28210.
 6:49:24 0.98 269.93 311.29  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.54 349.7  35447.
 6:52:06 0.98 269.93 311.27  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.32 325.6 108619.
 6:54:48 0.98 269.93 311.24  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.98 341.8  26452.
 6:57:30 0.98 269.92 311.22  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.17 334.5  42240.
 7:00:12 0.98 269.92 311.19  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.11 361.7  21817.
 7:02:54 0.98 269.92 311.17  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.76 357.0  20949.
 7:05:36 0.98 269.92 311.14  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.39 333.0  39407.
 7:08:18 0.98 269.92 311.12  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.43 306.6 158921.
 7:11:00 0.98 269.92 311.09  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.58 349.7  45738.
 7:13:42 0.98 269.92 311.07  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.99 349.0  28307.
 7:16:24 0.98 269.92 311.04  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  1.68 340.9  16827.
 7:19:06 0.98 269.92 311.02  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.13 335.3  18893.
 7:21:48 0.98 269.92 310.99  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.55 336.7  33430.
 7:24:30 0.98 269.92 310.97  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.35 354.7  19302.
 7:27:12 0.98 269.92 310.94  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.24 354.0  24438.
 7:29:54 0.98 269.92 310.91  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.23 347.3  25565.
 7:32:36 0.98 269.92 310.89  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.36 342.4  19793.
 7:35:18 0.98 269.92 310.87  0.17 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.48 345.6  15453.
 7:38:00 0.98 269.92 310.84  0.16 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.81 343.8  21482.
 7:40:42 0.98 269.92 310.81  0.16 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.53 339.2  21284.
 7:43:24 0.98 269.92 310.79  0.16 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.43 318.9  22535.
 7:46:06 0.98 269.91 310.76  0.16 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.95 344.8  30126.
 7:48:48 0.98 269.91 310.74  0.16 1706  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.59 343.2  20975.
