1977/009   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:29:21 0.98 329.32 221.78 -0.31 1650  -1.00    -1.0     -1. -1.00 -1.00   2.92  -0.97   0.22 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 1:07:42 0.98 329.34 221.45 -0.28 1650  11.18   348.6  16665.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  0.17 342.0  79405. -1.00  -1.0     -1.
 1:12:33 0.98 329.31 221.38 -0.32 1650  -1.00    -1.0     -1. -1.00 -1.00   1.83  -0.56  -0.19 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 1:50:54 0.98 329.33 221.05 -0.28 1650  11.53   359.9  18955.  1.47 -0.99   0.09  -0.37   1.29 0.00 0.00 0.00  0.15 366.9  99624. 11.48 357.6  22833.
 2:34:06 0.98 329.32 220.65 -0.29 1650  10.01   358.8  20378.  1.32  0.16   0.00   0.00   0.00 0.00 0.00 0.00  0.12 351.0 108304. 11.75 359.1  16713.
 2:38:57 0.98 329.29 220.57 -0.32 1650  -1.00    -1.0     -1. -1.00 -1.00   2.60  -0.17   0.63 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 3:17:18 0.98 329.31 220.24 -0.29 1650  11.05   358.3  19721.  1.11 -0.49   1.81  -0.55   0.22 0.00 0.00 0.00  0.11 353.6 105796. 10.80 357.9  18013.
 4:00:30 0.98 329.30 219.84 -0.29 1650  10.77   346.4  24318.  1.66 -0.07  -1.21   0.36   0.47 0.00 0.00 0.00  0.07 348.4  49416. 11.62 346.5  23178.
 4:43:42 0.98 329.29 219.43 -0.29 1650  10.36   343.3  24091.  2.14  0.32   0.00   0.00   0.00 0.00 0.00 0.00  0.09 342.0  97090. 11.45 340.5  29931.
 5:26:54 0.98 329.28 219.03 -0.30 1650  10.48   343.6  22905.  2.51 -0.08   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 10.74 341.2  19754.
 6:10:06 0.98 329.27 218.62 -0.30 1650  10.05   343.9  19559.  2.32  0.14  -1.31   2.46  -0.12 0.00 0.00 0.00  0.09 340.7 139281. 10.86 341.7  16119.
 6:53:18 0.98 329.26 218.22 -0.30 1650  10.82   347.9  19419.  1.59  1.24  -1.65   0.98  -3.62 0.00 0.00 0.00 -1.00  -1.0     -1. 10.15 346.8  18156.
 7:36:30 0.98 329.25 217.81 -0.30 1650  19.35   359.8  27901.  4.17 -1.58   0.00   0.00   0.00 0.00 0.00 0.00  0.16 352.7 130120. 21.35 359.5  21505.
 8:19:42 0.98 329.24 217.41 -0.31 1650  24.75   368.3  29554.  4.00 -0.65   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 23.84 366.3  25114.
 9:02:54 0.98 329.23 217.01 -0.31 1650  24.52   361.6  22993.  4.93  0.65  -1.79   2.29  -2.52 0.00 0.00 0.00 -1.00  -1.0     -1. 24.41 359.4  23714.
 9:46:06 0.98 329.22 216.60 -0.31 1650  26.99   369.1  31361.  5.45 -0.50  -2.90   4.57   4.18 0.00 0.00 0.00 -1.00  -1.0     -1. 26.76 366.4  24880.
10:29:18 0.98 329.21 216.20 -0.31 1650  28.51   362.5  28005.  6.93 -0.36   0.00   0.00   0.00 0.00 0.00 0.00  0.19 358.2  76716. 27.54 360.1  23347.
11:12:30 0.98 329.20 215.79 -0.32 1650  37.34   378.8  39063.  6.25 -2.33   0.00   0.00   0.00 0.00 0.00 0.00  0.34 371.2  54093. 36.66 378.5  40261.
11:55:42 0.98 329.19 215.39 -0.32 1650  26.75   406.3  52118.  3.04 -1.98  -5.96  -1.96 -11.59 0.00 0.00 0.00  0.27 403.2 171051. 27.78 402.5  53661.
12:38:54 0.98 329.18 214.98 -0.32 1650  15.65   397.9 115392. -2.66 -5.61   2.25 -10.39  -0.08 0.00 0.00 0.00 -1.00  -1.0     -1. 16.69 398.7 102937.
13:22:06 0.98 329.17 214.58 -0.32 1650   8.63   414.0 150875. -5.10 -6.30   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  8.87 413.7 140600.
14:05:18 0.98 329.17 214.17 -0.33 1650   8.78   458.6 332736. -9.40 -2.45   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  9.17 461.7 294837.
14:48:30 0.98 329.16 213.77 -0.33 1650   7.49   464.5 210591. -9.49 -0.65   4.23  -2.30   7.28 0.00 0.00 0.00 -1.00  -1.0     -1.  7.32 465.4 195093.
15:31:42 0.98 329.15 213.37 -0.33 1650   7.11   486.0 243618.-10.61 -0.25   3.13  -8.57  -0.05 0.00 0.00 0.00 -1.00  -1.0     -1.  7.44 491.4 291315.
15:34:05 0.98 329.11 213.31 -0.37 1650  -1.00    -1.0     -1. -1.00 -1.00   3.16  -8.67  -1.65 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
16:14:54 0.98 329.14 212.96 -0.34 1650   5.39   489.5 201999.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.44 482.4 210263.
17:05:48 0.98 329.13 212.49 -0.34 1650   5.40   480.2 294281.-15.37 -0.11   5.02  -5.98   0.10 0.16 0.04 0.17 -1.00  -1.0     -1.  4.77 477.4 243680.
17:06:28 0.98 329.12 212.48 -0.34 1650   5.34   470.3 279842.-16.14 -0.03   0.00   0.00   0.00 0.00 0.00 0.00  0.18 507.7 486723.  5.09 475.5 210136.
17:07:09 0.98 329.12 212.47 -0.34 1650   5.41   476.4 282350.-15.42 -0.36   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.46 481.1 262469.
17:07:32 0.98 329.12 212.47 -0.34 1650   5.68   475.3 284825.-16.21 -0.40   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.90 479.0 234441.
17:08:13 0.98 329.12 212.46 -0.34 1650   6.03   485.0 304929.-15.00  0.57   0.00   0.00   0.00 0.00 0.00 0.00  0.17 518.0 450509.  5.90 489.0 252093.
17:08:53 0.98 329.12 212.46 -0.34 1650   5.82   475.9 292936.-17.02  0.94   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.41 488.6 276223.
17:09:34 0.98 329.12 212.45 -0.34 1650   5.54   481.6 320214.-16.29 -0.15   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.64 483.7 277132.
17:10:14 0.98 329.12 212.44 -0.34 1650   5.79   474.9 300278.-16.95 -0.51   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.74 481.1 284623.
17:10:55 0.98 329.12 212.44 -0.34 1650   5.67   479.9 296945.-16.53  0.13   0.00   0.00   0.00 0.00 0.00 0.00  0.18 528.4 407695.  5.91 481.3 295587.
17:11:35 0.98 329.12 212.43 -0.34 1650   5.83   473.1 286478.-16.78  0.37   0.00   0.00   0.00 0.00 0.00 0.00  0.14 549.3 357551.  5.75 488.9 325599.
17:12:16 0.98 329.12 212.42 -0.34 1650   5.88   486.4 294288.-15.42 -0.75   0.00   0.00   0.00 0.00 0.00 0.00  0.22 524.6 478953.  6.14 486.3 306343.
17:12:56 0.98 329.12 212.42 -0.34 1650   5.82   485.1 242306.-17.18  0.05   0.00   0.00   0.00 0.00 0.00 0.00  0.20 513.9 431148.  6.01 488.1 253594.
17:13:37 0.98 329.12 212.41 -0.34 1650   5.64   481.5 275375.-16.18  0.04   0.00   0.00   0.00 0.00 0.00 0.00  0.21 496.8 342310.  6.22 485.9 282782.
17:14:17 0.98 329.12 212.41 -0.34 1650   5.91   480.5 278760.-16.91 -0.05   0.00   0.00   0.00 0.00 0.00 0.00  0.19 510.4 440257.  6.02 493.2 327536.
17:14:58 0.98 329.12 212.40 -0.34 1650   5.65   484.9 278513.-16.21  0.13   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.20 490.9 281206.
17:15:38 0.98 329.12 212.39 -0.34 1650   5.60   484.2 259753.-17.27  0.29   0.00   0.00   0.00 0.00 0.00 0.00  0.20 526.5 560554.  5.75 495.7 280196.
17:16:19 0.98 329.12 212.39 -0.34 1650   5.69   483.8 279796.-16.14 -0.50   5.27  -5.90   0.31 0.27 0.14 0.22 -1.00  -1.0     -1.  5.98 491.3 253065.
17:16:59 0.98 329.12 212.38 -0.34 1650   5.64   478.6 275515.-16.77 -0.24   5.44  -5.99   0.18 0.20 0.27 0.14  0.21 521.8 617311.  5.77 485.6 335283.
17:17:40 0.98 329.12 212.37 -0.34 1650   5.33   479.8 287073.-16.19 -0.15   5.62  -5.97   0.00 0.21 0.22 0.25 -1.00  -1.0     -1.  5.67 485.1 268725.
17:18:20 0.98 329.12 212.37 -0.34 1650   5.29   479.5 250290.-17.10  0.41   5.70  -5.68  -0.11 0.23 0.17 0.28  0.14 540.4 376275.  4.74 485.3 205189.
17:19:01 0.98 329.12 212.36 -0.34 1650   5.30   477.1 290753.-16.68 -0.10   5.98  -5.42  -0.06 0.32 0.34 0.32 -1.00  -1.0     -1.  5.27 484.5 270135.
17:19:41 0.98 329.12 212.36 -0.34 1650   5.67   479.1 289759.-17.19  0.26   5.43  -5.62  -0.03 0.19 0.20 0.22  0.24 516.1 601290.  5.40 483.9 257453.
