1982/359   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:21:59 0.38 100.61  72.04 -6.40 1729 238.25   305.2  31185.  1.11  2.13   0.00   0.00   0.00 0.00 0.00 0.00  0.28 380.2 246675.221.69 302.0  28684.
 1:05:11 0.38 100.71  71.75 -6.39 1729 143.85   291.0  31244.  5.01  1.45   0.00   0.00   0.00 0.00 0.00 0.00  0.08 408.9 242439.129.92 284.3  30477.
 1:48:23 0.38 100.82  71.46 -6.39 1729 153.95   282.1  32780.  5.09  0.94   0.00   0.00   0.00 0.00 0.00 0.00 17.17 271.5  66827.142.79 274.9  30058.
 8:17:11 0.38 101.80  68.88 -6.31 1729 176.58   276.1  63878.  1.69  3.75   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.151.76 272.9  56484.
 9:00:23 0.38 101.91  68.60 -6.30 1729 151.27   263.7  34866.  2.27  4.77   0.00   0.00   0.00 0.00 0.00 0.00 16.34 251.9  95804.139.73 260.6  42623.
 9:43:35 0.38 102.01  68.31 -6.29 1729 103.95   257.7  28583.  3.75  4.75   0.00   0.00   0.00 0.00 0.00 0.00 17.73 245.7 106705. 95.29 255.2  36107.
10:26:47 0.38 102.12  68.03 -6.28 1729 120.87   262.0  30779.  3.05  5.86   0.00   0.00   0.00 0.00 0.00 0.00 18.37 250.9  96440.110.77 258.2  36954.
17:42:33 0.38 103.25  65.17 -6.19 1729 157.00   263.1 258938. -4.51  8.97   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.144.14 270.8 310263.
17:43:13 0.38 103.25  65.17 -6.19 1729 153.15   258.3 244667. -2.91  6.44   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.143.65 264.4 289701.
17:43:54 0.38 103.25  65.16 -6.19 1729 156.94   257.4 263411. -3.52  5.94   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.144.99 260.8 271922.
17:44:17 0.38 103.26  65.16 -6.19 1729 131.59   263.6 222419. -1.33  4.06   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.123.66 266.7 267127.
17:44:58 0.38 103.26  65.15 -6.19 1729 134.73   261.2 260406. -1.26  4.05   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.129.15 265.5 319869.
17:45:38 0.38 103.26  65.15 -6.19 1729 136.92   258.2 244970. -0.95  3.46   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.128.86 263.2 288369.
17:46:19 0.38 103.26  65.15 -6.19 1729 138.56   262.4 257937. -1.59  4.40   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.133.82 266.7 312021.
17:46:59 0.38 103.26  65.14 -6.19 1729 142.01   262.5 290081. -2.73  4.07   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.133.07 265.4 295428.
17:47:40 0.38 103.26  65.14 -6.19 1729 130.41   260.7 255339. -1.95  2.91   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.120.91 262.6 269105.
17:48:20 0.38 103.27  65.13 -6.19 1729 139.37   256.6 250303. -2.28  3.02   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.130.77 261.4 299215.
17:49:01 0.38 103.27  65.13 -6.19 1729 134.50   261.5 251385. -1.77  3.37   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.123.58 262.7 254565.
17:49:41 0.38 103.27  65.12 -6.19 1729 132.05   262.6 239103. -1.70  3.28   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.123.61 267.4 274781.
17:50:22 0.38 103.27  65.12 -6.19 1729 125.63   261.5 237446. -1.65  2.44   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.119.06 263.3 250053.
17:51:02 0.38 103.27  65.12 -6.19 1729 134.43   261.3 236634. -1.93  3.48   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.124.18 267.4 275918.
17:51:43 0.38 103.27  65.11 -6.19 1729 134.40   262.9 255215. -2.61  3.29   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.128.41 267.7 307402.
17:52:23 0.38 103.28  65.11 -6.19 1729 121.66   263.7 222588. -3.07  3.53   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.114.86 269.1 268631.
17:53:04 0.38 103.28  65.10 -6.19 1729 133.10   260.5 248595. -3.57  3.74   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.127.64 266.3 309731.
17:53:44 0.38 103.28  65.10 -6.19 1729 126.06   264.7 206829. -2.69  3.05   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.119.10 270.0 255855.
17:54:25 0.38 103.28  65.09 -6.19 1729 137.82   263.6 250973. -3.34  3.26   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.129.02 270.1 294856.
17:55:05 0.38 103.28  65.09 -6.19 1729 140.48   264.4 299440. -3.40  2.77   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.129.19 268.3 297835.
17:55:46 0.38 103.28  65.09 -6.19 1729 140.19   265.5 259285. -5.24  3.26   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.131.84 274.5 306323.
17:56:26 0.38 103.29  65.08 -6.19 1729 140.46   268.7 287836. -4.71  2.68   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.132.60 276.9 345717.
17:57:07 0.38 103.29  65.07 -6.19 1729 141.66   262.8 274972. -3.97  3.15   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.135.06 270.2 327051.
17:57:47 0.38 103.29  65.07 -6.19 1729 151.92   262.0 308678. -5.63  1.29   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.142.17 265.4 312044.
17:58:28 0.38 103.29  65.07 -6.19 1729 151.78   262.7 258444. -8.25  8.56   0.00   0.00   0.00 0.00 0.00 0.00 47.30 229.5 156628.135.86 269.3 266153.
17:59:08 0.38 103.30  65.06 -6.19 1729 146.09   262.1 317829. -5.00 -0.76   0.00   0.00   0.00 0.00 0.00 0.00 53.47 223.3 162189.136.96 265.7 318563.
17:59:49 0.38 103.30  65.06 -6.19 1729 147.14   268.3 329520.  0.00 -1.30   0.00   0.00   0.00 0.00 0.00 0.00 55.65 234.0 169777.143.09 270.9 365227.
18:00:29 0.38 103.30  65.06 -6.19 1729 166.01   277.1 323595.  6.85 -1.11   0.00   0.00   0.00 0.00 0.00 0.00 51.83 241.7 117425.154.38 269.5 323706.
18:01:10 0.38 103.30  65.05 -6.19 1729 158.01   279.9 263057.  8.65 -3.01   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.146.37 274.8 304335.
18:01:50 0.38 103.30  65.04 -6.19 1729 151.34   273.9 241653.  7.92 -2.17   0.00   0.00   0.00 0.00 0.00 0.00 45.33 240.2 114541.143.31 269.0 275973.
