1975/142   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
21:02:01 0.93 177.43  32.53  2.13 1627   5.41   397.1  97798. -1.00  1.05   0.00   0.00   0.00 0.00 0.00 0.00  0.18 402.6 261280.  5.93 395.3  81082.
21:38:01 0.93 177.42  32.20  2.13 1627   8.49   414.8  84788. -1.45  0.77   0.00   0.00   0.00 0.00 0.00 0.00  0.15 419.6 202925.  7.69 413.3  68656.
22:21:13 0.93 177.42  31.80  2.12 1627  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  8.31 419.2  96492.
