1981/088   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:01:23 0.96 263.14 351.71 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.10 337.1  45394.
 0:04:05 0.96 263.13 351.68 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.89 333.6  41012.
 0:06:47 0.96 263.13 351.66 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.80 334.6  57650.
 0:09:29 0.96 263.13 351.63 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.96 334.7  45605.
 0:12:11 0.96 263.13 351.61 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.23 331.2  57378.
 0:14:53 0.96 263.13 351.58 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.85 327.3  50653.
 0:17:35 0.96 263.13 351.55 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.39 331.2  57277.
 0:20:17 0.96 263.13 351.53 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.02 328.1  47168.
 0:22:59 0.96 263.13 351.51 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.57 328.3  63618.
 0:25:41 0.96 263.13 351.48 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.04 327.7  46547.
 0:28:23 0.96 263.13 351.45 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.57 333.5  39527.
 0:31:05 0.96 263.13 351.43 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.91 330.3  48084.
 0:33:47 0.96 263.13 351.40 -1.92 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.31 334.1  39683.
 0:36:29 0.96 263.13 351.38 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.18 330.9  56358.
 0:39:11 0.96 263.13 351.36 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.87 334.0  38913.
 0:41:53 0.96 263.13 351.33 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.93 327.9  40947.
 0:44:35 0.96 263.13 351.30 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.75 328.0  52960.
 0:47:17 0.96 263.13 351.28 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.54 329.2  44575.
 0:49:59 0.96 263.13 351.25 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.41 325.4  45985.
 0:52:41 0.96 263.13 351.23 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.14 329.0  41967.
 0:55:23 0.96 263.13 351.20 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.78 332.8  38640.
 0:58:05 0.96 263.13 351.18 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.83 334.0  41275.
 1:00:47 0.96 263.13 351.15 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.23 332.1  49633.
 1:03:29 0.96 263.12 351.13 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.99 330.0  44208.
 1:06:11 0.96 263.12 351.10 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.86 335.8  46037.
 1:08:53 0.96 263.12 351.08 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.36 331.1  44026.
 1:11:35 0.96 263.12 351.05 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.36 334.0  37487.
 1:14:17 0.96 263.12 351.02 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.89 324.5  46495.
 1:16:59 0.96 263.12 351.00 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.76 320.4  55282.
 1:19:41 0.96 263.12 350.98 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.26 322.6  46742.
 1:22:23 0.96 263.12 350.95 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.04 321.6  62023.
 1:25:05 0.96 263.12 350.93 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.14 320.0  59353.
 1:27:47 0.96 263.12 350.90 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.24 319.3  49435.
 1:30:29 0.96 263.12 350.87 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.57 318.9  54873.
 1:33:11 0.96 263.12 350.85 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.51 320.6  58963.
