1977/230   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:24:04 0.94 165.91  19.43 -5.94 1657   5.89   616.6 251427.  0.16  0.17   0.00   0.00   0.00 0.00 0.00 0.00  0.12 679.9 692519.  5.16 617.0 250122.
 1:07:16 0.94 165.91  19.03 -5.94 1657   5.78   614.7 290074.  5.28  0.36   0.00   0.00   0.00 0.00 0.00 0.00  0.14 671.0 535970.  4.84 614.5 282220.
 1:50:28 0.94 165.90  18.62 -5.94 1657   6.83   623.3 247646.  0.81  0.81   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.98 625.9 297172.
 2:33:40 0.94 165.89  18.22 -5.94 1657   6.24   619.4 376071.  1.68  1.93   0.00   0.00   0.00 0.00 0.00 0.00  0.20 691.6 699588.  5.09 616.2 390396.
 3:16:52 0.94 165.89  17.82 -5.94 1657   7.46   639.4 328975.  6.06  2.29   0.00   0.00   0.00 0.00 0.00 0.00  0.20 670.3 635762.  6.25 636.0 325908.
 4:00:04 0.94 165.88  17.42 -5.94 1657   7.13   665.9 350470. -0.07  2.31   0.00   0.00   0.00 0.00 0.00 0.00  0.29 700.8 872354.  6.10 667.2 349430.
 4:43:16 0.94 165.87  17.01 -5.95 1657   5.64   692.4 256654.  2.79  3.11   0.00   0.00   0.00 0.00 0.00 0.00  0.19 726.91006450.  4.93 693.9 306187.
 5:26:28 0.94 165.87  16.61 -5.95 1657   6.21   687.9 384202.  2.15  3.47   0.00   0.00   0.00 0.00 0.00 0.00  0.24 707.6 887739.  5.21 688.3 358370.
 6:09:40 0.94 165.86  16.21 -5.95 1657   5.30   662.0 278286. -1.51  2.08   0.00   0.00   0.00 0.00 0.00 0.00  0.19 749.51107906.  4.51 659.0 254478.
 6:52:52 0.94 165.86  15.80 -5.95 1657   4.80   697.1 311540.  1.13 -1.88   0.00   0.00   0.00 0.00 0.00 0.00  0.12 759.7 889402.  4.11 695.3 299118.
 7:36:04 0.94 165.85  15.40 -5.95 1657   4.57   695.4 353796.  2.10  2.02   0.00   0.00   0.00 0.00 0.00 0.00  0.14 740.0 925785.  4.02 692.8 374118.
 8:19:16 0.94 165.84  15.00 -5.95 1657   5.33   732.2 432383.  2.04  2.53   0.00   0.00   0.00 0.00 0.00 0.00  0.22 768.7 993353.  4.42 728.2 429056.
 9:02:28 0.94 165.84  14.60 -5.96 1657   6.45   721.6 368973. -1.91  0.90   0.00   0.00   0.00 0.00 0.00 0.00  0.23 786.1 830358.  5.90 723.5 432331.
 9:45:40 0.94 165.83  14.19 -5.96 1657   5.61   752.5 385345.  0.66 -0.36   0.00   0.00   0.00 0.00 0.00 0.00  0.21 760.1 867780.  4.84 749.2 399794.
10:28:50 0.94 165.79  13.76 -6.09 1658  -1.00    -1.0     -1. -1.00 -1.00   4.98  -4.97  -0.23 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
11:12:03 0.94 165.82  13.39 -5.96 1657   3.30   747.5 287839.  0.00  0.00   3.11  -4.52  -2.02 1.63 1.54 1.72  0.14 802.81110401.  2.72 747.6 257174.
12:22:01 0.94 165.81  12.73 -5.96 1657  -1.00    -1.0     -1. -1.00 -1.00   2.22  -6.93  -0.21 0.39 0.63 0.18 -1.00  -1.0     -1. -1.00  -1.0     -1.
12:23:49 0.94 165.81  12.72 -5.96 1657   2.56   700.9 191373.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  0.19 782.91328905. -1.00  -1.0     -1.
12:24:20 0.94 165.81  12.71 -5.96 1657   2.57   748.7 228276.  0.00 -3.11   0.00   0.00   0.00 0.00 0.00 0.00  0.13 819.31238052.  2.25 747.1 216009.
12:25:57 0.94 165.81  12.70 -5.96 1657   2.44   762.8 215750.  0.38 -4.85   0.00   0.00   0.00 0.00 0.00 0.00  0.12 808.9 756969.  2.10 763.2 274066.
12:26:38 0.94 165.81  12.69 -5.96 1657   2.61   785.3 261176.  2.78 -1.16   0.00   0.00   0.00 0.00 0.00 0.00  0.15 804.01146783.  2.16 779.8 245064.
12:27:18 0.94 165.81  12.68 -5.96 1657   2.62   761.5 223910.  1.10 -4.09   0.00   0.00   0.00 0.00 0.00 0.00  0.13 814.71239300.  2.26 764.2 272351.
12:27:59 0.94 165.81  12.68 -5.96 1657   2.55   768.1 285449. -2.54 -6.14   0.00   0.00   0.00 0.00 0.00 0.00  0.14 813.31381088.  2.19 771.3 251301.
12:28:39 0.94 165.81  12.67 -5.96 1657   2.51   755.7 219752. -0.28 -4.95   0.00   0.00   0.00 0.00 0.00 0.00  0.15 814.51314560.  2.25 757.6 273806.
12:29:20 0.94 165.81  12.66 -5.96 1657   2.49   757.0 283421. -0.10 -4.91   0.00   0.00   0.00 0.00 0.00 0.00  0.13 810.41341171.  2.05 763.2 239502.
12:30:00 0.94 165.81  12.66 -5.96 1657   2.97   765.7 290594. -2.11 -5.96   0.00   0.00   0.00 0.00 0.00 0.00  0.14 813.81279424.  2.55 765.6 292725.
12:30:41 0.94 165.81  12.65 -5.96 1657   2.46   788.4 271363.  2.81  0.25   0.00   0.00   0.00 0.00 0.00 0.00  0.11 801.11018925.  2.07 789.1 289295.
12:31:21 0.94 165.81  12.65 -5.96 1657   2.70   800.8 301613.  2.63  0.22   0.00   0.00   0.00 0.00 0.00 0.00  0.13 824.31386078.  2.17 798.6 266893.
12:32:02 0.94 165.81  12.64 -5.96 1657   2.57   783.5 250157.  2.45 -0.31   2.08  -6.81  -1.18 0.35 0.41 0.51  0.14 804.31022459.  2.22 785.5 279523.
12:32:42 0.94 165.81  12.63 -5.96 1657   2.66   768.1 214138.  1.79 -0.46   2.76  -6.62  -0.87 0.47 0.31 0.52  0.11 813.11133478.  2.17 768.2 258629.
12:33:23 0.94 165.81  12.63 -5.96 1657   2.57   780.1 248494.  2.64 -0.22   2.30  -6.73  -1.50 0.43 0.38 0.33  0.18 799.31134517.  2.22 778.3 239710.
12:34:03 0.94 165.81  12.62 -5.96 1657   3.09   798.6 313463.  1.89  0.06   1.42  -6.97  -1.63 0.49 0.22 0.22  0.13 820.21185453.  2.28 797.8 261592.
12:34:44 0.94 165.81  12.62 -5.96 1657   2.35   794.2 256238.  2.71  0.68   1.37  -6.64  -1.95 0.33 0.26 0.34  0.12 812.61325786.  2.25 794.2 300989.
12:35:24 0.94 165.81  12.61 -5.96 1657   2.49   761.9 207278.  1.69 -1.39   3.21  -6.37  -0.89 0.66 0.53 0.58  0.14 825.0 939714.  2.00 758.8 197246.
12:36:05 0.94 165.81  12.60 -5.96 1657   2.48   775.9 233109.  2.42 -0.49   2.73  -6.59  -1.16 0.41 0.34 0.39  0.13 807.51508116.  2.18 771.9 231342.
12:36:45 0.94 165.81  12.60 -5.96 1657   2.41   753.4 222247.  1.34 -0.59   3.30  -6.30  -0.22 0.73 0.57 0.93  0.12 819.61298967.  2.08 750.3 208525.
12:37:26 0.94 165.81  12.59 -5.96 1657   2.63   778.3 252496.  2.47 -0.50   3.09  -6.10  -1.13 0.78 0.66 1.00  0.16 814.6 822666.  2.28 775.4 245583.
12:38:06 0.94 165.81  12.58 -5.96 1657   2.52   809.7 256810.  1.89  0.86   0.45  -6.70  -2.19 0.65 0.23 0.16  0.15 808.21178800.  2.10 807.6 245791.
12:38:47 0.94 165.81  12.58 -5.96 1657   2.46   804.8 278224.  2.55  0.97   0.74  -6.60  -2.40 0.37 0.39 0.26  0.17 820.6 797094.  2.19 800.9 285760.
12:39:27 0.94 165.81  12.57 -5.96 1657   2.66   763.0 226197. -0.38  2.97   3.35  -4.23  -3.96 1.19 1.36 0.73  0.15 821.11418095.  2.24 764.3 283889.
12:40:08 0.94 165.81  12.56 -5.96 1657   2.67   741.4 173961.  0.43  0.22   4.52  -4.05  -2.82 0.85 1.18 0.97  0.15 801.41154892.  2.32 743.6 229367.
12:40:48 0.94 165.81  12.56 -5.96 1657   2.62   769.2 315178.  1.67 -2.01   2.27  -5.99   0.23 1.30 1.27 2.06  0.14 813.3 987739.  2.32 767.6 313931.
12:41:29 0.94 165.81  12.55 -5.96 1657   2.61   759.7 246571.  1.48 -2.57   3.75  -5.38   1.24 0.70 1.27 1.60  0.13 812.1 929527.  2.13 759.5 221571.
12:42:09 0.94 165.81  12.55 -5.96 1657   2.46   758.8 221987.  1.48 -1.81   4.47  -4.73   1.46 0.65 0.97 1.49  0.14 781.01336597.  2.04 752.5 216737.
12:42:50 0.94 165.81  12.54 -5.96 1657   2.46   749.1 243452.  0.91 -1.73   4.52  -5.39   0.41 0.42 0.46 0.49  0.12 810.6 693351.  2.19 748.2 243089.
12:43:30 0.94 165.81  12.53 -5.96 1657   2.50   757.1 216685.  1.50 -2.01   4.02  -5.80   0.25 0.42 0.46 0.34  0.10 815.31104579.  2.14 759.3 271571.
12:44:11 0.94 165.81  12.53 -5.96 1657   2.85   751.2 260448.  0.40 -3.54   4.36  -5.11   1.32 0.74 0.97 1.09  0.13 815.9 951149.  2.36 751.9 255615.
12:44:51 0.94 165.81  12.52 -5.96 1657   2.55   734.4 206238. -0.12 -0.50   5.60  -3.79   0.00 0.46 0.59 1.28  0.15 817.21393354.  2.08 736.7 199637.
12:45:32 0.94 165.81  12.51 -5.96 1657   2.62   732.4 162215. -1.57  0.48   6.20  -2.52  -1.76 0.27 0.46 0.75  0.14 803.21428490.  2.23 730.5 161435.
12:46:12 0.94 165.81  12.51 -5.96 1657   2.53   730.6 192776. -3.91  0.71   6.69  -0.44  -1.82 0.29 0.80 0.73  0.16 811.51289196.  2.04 730.1 171674.
12:46:53 0.94 165.81  12.50 -5.96 1657   2.53   723.2 162631. -3.74 -0.36   6.33  -1.79  -1.52 0.79 1.59 0.66  0.15 795.91400839.  2.12 721.8 148442.
13:05:06 0.94 165.80  12.33 -5.96 1657   2.28   739.4 176768. -0.37 -3.74   4.73  -4.80  -1.51 0.38 0.62 0.47  0.12 798.5 934725.  1.92 739.2 177132.
13:05:46 0.94 165.80  12.33 -5.96 1657   2.61   750.0 251976.  0.98 -3.25   4.76  -4.94   0.02 0.42 1.07 1.15  0.16 805.81036804.  2.12 752.4 251924.
13:06:27 0.94 165.80  12.32 -5.96 1657   2.52   752.6 213411.  1.31 -0.50   4.01  -5.46  -1.31 0.90 0.78 1.05  0.15 817.1 845119.  2.11 751.0 211488.
13:07:07 0.94 165.80  12.31 -5.96 1657   2.70   746.9 246935.  0.33  1.09   5.17  -4.59  -0.07 0.58 0.94 0.95  0.13 801.71144912.  2.13 747.1 232486.
13:07:48 0.94 165.80  12.31 -5.96 1657   2.52   755.3 212579.  1.48 -1.64   4.76  -5.13  -0.41 0.35 0.50 0.37  0.13 807.11045952.  2.08 753.1 208837.
13:08:29 0.94 165.80  12.30 -5.96 1657   2.30   775.6 226353.  1.94  0.75   3.44  -5.95  -1.55 0.43 0.35 0.43  0.13 803.71492315.  2.00 771.9 234669.
