1981/294   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:39 0.89  76.40 321.56 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.79 418.2 190545.
 0:02:00 0.89  76.39 321.54 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.65 417.4 225570.
 0:03:21 0.89  76.39 321.53 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.88 421.3 235055.
 0:04:42 0.89  76.39 321.52 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.38 419.7 223832.
 0:06:03 0.89  76.39 321.50 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.34 424.7 216247.
 0:07:24 0.89  76.39 321.49 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.41 414.4 236644.
 0:08:45 0.89  76.39 321.48 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.55 409.3 213102.
 0:10:06 0.89  76.39 321.47 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.41 413.3 239882.
 0:11:27 0.89  76.39 321.46 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 46.52 415.7 255605.
 0:12:48 0.89  76.39 321.44 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.91 416.4 204906.
 0:14:09 0.89  76.39 321.43 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.96 410.8 210451.
 0:15:30 0.89  76.39 321.42 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.97 412.0 221350.
 0:16:51 0.89  76.39 321.41 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.12 408.5 215483.
 0:18:12 0.89  76.39 321.39 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.33 410.5 218027.
 0:19:33 0.89  76.39 321.38 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.82 407.7 227464.
 0:20:54 0.89  76.39 321.37 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.73 402.6 216087.
 0:22:15 0.89  76.39 321.35 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.74 405.5 230358.
 0:23:36 0.89  76.39 321.34 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.14 402.7 210104.
 0:24:57 0.89  76.39 321.33 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.26 404.5 214278.
 0:26:18 0.89  76.39 321.32 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.42 401.2 206755.
 0:27:39 0.89  76.39 321.31 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.70 402.5 214083.
 0:29:00 0.89  76.39 321.29 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.57 402.5 203318.
 0:30:21 0.89  76.39 321.28 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.52 405.7 205822.
 0:31:42 0.89  76.39 321.27 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.17 408.5 175469.
 0:33:03 0.89  76.39 321.26 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.61 405.9 176141.
 0:34:24 0.89  76.39 321.24 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.48 399.0 193377.
 0:35:45 0.89  76.39 321.23 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.58 410.8 198091.
 0:37:06 0.89  76.39 321.22 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.37 407.1 180793.
 0:38:27 0.89  76.39 321.20 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.78 402.0 183629.
 0:39:48 0.89  76.39 321.19 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.24 402.8 165090.
 0:41:09 0.89  76.39 321.18 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.07 402.8 178106.
 0:42:30 0.89  76.39 321.17 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.61 401.4 192380.
 0:43:51 0.89  76.39 321.16 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.02 406.6 190486.
 0:45:12 0.89  76.39 321.14 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.22 403.4 163547.
 0:46:33 0.89  76.39 321.13 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.96 403.7 181826.
 0:47:54 0.89  76.39 321.12 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.00 406.2 167682.
 0:49:15 0.89  76.39 321.11 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.01 402.6 190103.
 0:50:36 0.89  76.39 321.09 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.40 409.0 163479.
 0:51:57 0.89  76.39 321.08 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.10 411.0 181244.
 0:53:18 0.89  76.39 321.07 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.34 420.9 185162.
 0:54:39 0.89  76.39 321.05 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.25 423.0 166237.
 0:56:00 0.89  76.39 321.04 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.26 438.1 166743.
 0:57:21 0.89  76.39 321.03 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.68 449.9 173630.
 0:58:42 0.89  76.39 321.02 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.15 449.9 145515.
 1:00:03 0.89  76.39 321.01 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.60 462.2 137319.
 1:01:24 0.89  76.39 320.99 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.33 434.7 160055.
 1:02:45 0.89  76.39 320.98 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.05 429.8 156348.
 1:04:06 0.89  76.39 320.97 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.74 423.0 184470.
 1:05:27 0.89  76.39 320.96 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.17 422.6 177590.
 1:06:47 0.89  76.39 320.94 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.82 436.7 148929.
 1:09:29 0.89  76.39 320.92 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.22 423.1 197734.
 1:10:50 0.89  76.39 320.90 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.40 425.8 170183.
 1:12:12 0.89  76.39 320.89 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.07 429.0 174484.
 1:13:33 0.89  76.39 320.88 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.76 427.6 165847.
 1:14:54 0.89  76.39 320.87 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.51 440.7 157622.
 1:16:15 0.89  76.39 320.86 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.37 434.1 208739.
 1:17:36 0.89  76.39 320.84 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.59 418.6 216347.
 1:18:57 0.89  76.39 320.83 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.17 421.7 179286.
 1:20:18 0.89  76.39 320.82 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.61 423.9 139268.
 1:21:39 0.89  76.39 320.81 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.12 427.6 166558.
 1:23:00 0.89  76.39 320.79 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.51 432.8 183814.
 1:24:21 0.89  76.39 320.78 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.47 417.5 159922.
 1:25:42 0.89  76.39 320.77 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.31 408.8 169381.
 1:27:03 0.89  76.39 320.75 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.31 417.6 163628.
 1:28:24 0.89  76.39 320.74 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.11 427.8 169531.
 1:29:45 0.89  76.39 320.73 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.10 429.1 159870.
 1:31:06 0.89  76.39 320.72 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.70 426.1 167107.
 1:32:27 0.89  76.39 320.71 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.91 466.1 158736.
 1:33:48 0.89  76.39 320.69 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.32 460.8 180208.
 1:35:09 0.89  76.39 320.68 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.84 429.2 174299.
 1:36:30 0.89  76.39 320.67 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.50 428.2 165843.
 1:37:51 0.89  76.39 320.66 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.04 442.7 139833.
 1:39:12 0.89  76.39 320.64 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.00 421.0 223507.
 1:40:33 0.89  76.39 320.63 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.34 432.0 171944.
 1:41:54 0.89  76.39 320.62 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.12 431.7 181063.
 1:43:15 0.89  76.39 320.60 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.93 438.4 139875.
 1:44:36 0.89  76.39 320.59 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.78 457.1 182274.
 1:45:57 0.89  76.39 320.58 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.34 436.7 191142.
 1:47:18 0.89  76.39 320.57 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.36 466.8 176274.
 1:48:39 0.89  76.38 320.56 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.71 463.9 146548.
 1:50:00 0.89  76.38 320.54 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.21 437.2 157186.
 1:51:21 0.89  76.38 320.53 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.52 437.9 230452.
 1:52:42 0.89  76.38 320.52 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.52 455.9 139375.
 1:54:03 0.89  76.38 320.51 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.59 444.6 175868.
 1:55:24 0.89  76.38 320.49 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.47 458.9 160064.
