1979/194   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:34:08 0.88 121.10 175.83  3.01 1683   1.86   750.6 710139.-25.05  8.84   0.00   0.00   0.00 0.00 0.00 0.00  0.04 831.41046575.  1.75 750.3 449950.
 0:44:56 0.88 121.10 175.73  3.01 1683   4.53   655.6 360283.-22.04  0.06   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.67 661.2 337492.
 0:55:44 0.88 121.10 175.63  3.01 1683   3.70   657.4 434130.-22.52  0.30   0.00   0.00   0.00 0.00 0.00 0.00  0.14 718.7 889402.  3.77 664.9 367423.
 1:06:32 0.88 121.09 175.53  3.01 1683   4.07   651.7 444854.-21.65 -0.91   0.00   0.00   0.00 0.00 0.00 0.00  0.18 716.31269861.  4.22 659.5 412847.
 1:17:20 0.88 121.09 175.43  3.01 1683   6.12   631.4 526848.-21.34 -0.76   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.27 647.4 584794.
 1:28:08 0.88 121.09 175.33  3.01 1683   4.26   630.5 818017.-20.62 -1.84   0.00   0.00   0.00 0.00 0.00 0.00  2.64 480.1 362190.  4.89 636.1 864291.
 1:38:56 0.88 121.09 175.23  3.01 1683   4.30   606.7 702833.-26.54 -0.80   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.47 607.6 481704.
 1:49:44 0.88 121.09 175.13  3.01 1683   3.39   616.6 847042.-13.96  5.06   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.40 626.1 879540.
 2:00:32 0.88 121.09 175.03  3.01 1683   3.21   640.0 710568.-16.40  4.89   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.47 658.8 456876.
 2:11:20 0.88 121.09 174.93  3.01 1683   0.88   703.21301514.-25.44  5.95   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  0.98 535.8 258694.
 2:22:08 0.88 121.09 174.83  3.00 1683   0.52   848.11582181.  0.00  7.13   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 2:32:56 0.88 121.09 174.73  3.00 1683   0.51   818.61355932.  0.00 14.45   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 2:43:44 0.88 121.09 174.63  3.00 1683   0.56   873.32174803.  0.00 10.22   0.00   0.00   0.00 0.00 0.00 0.00  0.41 689.91204164. -1.00  -1.0     -1.
 3:05:20 0.88 121.09 174.44  3.00 1683   0.56   838.81415652.-24.99  8.85   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 3:16:08 0.88 121.09 174.33  3.00 1683   0.50   817.71815966.  0.00  6.49   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 3:26:56 0.88 121.09 174.24  3.00 1683   0.48   826.41779739.-30.16 12.23   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 3:37:44 0.88 121.09 174.13  3.00 1683   0.44   836.42199231.-27.83 11.83   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
