1982/058   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:44 0.93 260.71 247.34  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.25 333.4  15956.
 0:06:08 0.93 260.71 247.29  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.97 334.5  16174.
 0:11:32 0.93 260.71 247.24  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.04 333.9  17974.
 0:16:56 0.93 260.71 247.19  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.00 336.1  15570.
 0:22:20 0.93 260.71 247.14  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.14 334.8  15693.
 0:27:44 0.93 260.70 247.09  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.74 337.5  15362.
 0:33:08 0.93 260.70 247.04  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.38 338.2  17769.
 0:38:32 0.93 260.70 246.99  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.00 337.8  12458.
 0:43:56 0.93 260.70 246.94  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.86 344.5  14764.
 0:49:20 0.93 260.70 246.89  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.84 336.6  17428.
 0:54:44 0.93 260.70 246.84  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.61 340.7  17470.
 1:00:08 0.93 260.70 246.79  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.20 336.2  17165.
 1:05:32 0.93 260.70 246.74  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.24 335.1  16229.
 1:10:56 0.93 260.70 246.69  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 23.13 333.7  16804.
 1:16:20 0.93 260.70 246.64  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 24.41 338.7  20514.
 1:21:44 0.93 260.70 246.59  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 23.37 342.8  18341.
 1:27:08 0.93 260.70 246.54  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.48 340.2  21307.
 1:32:32 0.93 260.69 246.49  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.99 345.0  19231.
 1:37:56 0.93 260.69 246.44  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.75 345.0  17402.
 1:43:20 0.93 260.69 246.39  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.70 345.5  17733.
 1:48:44 0.93 260.69 246.34  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.57 346.3  15541.
 1:54:08 0.93 260.69 246.28  2.12 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.20 345.4  16213.
 1:59:32 0.93 260.69 246.24  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.86 342.8  16223.
 2:04:56 0.93 260.69 246.19  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 73.79 396.0  43802.
 2:10:20 0.93 260.69 246.13  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 72.01 394.4  59460.
 2:15:44 0.93 260.69 246.09  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 70.81 404.3  57598.
 2:21:08 0.93 260.69 246.03  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 75.95 410.1  70495.
 2:26:32 0.93 260.69 245.99  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 66.30 407.2  62244.
 2:31:56 0.93 260.69 245.94  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 66.87 383.5 121489.
 2:37:20 0.93 260.68 245.88  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 64.50 389.2  92484.
 2:42:44 0.93 260.68 245.84  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 74.17 396.1  59031.
