1979/276   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
21:00:31 0.80 105.57 144.91 -4.87 1686  -1.00    -1.0     -1. -1.00 -1.00   2.86   8.47   4.14 0.10 0.20 0.26 -1.00  -1.0     -1. -1.00  -1.0     -1.
21:03:13 0.80 105.57 144.89 -4.87 1686  -1.00    -1.0     -1. -1.00 -1.00   3.25   8.59   3.74 0.05 0.20 0.44 -1.00  -1.0     -1. -1.00  -1.0     -1.
21:05:55 0.80 105.57 144.86 -4.87 1686  -1.00    -1.0     -1. -1.00 -1.00   3.17   8.83   4.70 0.00 0.00 0.32 -1.00  -1.0     -1. -1.00  -1.0     -1.
21:08:37 0.80 105.57 144.84 -4.87 1686  -1.00    -1.0     -1. -1.00 -1.00   3.17   8.83   4.78 0.00 0.00 0.20 -1.00  -1.0     -1. -1.00  -1.0     -1.
21:11:17 0.80 105.57 144.82 -4.88 1686  -1.00    -1.0     -1. -1.00 -1.00   3.49   8.31   5.10 0.19 0.16 0.19 -1.00  -1.0     -1. -1.00  -1.0     -1.
23:03:13 0.80 105.64 143.85 -4.63 1686  -1.00    -1.0     -1. -1.00 -1.00  -8.95   3.23  -1.27 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
23:34:41 0.80 105.58 143.51 -4.88 1686  -1.00    -1.0     -1. -1.00 -1.00  -9.08   3.47  -0.64 0.10 0.20 0.19 -1.00  -1.0     -1. -1.00  -1.0     -1.
23:37:23 0.80 105.58 143.48 -4.89 1686  -1.00    -1.0     -1. -1.00 -1.00  -8.64   2.62   2.49 0.07 0.16 0.74 -1.00  -1.0     -1. -1.00  -1.0     -1.
23:40:05 0.80 105.58 143.46 -4.89 1686  -1.00    -1.0     -1. -1.00 -1.00  -9.13   1.90   3.07 0.10 0.22 0.20 -1.00  -1.0     -1. -1.00  -1.0     -1.
23:42:47 0.80 105.58 143.43 -4.89 1686  -1.00    -1.0     -1. -1.00 -1.00  -9.18   0.36   2.34 0.20 0.21 0.16 -1.00  -1.0     -1. -1.00  -1.0     -1.
23:46:25 0.80 105.58 143.40 -4.89 1686  -1.00    -1.0     -1. -1.00 -1.00  -8.19   2.87   6.18 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
