1979/231   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
16:32:57 0.97 156.32  72.63 -5.26 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.91 319.7  46424.
16:43:45 0.97 156.32  72.54 -5.26 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.42 319.7  62822.
16:54:33 0.97 156.31  72.43 -5.26 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.48 320.6  35191.
17:05:21 0.97 156.31  72.33 -5.26 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 24.81 325.1  34093.
17:37:45 0.97 156.31  72.03 -5.26 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.37 333.8  64423.
20:15:32 0.97 156.28  70.55 -5.27 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.68 307.5  31305.
20:26:20 0.97 156.28  70.45 -5.27 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.98 307.6  28125.
20:37:08 0.97 156.27  70.35 -5.27 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.27 305.4  27095.
20:41:21 0.97 156.27  70.31 -5.27 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.74 309.4  28015.
20:52:09 0.97 156.27  70.21 -5.27 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 25.73 308.5  29340.
21:02:57 0.97 156.27  70.10 -5.27 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 23.72 317.1  38182.
21:13:45 0.97 156.27  70.01 -5.27 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.45 304.4  28018.
21:24:33 0.97 156.27  69.91 -5.27 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.01 305.1  27394.
21:35:21 0.97 156.26  69.80 -5.27 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.66 303.8  25705.
21:46:09 0.97 156.26  69.70 -5.28 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.65 301.5  25361.
21:56:57 0.97 156.26  69.60 -5.28 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.15 294.4  28879.
22:07:45 0.97 156.26  69.50 -5.28 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.94 289.5  28356.
22:18:33 0.97 156.26  69.40 -5.28 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.66 290.4  35405.
