1974/353   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:59:52 0.98 357.23  94.03 -1.03 1622   4.44   748.7 378796. -2.80  2.49   5.74  -3.75  -0.47 0.19 0.57 0.33  0.19 812.21195224.  4.56 753.8 354888.
 1:00:02 0.98 357.23  94.03 -1.03 1622   4.16   754.5 328952. -1.48  1.57   5.37  -4.04  -0.68 0.21 0.28 0.27  0.17 809.41236389.  4.11 754.7 386956.
 1:00:43 0.98 357.23  94.02 -1.03 1622   4.27   746.5 372507. -2.68  2.52   5.29  -4.25  -0.80 0.30 0.40 0.32  0.16 804.81063831.  4.07 750.4 359617.
 1:01:24 0.98 357.23  94.01 -1.03 1622   4.30   752.1 337580. -2.42  3.28   0.00   0.00   0.00 0.00 0.00 0.00  0.14 816.4 853019.  4.62 753.8 442050.
 1:02:04 0.98 357.23  94.01 -1.03 1622   4.03   754.7 393557. -2.35  2.90   0.00   0.00   0.00 0.00 0.00 0.00  0.17 798.91215807.  4.16 752.6 371000.
 1:02:44 0.98 357.23  94.00 -1.03 1622   4.40   754.7 328068. -1.74  2.78   4.64  -4.72   0.15 0.36 0.39 0.34  0.15 820.7 742832.  4.38 754.2 319388.
 1:03:25 0.98 357.22  93.99 -1.03 1622   4.00   761.6 383318. -1.84  1.84   4.98  -4.02   0.08 0.88 1.33 0.94  0.15 814.91371941.  3.99 760.0 349794.
 1:04:05 0.98 357.22  93.99 -1.03 1622   4.91   754.6 337268. -2.48  2.76   2.96  -4.96  -1.64 0.54 0.39 0.32  0.21 798.51530361.  4.49 758.4 266218.
 1:04:46 0.98 357.22  93.98 -1.03 1622   3.94   747.9 300417.  0.00  0.00   3.10  -5.23  -0.73 0.48 0.53 0.33  0.21 764.8 743663.  3.92 740.6 263411.
 1:04:56 0.98 357.22  93.98 -1.03 1622   3.81   775.9 323079.  0.00  0.00   3.10  -5.31  -0.60 0.44 0.43 0.26  0.20 793.3 802083.  3.79 769.4 285500.
 1:05:06 0.98 357.22  93.98 -1.03 1622   3.80   775.6 323079. -0.87  2.68   2.74  -5.50  -0.70 0.39 0.44 0.18  0.20 793.0 801668.  3.80 769.4 286696.
 1:05:26 0.98 357.22  93.98 -1.03 1622   4.20   761.5 347091. -0.98  2.20   2.22  -5.73   1.24 0.55 0.38 0.19  0.20 804.51248447.  4.35 769.7 396572.
 1:06:07 0.98 357.22  93.97 -1.03 1622   4.30   775.8 328536. -0.98  1.12   3.00  -5.34   0.60 0.46 0.72 0.60  0.19 802.6 756553.  4.30 774.3 319232.
 1:06:47 0.98 357.22  93.96 -1.03 1622   4.24   758.4 368245. -1.71  1.02   1.54  -5.79   0.36 0.49 0.64 0.29  0.18 778.4 881710.  4.18 758.0 322039.
 1:07:28 0.98 357.22  93.96 -1.03 1622   4.28   777.4 345636. -0.31  1.21   0.84  -5.50  -0.38 1.67 1.52 1.37  0.20 796.61133062.  4.37 772.2 354888.
