1978/168   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:21:55 0.81 173.73 350.31 -0.45 1669  10.55   379.8 134814. -2.94 -1.99  -1.47   2.23  -3.78 0.00 0.00 0.00 -1.00  -1.0     -1.  9.35 379.6 135366.
 1:05:07 0.81 173.74 349.92 -0.45 1669  10.26   354.6 133882.  1.90  0.61  -3.02   6.63   1.71 0.00 0.00 0.00 -1.00  -1.0     -1.  9.43 352.4 126687.
 1:48:19 0.81 173.74 349.52 -0.45 1669   9.92   363.2  79425. -5.14  0.85   0.55  -4.97   5.54 0.00 0.00 0.00  0.32 361.5 167984.  9.05 365.2  79217.
12:24:16 0.81 173.76 343.69 -0.51 1669  -1.00    -1.0     -1. -1.00 -1.00  -4.63   2.22   6.99 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
13:07:28 0.81 173.76 343.30 -0.51 1669   8.45   372.9  77518. -2.76  3.35   0.00   0.00   0.00 0.00 0.00 0.00  0.23 377.9 167270.  7.96 372.3  78769.
13:50:40 0.81 173.76 342.90 -0.52 1669   9.60   375.3  78522.  0.60  3.22  -2.82   6.22   6.11 0.00 0.00 0.00 -1.00  -1.0     -1.  9.04 375.3  81478.
14:33:52 0.81 173.76 342.51 -0.52 1669  11.60   358.5 119488. -0.52 -2.17   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 10.13 357.1 106397.
14:45:52 0.81 173.76 342.40 -0.52 1669  -1.00    -1.0     -1. -1.00 -1.00 -10.98  -5.18   1.64 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
21:21:52 0.82 173.77 338.77 -0.56 1669  -1.00    -1.0     -1. -1.00 -1.00  -5.59  13.61   5.18 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
22:05:04 0.82 173.78 338.37 -0.56 1669   5.36   449.9  24461. -1.11 -1.48   0.00   0.00   0.00 0.00 0.00 0.00  0.16 438.1 124533.  7.21 452.4  25822.
22:48:16 0.82 173.78 337.98 -0.56 1669  21.92   462.5  23863.  0.00  0.00   0.86  10.41  11.24 0.00 0.00 0.00  1.01 461.8  62721. 16.54 462.0  25819.
