1977/257   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:08:26 0.70 137.44 354.21 -5.74 1659   4.02   559.6  46265. -1.36 -0.79   0.00   0.00   0.00 0.00 0.00 0.00  0.11 585.5 454511.  3.61 559.9  50530.
 0:09:02 0.70 137.44 354.20 -5.74 1659   4.06   563.7  58771. -1.37 -0.77   0.00   0.00   0.00 0.00 0.00 0.00  0.10 569.3 445767.  3.85 563.1  61091.
 0:19:50 0.70 137.44 354.11 -5.75 1659  -1.00    -1.0     -1. -1.00 -1.00  14.13  -0.08  -1.10 0.00 0.00 0.19 -1.00  -1.0     -1.  4.02 556.4  87734.
 5:03:31 0.70 137.52 351.58 -5.77 1659   5.52   499.8 182505. -2.18 -2.37  11.33  -2.21  -3.25 0.00 0.00 0.00  0.33 536.2 440556.  4.98 495.0 198685.
 5:14:26 0.70 137.52 351.48 -5.77 1659   4.70   504.7 177480. -1.94 -0.75   0.00   0.00   0.00 0.00 0.00 0.00  0.32 535.0 688530.  4.68 500.4 139216.
 5:25:14 0.70 137.52 351.39 -5.77 1659   5.04   498.3 199618.  0.00  0.00  11.56  -0.38  -3.28 0.09 0.37 0.05  0.42 527.3 526003.  5.66 494.0 174670.
 5:37:08 0.70 137.53 351.28 -5.77 1659  -1.00    -1.0     -1. -1.00 -1.00   9.88  -0.62  -1.49 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 5:46:43 0.70 137.53 351.20 -5.77 1659   4.97   497.2 183752. -2.95 -2.59   0.00   0.00   0.00 0.00 0.00 0.00  0.38 537.7 744001.  4.98 496.0 163157.
 6:20:20 0.70 137.54 350.90 -5.77 1659   4.97   497.1 183720. -2.95 -2.59   0.00   0.00   0.00 0.00 0.00 0.00  0.38 537.7 743702.  4.98 496.0 163157.
 6:29:55 0.70 137.54 350.81 -5.77 1659   4.51   488.3 122058. -2.20 -3.19   0.00   0.00   0.00 0.00 0.00 0.00  0.34 521.3 615453.  4.56 490.9 195661.
