1980/192   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:38 0.75 105.77  49.75  4.85 1696   4.90   413.6 104321.  4.32  0.39  -3.70   7.69  -0.11 0.21 0.13 0.22  0.11 437.2 207680.  4.67 411.1  98120.
 0:01:59 0.75 105.77  49.74  4.85 1696   4.73   409.2  86536.  4.09  0.18  -4.02   7.57   0.29 0.32 0.27 0.42  0.11 425.8 219557.  4.36 408.3  69039.
 0:03:20 0.75 105.77  49.73  4.85 1696   4.47   412.0  98688.  4.11 -1.42  -4.40   7.22  -1.03 0.31 0.13 0.40 -1.00  -1.0     -1.  4.21 403.2  66496.
 0:04:41 0.75 105.77  49.72  4.85 1696   4.51   408.1  88105.  4.04 -1.14  -5.16   6.69  -1.13 0.31 0.32 0.29 -1.00  -1.0     -1.  4.36 403.5  81793.
 0:06:02 0.75 105.77  49.70  4.85 1696   5.02   407.9 108508.  3.82 -1.50  -4.95   6.81  -1.28 0.42 0.37 0.15  0.10 437.2 361813.  4.85 406.3  88069.
 0:07:23 0.75 105.77  49.69  4.85 1696   4.30   393.3 109168.  0.00 -3.89  -7.13   3.60  -1.92 0.50 0.82 1.00 -1.00  -1.0     -1.  4.26 392.8  86906.
 0:08:44 0.75 105.77  49.68  4.85 1696   4.61   387.7  89027. -4.76 -4.20  -7.19   2.05  -2.27 0.53 2.26 0.99 -1.00  -1.0     -1.  4.62 385.3  74539.
 0:10:05 0.75 105.77  49.67  4.85 1696   4.37   392.1  95972. -1.02 -4.18  -7.42   2.38  -3.03 0.14 0.42 0.26  0.09 443.0 256615.  4.07 386.5  53681.
 0:11:26 0.75 105.77  49.65  4.85 1696   4.72   386.9  80789. -1.79 -3.99  -7.61   1.94  -2.63 0.15 0.18 0.33 -1.00  -1.0     -1.  4.21 383.8  60779.
 0:12:47 0.75 105.77  49.64  4.85 1696   4.57   380.7  69884. -1.68 -2.49  -7.45   2.56  -2.27 0.16 0.25 0.19  0.12 418.7 329887.  4.20 380.9  52674.
 0:14:08 0.75 105.77  49.63  4.85 1696   4.37   383.1  80178. -1.36 -1.81  -7.58   2.55  -1.71 0.20 0.20 0.40 -1.00  -1.0     -1.  4.07 377.1  47873.
 0:15:29 0.75 105.77  49.62  4.85 1696   4.54   383.3  69153. -1.26 -3.00  -7.60   2.46  -2.14 0.22 0.24 0.33 -1.00  -1.0     -1.  4.16 383.3  51186.
 0:16:50 0.75 105.77  49.61  4.85 1696   4.42   389.6  80442. -0.10 -3.16  -7.02   3.62  -2.57 0.06 0.20 0.12 -1.00  -1.0     -1.  4.38 386.0  70920.
 0:18:11 0.75 105.77  49.60  4.85 1696   4.27   388.6  97454. -3.81 -4.50  -7.28   1.92  -3.28 0.22 0.87 0.31 -1.00  -1.0     -1.  4.05 387.1  52674.
 0:19:32 0.75 105.77  49.58  4.85 1696   4.29   405.6  84278.  1.34 -5.28  -6.88   3.50  -2.64 0.78 1.01 1.01 -1.00  -1.0     -1.  4.27 404.6  82358.
 0:20:53 0.75 105.77  49.57  4.85 1696   4.70   381.6  71872. -1.32 -2.39  -7.41   2.85  -1.31 0.09 0.20 0.00 -1.00  -1.0     -1.  4.15 383.3  50169.
 0:22:14 0.75 105.77  49.56  4.85 1696   4.27   384.5  79824. -0.48 -1.91  -7.18   3.69  -1.63 0.37 0.28 0.57  0.09 435.0 256875.  4.03 378.1  44949.
 0:23:35 0.75 105.77  49.55  4.85 1696   4.81   385.8  69920. -0.23 -3.42  -6.91   3.93  -2.57 0.24 0.12 0.33  0.10 437.9 253107.  4.28 384.9  58196.
 0:24:56 0.75 105.77  49.54  4.85 1696   4.17   390.6  82975. -0.41 -4.14  -6.94   3.52  -2.93 0.10 0.16 0.16 -1.00  -1.0     -1.  4.35 387.2  73308.
 0:26:17 0.75 105.77  49.52  4.85 1696   4.23   389.3  95362. -1.02 -4.29  -7.46   3.09  -1.99 0.27 0.22 1.17  0.13 405.8 222350.  4.18 389.5  72145.
 0:27:38 0.75 105.77  49.51  4.85 1696   4.25   382.3  54077.  0.45 -1.01  -7.43   3.70  -0.91 0.16 0.17 0.00 -1.00  -1.0     -1.  4.40 382.1  63033.
 0:28:59 0.75 105.77  49.50  4.85 1696   4.11   379.8  69770. -0.30 -1.50  -7.64   3.28  -0.95 0.14 0.22 0.12  0.15 391.6 181602.  3.92 380.8  55091.
 0:30:20 0.75 105.78  49.49  4.85 1696   4.23   382.2  56513.  0.41 -1.14  -7.41   3.93  -0.40 0.14 0.22 0.35 -1.00  -1.0     -1.  4.34 381.0  65664.
 0:31:41 0.75 105.78  49.47  4.85 1696   4.50   381.0  72171. -0.89 -3.01  -7.30   3.56  -1.33 0.18 0.23 0.31  0.05 438.4 239983.  4.03 385.4  65239.
 0:33:02 0.75 105.78  49.46  4.85 1696   4.27   386.4  79620. -0.29 -3.23  -7.07   3.97  -2.13 0.18 0.16 0.39 -1.00  -1.0     -1.  4.03 384.8  65911.
 0:34:23 0.75 105.78  49.45  4.85 1696   3.93   389.2 100442. -0.77 -4.12  -7.01   3.42  -2.59 0.19 0.11 0.29 -1.00  -1.0     -1.  3.81 386.6  56029.
 0:35:44 0.75 105.78  49.44  4.85 1696   4.40   385.1  78054. -0.79 -3.41  -7.26   2.65  -2.84 0.11 0.29 0.24 -1.00  -1.0     -1.  4.10 381.8  57079.
 0:37:05 0.75 105.78  49.42  4.85 1696   4.40   383.1  74653.  0.01 -2.30  -6.99   4.37  -1.43 0.26 0.68 0.41 -1.00  -1.0     -1.  3.85 383.9  58437.
 0:38:26 0.75 105.78  49.41  4.85 1696   4.42   386.8  76898.  1.37 -1.61  -6.93   4.75  -1.17 0.24 0.10 0.20 -1.00  -1.0     -1.  4.32 385.2  68406.
 0:39:47 0.75 105.78  49.40  4.84 1696   4.39   390.4 104847.  1.21 -3.11  -6.77   4.43  -2.69 0.23 0.20 0.53  0.10 421.5 229627.  3.98 387.4  70852.
 0:41:08 0.75 105.78  49.39  4.84 1696   4.17   389.8  87780.  0.84 -3.02  -6.62   4.07  -2.69 0.17 0.18 0.24  0.08 422.5 260669.  3.79 384.8  65492.
 0:42:29 0.75 105.78  49.37  4.84 1696   4.65   396.3  87868.  2.48  1.62  -6.10   5.11  -0.81 0.26 0.42 1.52  0.12 443.6 360813.  4.02 386.4  49302.
 0:43:50 0.75 105.78  49.36  4.84 1696   4.52   399.2 120222. -0.39 -4.65  -5.90   3.17  -4.54 0.31 0.48 0.33  0.09 432.7 195921.  4.41 394.8  78905.
 0:45:11 0.75 105.78  49.35  4.84 1696   4.70   409.0  84252.  4.16  4.24  -4.42   6.07   3.25 0.30 0.26 0.14 -1.00  -1.0     -1.  4.25 403.4  78661.
 0:46:32 0.75 105.78  49.34  4.84 1696   4.31   405.6  74572.  4.17  4.44  -4.19   6.45   3.12 0.17 0.18 0.36  0.05 474.3 135318.  3.90 403.0  55679.
 0:47:53 0.75 105.78  49.33  4.84 1696   4.64   401.9  84466.  4.08  2.69  -4.79   6.39   2.78 0.20 0.16 0.28  0.06 439.9 225430.  4.38 395.0  76180.
 0:49:14 0.75 105.78  49.31  4.84 1696   4.78   405.3  75679.  3.88  3.28  -4.12   6.78   3.09 0.38 0.17 0.09  0.05 452.7 163047.  4.41 400.6  62218.
 0:50:35 0.75 105.78  49.30  4.84 1696   4.65   406.4  84207.  4.13  2.80  -4.57   6.69   2.65 0.19 0.23 0.27  0.05 445.8 188437.  4.61 404.2  78990.
 0:51:56 0.75 105.78  49.29  4.84 1696  -1.00    -1.0     -1. -1.00 -1.00  -5.60   5.86   2.82 0.25 0.23 0.26 -1.00  -1.0     -1.  4.19 395.3  60035.
 0:53:17 0.75 105.78  49.28  4.84 1696   4.82   385.7  68510.  2.32 -0.44  -6.00   5.73   0.26 0.69 0.58 0.28 -1.00  -1.0     -1.  4.06 383.5  50026.
 0:54:38 0.75 105.78  49.27  4.84 1696   4.33   380.4  51816.  2.00  0.12  -6.89   5.22   0.15 0.21 0.15 0.38 -1.00  -1.0     -1.  4.48 375.5  49724.
 0:55:59 0.75 105.78  49.26  4.84 1696   4.58   381.6  63381.  1.65 -0.70  -7.16   4.85  -0.26 0.26 0.37 0.29  0.11 419.4 221987.  4.39 381.7  49240.
 0:57:20 0.75 105.78  49.24  4.84 1696   4.40   380.4  53122.  1.39 -0.60  -7.40   4.56  -0.18 0.14 0.45 0.40 -1.00  -1.0     -1.  4.18 377.4  44949.
 0:58:41 0.75 105.78  49.23  4.84 1696   4.73   378.7  63468.  0.00 -2.05  -7.64   3.90  -1.48 0.13 0.18 0.32  0.16 412.4 299716.  4.47 376.9  59882.
 1:00:02 0.75 105.78  49.22  4.84 1696   4.63   381.3  53541.  0.16 -1.97  -7.73   3.82  -1.32 0.12 0.22 0.00  0.07 446.3 239411.  4.71 381.7  69507.
 1:01:23 0.75 105.78  49.21  4.84 1696   4.78   383.5  70654.  0.81 -1.93  -7.42   4.13  -1.54 0.16 0.25 0.32 -1.00  -1.0     -1.  4.46 382.0  58722.
 1:02:44 0.75 105.78  49.19  4.84 1696   4.30   382.6  55958.  0.38 -2.60  -7.66   3.37  -2.40 0.17 0.33 0.31  0.08 433.5 214463.  4.38 382.7  62887.
 1:04:05 0.75 105.78  49.18  4.84 1696   4.65   381.5  70651. -1.00 -2.76  -7.57   2.52  -3.04 0.16 0.21 0.36 -1.00  -1.0     -1.  4.37 381.9  55373.
 1:05:26 0.75 105.78  49.17  4.84 1696   4.48   384.8  79363.  0.03 -2.27  -7.36   3.70  -2.16 0.15 0.25 0.34  0.11 396.9 262371.  4.31 382.5  68377.
 1:06:47 0.75 105.78  49.16  4.84 1696   4.67   383.4  72161. -1.35 -3.71  -7.24   3.60  -2.06 0.22 0.70 0.87  0.09 418.9 242270.  4.15 383.8  50465.
 1:08:08 0.75 105.78  49.14  4.84 1696   4.66   388.9  74961.  1.18 -1.97  -6.99   4.31  -2.09 0.15 0.14 0.36  0.11 429.0 249417.  4.37 385.6  68945.
 1:09:29 0.75 105.78  49.13  4.84 1696   4.12   381.7  70293.  1.25 -0.73  -7.47   3.72  -0.98 0.18 0.52 0.95  0.09 462.6 219401.  3.96 380.9  51257.
 1:10:50 0.75 105.78  49.12  4.84 1696   4.43   384.8  80097.  0.00  0.00  -7.27   4.58  -0.89 0.20 0.19 0.37 -1.00  -1.0     -1.  4.46 381.0  71229.
 1:12:11 0.75 105.78  49.11  4.84 1696   4.47   379.6  70303.  1.29 -1.04  -7.27   4.24  -1.14 0.13 0.10 0.28 -1.00  -1.0     -1.  4.23 377.8  48724.
 1:13:32 0.75 105.78  49.09  4.84 1696   4.20   382.0  55299.  1.00 -0.97  -7.35   4.05  -1.35 0.13 0.31 0.35 -1.00  -1.0     -1.  4.69 382.7  66386.
 1:14:53 0.75 105.78  49.08  4.84 1696   4.41   380.2  57810.  1.49  0.04  -7.26   4.50  -0.18 0.08 0.16 0.28 -1.00  -1.0     -1.  4.59 377.6  52008.
 1:16:14 0.75 105.78  49.07  4.84 1696   4.30   376.8  50039.  0.18  0.38  -8.05   3.11  -0.47 0.15 0.56 0.28 -1.00  -1.0     -1.  4.08 372.9  38303.
 1:17:35 0.75 105.78  49.06  4.84 1696   4.56   379.2  65687. -0.43 -1.84  -7.64   3.69  -1.09 0.17 0.21 0.27 -1.00  -1.0     -1.  4.09 378.9  48925.
 1:18:56 0.75 105.78  49.05  4.84 1696   4.45   378.4  53379. -1.16 -2.16  -7.91   2.76  -1.21 0.16 0.20 0.42 -1.00  -1.0     -1.  4.27 377.1  45696.
 1:22:31 0.75 105.78  49.01  4.84 1696  -1.00    -1.0     -1. -1.00 -1.00  -7.51   3.57  -2.13 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 1:27:55 0.75 105.78  48.96  4.84 1696  -1.00    -1.0     -1. -1.00 -1.00  -7.61   3.35  -1.67 0.28 0.56 0.61 -1.00  -1.0     -1. -1.00  -1.0     -1.
 1:28:13 0.75 105.72  48.90  4.80 1697  -1.00    -1.0     -1. -1.00 -1.00  -7.60   3.43  -1.27 0.28 0.62 0.51 -1.00  -1.0     -1. -1.00  -1.0     -1.
 1:29:45 0.75 105.72  48.88  4.80 1697  -1.00    -1.0     -1. -1.00 -1.00  -7.25   4.19  -2.07 0.12 0.24 0.32 -1.00  -1.0     -1. -1.00  -1.0     -1.
 1:30:37 0.75 105.79  48.94  4.84 1696  -1.00    -1.0     -1. -1.00 -1.00  -7.28   4.21  -1.71 0.25 0.42 0.35 -1.00  -1.0     -1. -1.00  -1.0     -1.
 1:30:39 0.75 105.78  48.94  4.84 1696   4.36   391.6  70232.  1.29 -4.50   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.19 389.4  50604.
 1:30:55 0.75 105.79  48.94  4.84 1696   4.38   383.5  80919.  0.14 -2.66  -7.21   4.07  -1.79 0.35 0.45 0.48 -1.00  -1.0     -1.  4.23 377.1  44341.
 1:32:27 0.75 105.79  48.93  4.84 1696   4.64   388.6  76212.  2.73 -0.35  -6.86   5.05  -0.70 0.15 0.19 0.16 -1.00  -1.0     -1.  4.26 382.4  58560.
 1:35:09 0.75 105.79  48.90  4.84 1696   4.46   389.6  74097.  3.08 -1.46  -5.63   6.23  -1.72 0.50 0.50 0.34 -1.00  -1.0     -1.  4.50 387.1  51550.
 1:37:51 0.75 105.79  48.88  4.84 1696   4.84   397.2  76472.  4.68 -1.08  -6.05   5.86  -1.43 0.16 0.22 0.16  0.12 430.2 282772.  4.54 395.3  61873.
 1:40:33 0.75 105.79  48.85  4.84 1696   5.25   408.5  81946.  5.77 -0.56  -5.28   7.16  -1.04 0.17 0.09 0.20  0.13 437.6 228990.  5.06 405.9  74861.
 1:43:15 0.75 105.79  48.83  4.84 1696   4.78   398.6  71294.  4.03 -0.82  -6.02   6.42  -1.27 0.00 0.05 0.20 -1.00  -1.0     -1.  4.48 397.2  54022.
 1:45:57 0.75 105.79  48.80  4.84 1696   4.80   408.3  77937.  4.92 -0.40  -5.51   6.81  -1.19 0.31 0.30 0.04 -1.00  -1.0     -1.  4.85 405.6  62146.
 1:48:39 0.75 105.79  48.78  4.84 1696   4.73   391.1  73094.  3.20  0.00  -6.78   5.85  -1.15 0.15 0.21 0.17 -1.00  -1.0     -1.  4.88 386.2  67432.
 1:51:21 0.75 105.79  48.75  4.84 1696   4.72   379.9  66912. -1.24 -3.14  -7.75   2.91  -2.38 0.13 0.56 0.54 -1.00  -1.0     -1.  4.44 379.7  48438.
 1:54:03 0.75 105.79  48.73  4.84 1696   4.36   381.1  55149.  1.54 -1.26  -7.65   4.28  -1.28 0.12 0.17 0.17  0.17 396.6 222402.  4.52 377.7  47606.
 1:56:45 0.75 105.79  48.71  4.84 1696   4.85   380.3  64820.  0.65 -2.30  -7.67   3.74  -2.46 0.16 0.49 0.30  0.08 468.2 390932.  4.48 379.2  45742.
 1:59:27 0.75 105.79  48.68  4.84 1696   4.45   382.3  52810.  0.82 -1.70  -7.64   3.66  -2.22 0.21 0.30 0.53  0.09 420.5 228250.  4.50 377.7  44751.
 2:02:09 0.75 105.79  48.66  4.84 1696   4.83   383.4  63153.  0.69 -2.55  -7.64   3.50  -2.46 0.08 0.76 0.82 -1.00  -1.0     -1.  4.75 382.8  58004.
 2:04:51 0.75 105.79  48.63  4.84 1696   4.83   383.2  57494.  0.29 -2.62  -7.69   3.11  -2.94 0.16 0.12 0.00  0.10 424.4 216750.  4.67 384.0  65028.
 2:07:33 0.75 105.79  48.61  4.84 1696   5.19   384.3  62780.  1.57 -1.58  -7.68   3.99  -2.30 0.08 0.12 0.20 -1.00  -1.0     -1.  4.36 382.5  55221.
 2:10:15 0.75 105.79  48.58  4.84 1696   4.86   382.3  53574.  1.25 -2.26  -7.79   3.96  -2.34 0.15 0.18 0.20 -1.00  -1.0     -1.  4.67 383.1  60473.
 2:12:57 0.75 105.79  48.56  4.84 1696   4.92   386.8  70095.  0.52 -2.96  -7.62   4.12  -2.62 0.12 0.24 0.30 -1.00  -1.0     -1.  4.66 385.6  51953.
 2:15:39 0.75 105.79  48.53  4.84 1696   5.01   386.7  50991.  1.75 -1.99  -7.43   4.96  -1.95 0.17 0.19 0.46 -1.00  -1.0     -1.  4.99 384.0  56952.
 2:18:21 0.75 105.79  48.51  4.84 1696   4.82   388.9  64472.  3.56 -0.49  -6.98   6.12  -1.11 0.15 0.25 0.16  0.15 388.6 260448.  4.57 387.3  53921.
 2:21:03 0.75 105.79  48.49  4.84 1696   5.25   394.3  67561.  3.11 -0.75  -6.95   5.33  -1.62 0.24 0.69 0.54 -1.00  -1.0     -1.  4.74 392.5  48470.
 2:23:45 0.75 105.79  48.46  4.84 1696   5.14   384.2  66317.  1.09 -2.37  -7.50   4.21  -2.59 0.18 0.18 0.05  0.12 409.6 408682.  4.69 382.1  51969.
 2:26:27 0.75 105.79  48.44  4.84 1696   5.15   383.7  55256.  0.72 -2.85  -7.88   3.51  -2.63 0.13 0.25 0.30  0.13 394.0 240750.  4.92 382.4  70521.
 2:29:09 0.75 105.79  48.41  4.84 1696   4.69   387.2  60652. -0.35 -3.16  -7.96   3.02  -3.49 0.20 0.16 0.21  0.18 364.4 166841.  4.44 386.3  51186.
 2:31:51 0.75 105.80  48.39  4.84 1696   4.39   385.2  52882.  0.69 -1.51  -7.97   3.50  -2.55 0.05 0.20 0.00 -1.00  -1.0     -1.  4.78 383.0  58589.
 2:34:33 0.75 105.80  48.37  4.84 1696   4.90   382.2  58495.  1.13 -0.86  -8.38   3.36  -1.68 0.13 0.22 0.49  0.12 389.1 152522.  4.48 381.2  51930.
 2:37:15 0.75 105.80  48.34  4.84 1696   5.03   382.5  48233.  0.96 -1.71  -8.09   3.17  -2.66 0.23 0.10 0.35  0.18 375.9 234006.  4.74 381.0  54996.
 2:39:57 0.75 105.80  48.32  4.84 1696   4.47   382.5  56208.  1.40 -1.29  -8.08   3.77  -2.15 0.08 0.16 0.00 -1.00  -1.0     -1.  4.45 382.4  46196.
 2:42:39 0.75 105.80  48.29  4.84 1696   4.52   380.6  50052.  1.52 -0.53  -7.95   3.69  -1.35 0.00 0.00 0.00  0.13 372.2 210682.  4.59 378.4  49796.
 2:45:21 0.75 105.80  48.27  4.84 1696   4.95   383.5  60028. -0.30 -2.72  -8.09   2.88  -2.88 0.08 0.20 0.16  0.15 390.2 245090.  4.60 382.0  43373.
 2:48:03 0.75 105.80  48.24  4.83 1696   4.65   382.5  53028.  0.12 -2.17  -8.07   3.32  -2.52 0.14 0.19 0.04  0.17 388.9 172428.  4.66 379.7  46128.
 2:50:45 0.75 105.80  48.22  4.83 1696   4.94   395.2  57800.  4.13 -1.34  -7.14   5.36  -2.31 0.29 0.29 0.46  0.14 389.9 260487.  4.69 389.9  52450.
 2:53:27 0.75 105.80  48.19  4.83 1696   4.60   381.9  51436.  2.70 -0.54  -7.95   4.91  -1.26 0.34 0.13 0.17 -1.00  -1.0     -1.  4.79 380.4  57891.
 2:56:09 0.75 105.80  48.17  4.83 1696   5.09   386.7  65011.  2.75 -1.23  -7.63   4.99  -1.70 0.17 0.19 0.38  0.14 387.3 112890.  4.74 385.2  51300.
 2:58:51 0.75 105.80  48.14  4.83 1696   4.65   383.3  50731.  2.70 -0.89  -7.71   4.85  -1.36 0.15 0.19 0.00  0.19 372.8 208343.  4.76 379.5  43585.
 3:01:33 0.75 105.80  48.12  4.83 1696   4.79   384.8  57017.  2.14 -1.38  -7.99   4.31  -2.56 0.15 0.22 0.00  0.17 397.1 294830.  4.47 385.3  44670.
 3:04:15 0.75 105.80  48.10  4.83 1696   4.67   385.5  52820.  2.69 -1.24  -7.24   5.48  -0.87 0.79 0.75 0.83  0.08 421.1 247494.  4.45 380.4  50179.
 3:06:57 0.75 105.80  48.07  4.83 1696   5.12   393.5  66759.  4.66 -0.36  -5.58   7.35   0.45 0.15 0.06 0.30  0.09 446.2 152158.  4.66 388.1  55724.
 3:09:39 0.75 105.80  48.05  4.83 1696   5.03   395.9  67997.  4.62  0.86  -5.09   8.14  -0.58 0.04 0.16 0.17 -1.00  -1.0     -1.  4.61 393.6  49035.
