1983/042   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:09:34 0.71 245.99 305.76  5.38 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.04 495.9 389666.
 0:52:46 0.71 246.00 305.37  5.38 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.41 514.6 368726.
 1:35:58 0.71 246.01 304.99  5.38 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.18 455.0 348790.
 2:19:10 0.71 246.02 304.60  5.37 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.61 491.4 474866.
 3:02:22 0.71 246.03 304.22  5.37 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.41 477.1 284799.
 3:45:34 0.71 246.04 303.83  5.37 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.75 483.3 296646.
 4:28:46 0.71 246.05 303.45  5.36 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.94 501.4 401399.
 5:11:58 0.71 246.06 303.07  5.36 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.96 521.6 227902.
 5:55:10 0.71 246.07 302.68  5.36 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.18 505.8 309497.
 6:38:22 0.71 246.08 302.29  5.35 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.32 512.2 232469.
 7:21:34 0.71 246.09 301.91  5.35 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.55 507.9 278110.
 8:04:46 0.71 246.10 301.52  5.35 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.97 518.6 298728.
 8:47:58 0.71 246.11 301.14  5.34 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.20 516.0 298433.
 8:48:07 0.71 246.11 301.14  5.34 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.25 516.1 299131.
 9:31:10 0.71 246.12 300.75  5.34 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.80 526.3 340793.
 9:31:19 0.71 246.12 300.75  5.34 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.86 526.3 342163.
10:14:22 0.71 246.13 300.37  5.34 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.31 527.9 274400.
10:57:34 0.71 246.14 299.98  5.33 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.05 519.4 349281.
10:57:43 0.71 246.14 299.98  5.33 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.14 519.4 351227.
12:04:54 0.71 246.16 299.38  5.33 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.41 501.5 278364.
12:06:15 0.71 246.16 299.37  5.33 1732  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.70 532.5 291851.
