1976/049   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:03 0.89 350.41 227.28 -6.45 1638   2.52   738.7 248546.  3.45  0.25  -4.32   5.57   0.20 0.32 0.40 0.29  0.09 770.31443667.  2.17 736.7 217881.
 0:00:43 0.89 350.41 227.28 -6.45 1638   2.53   731.5 209461.  3.44  0.84  -4.73   5.03   0.62 0.37 0.41 0.46  0.09 782.8 992729.  2.27 731.9 265022.
 0:01:24 0.89 350.41 227.27 -6.45 1638   2.35   738.6 201768.  3.92 -0.33  -4.27   5.16  -0.56 0.91 1.01 0.92  0.10 767.0 860296.  2.00 735.5 215698.
 0:02:04 0.89 350.41 227.26 -6.45 1638   2.34   727.9 199585. -0.57  3.92  -5.52  -0.66   3.82 0.41 0.51 0.95  0.07 762.6 767572. -1.00  -1.0     -1.
 0:02:45 0.89 350.41 227.26 -6.45 1638   2.43   713.9 226405. -0.99  1.97  -6.08  -0.55   2.97 0.54 0.56 1.07  0.10 760.41246160.  2.26 709.8 210240.
 0:03:25 0.89 350.41 227.25 -6.45 1638   2.42   715.7 183005.  0.05  2.89  -6.24   0.60   2.98 0.29 0.49 0.42  0.08 781.8 877967.  2.00 714.4 183473.
 0:04:06 0.89 350.41 227.25 -6.45 1638   2.38   712.3 153171.  1.03  2.92  -5.90   1.56   3.08 0.30 0.34 0.40  0.12 767.31329529.  2.11 718.0 198858.
 0:04:46 0.89 350.41 227.24 -6.45 1638   2.45   728.1 221883.  0.10  4.23  -5.37   0.84   3.92 0.84 0.49 0.97  0.10 782.11016846.  2.22 732.6 256186.
 0:05:27 0.89 350.41 227.23 -6.45 1638   2.48   733.2 246311.  1.05  4.09  -4.67   1.48   4.72 0.39 0.54 0.54  0.09 778.2 822250.  2.11 733.9 226301.
 0:06:07 0.89 350.41 227.23 -6.45 1638   2.47   722.6 202444.  0.52  3.77  -5.62   1.19   3.81 0.30 0.40 0.55  0.10 772.61165079.  2.04 721.6 198338.
 0:06:48 0.89 350.41 227.22 -6.45 1638   2.54   719.8 215022.  0.85  3.59  -5.46   1.67   3.81 0.25 0.35 0.39  0.11 765.41243458.  2.08 722.9 198910.
 0:07:28 0.89 350.41 227.21 -6.45 1638   2.23   723.7 203068.  1.30  3.34  -5.21   2.10   3.80 0.37 0.33 0.55  0.11 784.91337637.  1.99 720.3 196363.
 0:08:09 0.89 350.41 227.21 -6.45 1638   2.49   723.0 228847.  1.57  3.25  -5.22   2.31   3.58 0.30 0.28 0.38  0.09 800.71196680.  2.10 725.3 203120.
 0:08:49 0.89 350.41 227.20 -6.45 1638   2.42   719.1 195635.  2.44  2.29  -5.55   2.54   2.94 0.30 0.37 0.55  0.09 771.7 655097.  1.98 719.1 194648.
 0:09:30 0.89 350.41 227.20 -6.45 1638   2.46   717.9 203899.  0.59  2.77  -5.78   1.86   2.82 0.51 1.24 0.75  0.11 759.31047615.  2.22 711.4 201248.
 0:10:10 0.89 350.41 227.19 -6.45 1638   2.45   717.7 200313.  0.81  2.93  -5.97   1.55   2.82 0.24 0.41 0.54  0.10 774.1 776304.  2.09 714.8 196311.
 0:10:51 0.89 350.41 227.18 -6.45 1638   2.42   715.6 227236.  1.14  2.25  -5.68   2.57   2.51 0.31 0.69 0.56  0.07 760.21119548.  2.22 716.4 198338.
 0:11:31 0.89 350.41 227.18 -6.45 1638   2.37   715.0 182901.  2.05  1.76  -5.78   3.12   1.81 0.26 0.39 0.49  0.10 778.8 794599.  2.03 711.3 191581.
 0:12:12 0.89 350.41 227.17 -6.45 1638   2.60   721.5 235604.  0.41  3.12  -6.24   1.83   1.25 0.40 1.15 1.27  0.11 774.31081918.  2.26 715.9 225105.
 0:12:52 0.89 350.41 227.17 -6.45 1638   2.26   703.6 185448.  0.26  0.86  -6.67   0.84   0.34 0.18 0.94 0.59  0.09 759.9 683788.  2.02 704.2 168140.
