1979/325   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:08:11 0.31 201.60 326.51  0.48 1689  88.03   369.4  55302. -5.05 -4.34 -14.00   1.74 -28.96 0.00 0.00 0.00  1.13 362.2 155614. 73.74 372.5  61669.
 0:51:23 0.31 201.78 326.29  0.51 1689  -1.00    -1.0     -1. -1.00 -1.00  -5.93   4.40 -23.30 0.00 0.00 0.00 -1.00  -1.0     -1. 65.96 403.4  52173.
 1:34:35 0.31 201.96 326.08  0.53 1689 110.37   393.5  50202. -2.94 -3.45   0.46   1.76 -20.33 0.00 0.00 0.00  2.04 387.6 151443. 91.30 393.2  49939.
 2:17:47 0.31 202.14 325.86  0.56 1689  97.83   366.6  66580. -3.49 -5.25   0.00   0.00   0.00 0.00 0.00 0.00  2.34 368.2 172363. 79.06 368.4  68000.
 3:00:59 0.31 202.32 325.65  0.59 1689  72.82   339.4 118903.  0.44 -3.14   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 58.32 337.7 105344.
 3:44:11 0.31 202.50 325.44  0.61 1689 104.63   309.4  50439.  0.19  2.20 -16.48   5.88   9.10 0.00 0.00 0.00  1.62 307.3  92906. 85.20 308.0  48269.
 4:27:23 0.31 202.68 325.23  0.64 1689 104.93   344.5 140473. -0.52 -0.93   7.18  -0.96  -2.97 0.00 0.00 0.00 -1.00  -1.0     -1. 83.98 343.7 125790.
 5:10:35 0.31 202.86 325.01  0.67 1689  59.71   336.2 203747.  5.28 -6.25   0.00   0.00   0.00 0.00 0.00 0.00  0.11 444.2 154289. 48.60 327.0 181667.
 5:53:47 0.31 203.04 324.79  0.69 1689  54.25   290.5 106929.  0.46 -4.22   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.74 285.9  88241.
 6:36:59 0.31 203.22 324.58  0.72 1689  67.59   305.4 110519.  3.45 -3.43 -25.48  17.45  -9.35 0.00 0.00 0.00 -1.00  -1.0     -1. 53.89 299.3  94436.
 7:20:11 0.31 203.41 324.37  0.75 1689 117.35   286.6  25695.  0.00  0.00 -19.28  13.33 -10.32 0.00 0.00 0.00  3.68 283.6  80835.104.91 288.4  26972.
 8:03:23 0.31 203.59 324.15  0.77 1689 156.78   277.9  37799.  0.00  0.00 -17.49   4.13  -7.79 0.00 0.00 0.00  2.75 271.8  41035.136.42 277.5  31799.
 8:32:03 0.31 203.63 323.94  1.02 1689  -1.00    -1.0     -1. -1.00 -1.00   1.71 -18.25  -5.21 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 9:47:09 0.31 204.02 323.64  0.84 1689  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.138.05 256.2  31633.
 9:47:50 0.31 204.02 323.63  0.84 1689  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.142.27 254.9  33017.
 9:48:48 0.31 204.03 323.63  0.84 1689 152.68   253.2  34268.  0.00  0.00   1.54 -18.20  -5.08 0.28 0.13 0.18  2.22 248.0  40918.143.68 252.7  32715.
 9:51:39 0.31 204.04 323.62  0.84 1689 157.41   256.8  35178.  0.00  0.00  -3.66 -18.95  -5.55 0.84 0.35 0.90  2.14 252.9  64982.146.72 256.6  32465.
 9:52:20 0.31 203.97 323.54  1.07 1689  -1.00    -1.0     -1. -1.00 -1.00  12.67 -14.71   2.31 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 9:59:14 0.31 204.07 323.58  0.84 1689  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.140.65 247.1  33241.
10:01:11 0.31 204.08 323.57  0.84 1689  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.133.22 245.8  30224.
10:01:24 0.31 204.08 323.57  0.84 1689  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.130.70 245.2  29772.
10:02:45 0.31 204.09 323.56  0.84 1689 134.80   247.8  32813.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  6.85 243.8  59356. -1.00  -1.0     -1.
10:05:50 0.31 204.10 323.54  0.85 1689 133.58   248.4  27323.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  7.20 242.4  72830.128.61 247.5  29486.
10:07:11 0.31 204.11 323.54  0.85 1689  -1.00    -1.0     -1. -1.00 -1.00  12.97 -13.46   1.74 0.10 0.15 0.22 -1.00  -1.0     -1.120.99 248.8  25991.
10:08:32 0.31 204.11 323.53  0.85 1689 142.08   246.1  30893.  0.00  0.00  12.48 -12.21   1.33 0.27 0.32 0.43  7.12 238.4  70881.131.74 246.4  30695.
10:08:51 0.31 204.11 323.53  0.85 1689 162.47   254.5  31458.  5.06 -1.79  12.27 -11.82   1.49 0.18 0.33 0.30  6.49 250.3  55925.134.97 247.1  29892.
10:10:12 0.31 204.12 323.53  0.85 1689 159.16   256.1  26956.  4.82 -1.76  13.04 -11.53   0.08 0.27 0.11 0.13  6.58 249.0  69244.135.42 248.6  32173.
10:11:33 0.31 204.12 323.52  0.85 1689 166.13   255.0  31380.  5.04 -1.69  13.14 -11.27   0.07 0.28 0.46 0.13  6.83 250.0  53833.135.22 247.2  30084.
10:12:54 0.31 204.13 323.51  0.85 1689 160.31   252.6  30568.  4.84 -1.05  14.24 -11.02   0.33 0.18 0.15 0.24  7.07 245.1  71011.133.75 246.0  31172.
10:14:15 0.31 204.14 323.51  0.85 1689 165.13   254.4  33173.  5.18 -1.34  12.12 -11.51   1.92 0.32 0.55 0.20  7.22 250.2  50117.138.61 246.7  31335.
10:15:36 0.31 204.14 323.50  0.85 1689 164.32   253.4  30591.  5.24 -1.23  13.19 -10.03   2.60 0.29 0.17 0.20  7.56 244.9  70621.138.81 246.2  31887.
10:16:57 0.31 204.15 323.49  0.85 1689 160.90   258.5  33521.  5.33 -0.17  13.26 -13.22   0.16 0.14 0.49 0.68  7.32 252.4  56848.133.22 250.4  28333.
10:18:18 0.31 204.15 323.49  0.85 1689 163.11   260.0  33790.  5.01 -0.36  11.28 -14.89  -1.69 0.41 0.36 0.50  8.47 252.2  71401.134.91 252.4  33352.
10:19:39 0.31 204.16 323.48  0.85 1689 157.76   260.7  32913.  4.90  0.43  11.73 -14.38  -2.91 0.32 0.21 0.31  8.36 253.6  67711.125.39 252.7  27281.
10:21:00 0.31 204.17 323.47  0.86 1689 158.31   260.8  33235.  4.75  0.41  12.25 -14.33  -0.66 0.37 0.33 0.41  9.19 251.8  76170.133.01 252.9  32303.
10:22:21 0.31 204.17 323.47  0.86 1689 157.21   264.9  29015.  5.59 -0.25  10.38 -15.95   3.03 0.56 0.34 0.44  7.10 255.5  73623.133.10 256.6  32897.
10:23:42 0.31 204.17 323.46  0.86 1689 173.21   264.6  36120.  5.64 -0.14  10.22 -14.75  -0.51 0.82 0.37 1.61  6.03 258.7  38800.145.27 256.1  33989.
