1981/293   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 1:20:25 0.89  76.53 334.14 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.92 294.3  14693.
 1:21:44 0.89  76.53 334.13 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.50 294.3  16320.
 1:23:05 0.89  76.53 334.12 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.85 293.4  15742.
 1:35:05 0.89  76.53 334.01 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.83 294.1  20170.
 1:36:26 0.89  76.53 333.99 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.41 293.4  17558.
 1:37:47 0.89  76.53 333.98 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.53 292.8  16372.
 1:37:58 0.89  76.53 333.98 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.19 293.0  18451.
 1:39:19 0.89  76.53 333.97 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.37 294.1  20605.
 1:40:40 0.89  76.53 333.95 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.08 293.3  18994.
 1:42:01 0.89  76.53 333.94 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.67 293.4  20040.
 1:43:22 0.89  76.52 333.93 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.74 292.6  20940.
 1:44:43 0.89  76.52 333.92 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.46 294.0  20641.
 1:46:04 0.89  76.52 333.90 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.05 293.3  18838.
 1:47:25 0.89  76.52 333.89 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.80 293.6  21063.
 1:48:46 0.89  76.52 333.88 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.36 293.7  18312.
 1:50:07 0.89  76.52 333.87 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.42 293.9  20400.
 1:51:28 0.89  76.52 333.86 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.29 293.6  18211.
 1:52:49 0.89  76.52 333.84 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.62 293.4  19543.
 1:54:10 0.89  76.52 333.83 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.18 293.8  17331.
 1:55:31 0.89  76.52 333.82 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.70 293.6  20023.
 1:56:52 0.89  76.52 333.80 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.61 293.7  18130.
 1:58:13 0.89  76.52 333.79 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.69 294.0  21612.
 1:59:34 0.89  76.52 333.78 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.48 293.8  17431.
 2:00:55 0.89  76.52 333.77 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.99 294.0  15245.
 2:02:16 0.89  76.52 333.75 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.87 294.4  15960.
 2:03:37 0.89  76.52 333.74 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.75 295.6  19078.
 2:04:58 0.89  76.52 333.73 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.01 294.7  16395.
 2:06:19 0.89  76.52 333.72 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.37 296.0  19127.
 2:07:40 0.89  76.52 333.71 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.65 295.4  17668.
 2:09:01 0.89  76.52 333.69 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.17 295.4  20108.
 2:10:22 0.89  76.52 333.68 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.54 295.2  17672.
 2:11:43 0.89  76.52 333.67 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.72 296.0  21541.
 2:13:04 0.89  76.52 333.65 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.30 294.9  17490.
 2:14:25 0.89  76.52 333.64 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.17 295.9  21027.
 2:15:46 0.89  76.52 333.63 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.06 295.9  18526.
 2:17:07 0.89  76.52 333.62 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.65 296.3  21797.
 2:18:28 0.89  76.52 333.60 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.61 296.0  18289.
 2:19:49 0.89  76.52 333.59 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.88 296.3  22466.
 2:21:10 0.89  76.52 333.58 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.12 295.9  18237.
 2:22:31 0.89  76.52 333.57 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.97 298.4  22937.
 2:23:52 0.89  76.52 333.56 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.53 305.7  22674.
 2:25:13 0.89  76.52 333.54 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.38 307.0  19978.
 2:26:34 0.89  76.52 333.53 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.12 306.1  22752.
 2:27:55 0.89  76.52 333.52 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.10 305.2  18152.
 2:29:16 0.89  76.52 333.50 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.96 305.6  20316.
 2:30:37 0.89  76.52 333.49 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.73 305.5  18045.
 2:31:58 0.89  76.52 333.48 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.88 305.2  21885.
 2:33:19 0.89  76.52 333.47 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.99 305.4  17321.
 2:34:40 0.89  76.52 333.45 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.54 306.2  23610.
 2:36:01 0.89  76.52 333.44 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.16 306.2  18318.
 2:37:22 0.89  76.52 333.43 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.10 306.2  20943.
 2:38:43 0.89  76.52 333.42 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.46 305.8  18705.
 2:40:04 0.89  76.52 333.41 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.96 304.8  22976.
 2:41:25 0.89  76.52 333.39 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.10 305.1  24230.
 2:42:46 0.89  76.52 333.38 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.36 307.3  23834.
 2:44:07 0.89  76.52 333.37 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.47 306.6  23460.
 2:45:28 0.89  76.52 333.35 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.21 303.5  25419.
 2:46:49 0.89  76.52 333.34 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.18 305.6  26855.
 2:48:10 0.89  76.52 333.33 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.58 306.5  28768.
 2:49:31 0.89  76.52 333.32 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.38 307.1  26238.
 2:50:52 0.89  76.52 333.30 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.98 309.8  25848.
 2:52:13 0.89  76.52 333.29 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.17 307.1  26991.
