1976/001   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
20:44:29 0.98 342.39 119.74 -0.90 1636  15.42   360.7  29733. -0.24 -0.45  -1.77  -1.50   1.52 0.28 0.40 0.56  0.15 351.9  84343. 15.29 361.1  26611.
20:45:00 0.98 342.39 119.74 -0.90 1636  15.00   357.2  31195. -1.25 -0.94  -1.00  -0.99   2.21 0.50 0.37 0.45 -1.00  -1.0     -1. 15.16 358.3  32819.
20:45:40 0.98 342.39 119.73 -0.90 1636  16.28   358.7  33816. -1.26 -0.95  -1.26  -1.21   2.15 0.42 0.36 0.42  0.15 358.9 116009. 16.35 357.7  34508.
20:46:01 0.98 342.39 119.73 -0.90 1636  14.96   359.2  25189. -1.41 -0.88  -1.55  -1.40   1.90 0.28 0.31 0.34  0.12 356.9  48246. 15.50 360.7  30003.
20:46:41 0.98 342.39 119.72 -0.90 1636  14.32   357.4  32631. -1.53 -0.98  -1.60  -0.73   2.26 0.26 0.39 0.48  0.18 354.5  88267. 15.79 355.5  34759.
20:47:22 0.98 342.39 119.71 -0.90 1636  15.20   356.7  30968. -1.07 -0.80  -1.45  -0.33   2.36 0.64 0.52 0.50  0.12 351.2 256290. 13.72 356.9  25874.
20:48:02 0.98 342.39 119.71 -0.90 1636  14.12   359.4  31903. -0.99 -0.65  -0.84  -0.39   2.85 0.73 0.53 0.39  0.18 353.0  83693. 14.99 358.4  28895.
20:48:43 0.98 342.39 119.70 -0.90 1636  14.49   356.7  28879. -0.26 -0.41  -1.19   0.49   3.10 0.24 0.23 0.28  0.12 353.3 181095. 12.58 358.1  24117.
20:49:23 0.98 342.39 119.70 -0.90 1636  13.31   356.4  26153. -0.26 -0.42  -1.17   1.07   3.31 0.21 0.21 0.24  0.15 352.5  89151. 14.59 357.9  30497.
20:50:04 0.98 342.39 119.69 -0.90 1636  14.69   356.9  22408. -0.14 -0.33  -0.76   2.16   2.76 0.56 0.81 0.52  0.13 350.6  93608. 13.58 356.6  21947.
20:50:44 0.98 342.39 119.68 -0.90 1636  14.51   359.4  23931.  0.26 -0.65   0.51   4.33   2.12 0.22 0.21 0.26 -1.00  -1.0     -1. 14.12 362.0  26342.
20:51:04 0.98 342.37 119.66 -0.98 1636  -1.00    -1.0     -1. -1.00 -1.00  -0.07   4.23   2.27 0.49 0.22 0.21 -1.00  -1.0     -1. -1.00  -1.0     -1.
20:52:25 0.98 342.39 119.67 -0.90 1636  10.63   358.3  23350.  0.74 -0.61   0.09   4.14   2.34 0.30 0.18 0.21  0.07 362.3 128951. 10.77 358.9  21164.
20:53:46 0.98 342.39 119.65 -0.90 1636  11.24   359.9  22245.  0.79 -0.61   0.26   3.71   2.59 0.40 0.61 0.40  0.14 367.2  96674. 11.07 359.3  19338.
20:55:07 0.98 342.39 119.64 -0.90 1636  11.36   360.5  21521.  0.90 -0.77   0.28   3.47   2.56 0.37 0.46 0.28 -1.00  -1.0     -1. 11.51 361.8  20819.
20:56:28 0.98 342.39 119.63 -0.90 1636  12.91   360.1  23873.  0.22 -0.91   0.24   3.70   2.61 0.24 0.36 0.26  0.08 358.9  48649. 12.16 360.3  21427.
20:57:49 0.98 342.39 119.62 -0.90 1636  10.75   359.9  22021.  0.86 -0.39  -0.24   3.71   2.81 0.27 0.18 0.21 -1.00  -1.0     -1. 11.59 360.4  23659.
20:59:10 0.98 342.39 119.60 -0.90 1636  12.31   360.1  21875.  0.00  0.00   0.07   3.80   2.78 0.19 0.21 0.20  0.09 358.8  47389. 10.75 359.6  18841.
21:00:31 0.98 342.39 119.59 -0.90 1636  11.48   358.7  22853.  0.42 -0.40  -0.48   3.72   3.22 0.41 0.33 0.22  0.06 345.6 155120. 10.79 358.3  20420.
21:01:52 0.98 342.39 119.58 -0.90 1636  11.39   358.4  21031.  0.37 -0.42  -0.89   3.71   3.17 0.26 0.20 0.18  0.07 355.7 107017. 10.35 355.7  18623.
21:03:13 0.98 342.39 119.57 -0.90 1636  10.34   356.6  22271.  0.00 -0.40  -0.60   3.70   3.16 0.20 0.17 0.11 -1.00  -1.0     -1. 10.85 357.3  20121.
21:04:34 0.98 342.39 119.55 -0.90 1636  11.18   355.9  25127.  0.50 -0.35  -0.72   3.66   3.11 0.22 0.19 0.17  0.07 355.6 108460.  9.67 356.8  20517.
21:05:55 0.98 342.39 119.54 -0.90 1636  11.45   356.6  21625.  0.28 -0.26  -1.19   3.09   3.19 0.39 0.49 0.23  0.10 346.1  45024. 11.38 358.2  22379.
21:07:16 0.98 342.39 119.53 -0.90 1636  13.39   354.0  25653.  0.49  0.40  -1.34   2.83   3.49 0.18 0.24 0.19  0.10 359.0  44920. 12.76 353.9  22333.
21:11:19 0.98 342.38 119.49 -0.91 1636  12.49   355.0  23158.  0.47  0.32  -1.03   3.22   2.90 0.24 0.33 0.35  0.12 354.5 107745. 11.99 353.8  23503.
21:12:40 0.98 342.38 119.48 -0.91 1636  12.01   357.6  21807.  0.26 -0.58  -0.96   3.39   2.75 0.17 0.19 0.17  0.13 350.3 113267. 11.34 356.5  20621.
21:14:01 0.98 342.38 119.46 -0.91 1636  11.32   356.1  22512. -0.18 -0.56  -0.84   3.43   2.92 0.24 0.17 0.24  0.08 340.6  96687. 11.93 356.2  22950.
21:15:22 0.98 342.38 119.45 -0.91 1636  11.73   355.2  23879.  0.16 -0.46  -1.12   3.35   3.00 0.17 0.17 0.16  0.07 358.9  49805. 10.97 356.1  23204.
21:16:43 0.98 342.38 119.44 -0.91 1636  10.98   354.2  23662. -0.60 -0.55  -1.25   1.28   2.30 0.49 2.39 1.05  0.12 347.2  46817. 11.27 354.0  22898.
21:18:04 0.98 342.38 119.43 -0.91 1636  14.31   351.1  31806.  0.41 -0.19  -2.02   1.52   1.32 0.51 0.58 0.54  0.13 341.8  93088. 14.56 350.1  26615.
21:19:25 0.98 342.38 119.41 -0.91 1636  13.83   348.2  31744. -0.61 -0.30  -2.61   0.86   1.88 0.18 0.21 0.23  0.10 347.0  53223. 13.49 350.6  37864.
21:20:46 0.98 342.38 119.40 -0.91 1636  13.56   349.7  34583. -0.03  0.07  -2.95  -0.05   1.69 0.30 0.62 0.35  0.15 336.2 140268. 13.64 347.7  29109.
21:22:07 0.98 342.38 119.39 -0.91 1636  13.63   346.1  27271. -0.64  0.31  -2.85  -0.85   1.90 0.19 0.19 0.20  0.20 343.1  58342. 13.11 346.4  21609.
21:23:28 0.98 342.38 119.38 -0.91 1636  13.72   346.6  30402. -0.38  0.60  -2.65   0.03   1.86 0.25 0.67 0.37  0.13 339.9  85006. 13.95 344.5  24510.
21:24:49 0.98 342.38 119.36 -0.91 1636  14.60   348.2  26715. -0.51  0.20  -2.41  -0.86   1.79 0.23 0.56 0.30  0.17 345.8  46414. 13.83 349.4  32449.
21:26:10 0.98 342.38 119.35 -0.91 1636  13.86   351.1  35899. -0.54 -0.02  -2.13  -1.46   1.70 0.26 0.49 0.27  0.13 338.0 114398. 14.97 349.4  35775.
21:27:31 0.98 342.38 119.34 -0.91 1636  14.41   349.9  26040. -1.30 -0.10  -1.49  -2.26   1.28 0.51 0.46 0.42  0.16 347.6  46128. 13.99 349.9  29834.
21:28:52 0.98 342.38 119.33 -0.91 1636  14.63   351.4  29853. -1.62 -0.32  -1.56  -2.72   1.10 0.39 0.58 0.58  0.12 353.5 101547. 14.59 351.1  26572.
21:30:13 0.98 342.38 119.31 -0.91 1636  14.06   347.2  21989. -1.81  0.53  -1.69  -3.40   0.89 0.36 0.21 0.22  0.28 344.1  38124. 14.16 345.9  23512.
21:31:34 0.98 342.38 119.30 -0.91 1636  13.98   348.1  25708. -1.91  0.18  -1.85  -3.35   0.90 0.19 0.16 0.16  0.18 336.3 103392. 13.34 348.3  19682.
21:32:55 0.98 342.38 119.29 -0.91 1636  14.47   346.6  21411. -1.85  0.26  -1.94  -3.16   1.04 0.17 0.22 0.16  0.35 343.1  38462. 13.37 346.7  19319.
21:34:16 0.98 342.38 119.28 -0.91 1636  14.01   348.6  25244. -1.64  0.27  -2.02  -2.99   0.81 0.24 0.16 0.23  0.24 339.1  70050. 14.78 348.3  22700.
21:35:37 0.98 342.38 119.26 -0.91 1636  13.84   347.1  23197. -1.50  0.20  -2.21  -2.99   0.26 0.23 0.20 0.35  0.29 344.4  37292. 14.11 348.1  21631.
21:36:58 0.98 342.38 119.25 -0.91 1636  13.77   348.9  25263. -1.32  0.05  -2.04  -3.43   0.72 0.25 0.22 0.23  0.14 341.3 127080. 13.66 349.2  22619.
21:38:19 0.98 342.38 119.24 -0.91 1636  13.95   349.0  21222. -1.08 -0.15  -2.02  -3.45   0.52 0.28 0.23 0.23 -1.00  -1.0     -1. 13.97 347.6  24877.
21:39:40 0.98 342.38 119.22 -0.91 1636  14.14   348.1  25604. -0.90 -0.12  -2.33  -3.24   0.33 0.34 0.26 0.23  0.17 338.5 118387. 13.46 347.1  19673.
21:41:01 0.98 342.38 119.21 -0.91 1636  14.05   349.9  21986. -1.09 -0.40  -2.30  -3.29   0.29 0.23 0.22 0.22  0.23 347.6  42074. 14.28 348.7  23775.
21:42:22 0.98 342.38 119.20 -0.91 1636  14.13   350.3  24584. -1.45 -0.06  -1.58  -3.72   0.65 0.25 0.18 0.19 -1.00  -1.0     -1. 14.31 351.1  23428.
21:43:43 0.98 342.38 119.19 -0.91 1636  12.70   354.4  20368. -1.18 -0.17  -1.24  -3.82   0.58 0.26 0.18 0.17  0.17 347.7  45725. 12.74 352.9  18178.
21:45:04 0.98 342.38 119.17 -0.91 1636  14.04   349.7  23928. -1.51 -0.32  -1.63  -3.61   0.31 0.21 0.16 0.26  0.18 342.1  85318. 13.93 349.6  20335.
21:46:25 0.98 342.38 119.16 -0.91 1636  13.47   349.7  20764. -1.26 -0.60  -1.54  -3.70  -0.37 0.28 0.25 0.23  0.10 347.2  50065. 13.48 349.4  19601.
21:47:46 0.98 342.38 119.15 -0.91 1636  13.83   351.7  23665. -1.56 -0.58  -1.79  -3.68   0.05 0.41 0.23 0.27  0.12 338.7 118361. 13.78 351.5  16304.
21:49:07 0.98 342.38 119.14 -0.91 1636  14.68   348.4  21761. -1.07 -0.08  -2.16  -3.50   0.27 0.17 0.19 0.24  0.26 348.5  43425. 13.54 348.3  20040.
21:50:28 0.98 342.38 119.12 -0.91 1636  13.30   350.7  24880. -1.39 -0.39  -1.88  -3.63   0.06 0.24 0.21 0.26  0.13 337.7 180510. 14.30 350.9  18084.
21:51:49 0.98 342.38 119.11 -0.91 1636  14.17   348.9  21774. -1.03 -0.29  -2.23  -3.44   0.20 0.25 0.26 0.21  0.19 345.7  37760. 13.37 348.5  19900.
21:53:10 0.98 342.38 119.10 -0.91 1636  14.07   348.2  25757. -1.30 -0.45  -2.47  -3.13  -0.01 0.29 0.30 0.25  0.13 338.5  95609. 14.14 348.2  21089.
21:54:31 0.98 342.38 119.09 -0.91 1636  14.49   349.3  21703. -1.27 -0.08  -2.44  -3.18  -0.12 0.34 0.28 0.30  0.18 345.6  38410. 14.49 348.7  19384.
21:55:52 0.98 342.38 119.07 -0.91 1636  14.34   348.8  27047. -0.86 -0.35  -2.52  -3.12  -0.20 0.20 0.18 0.18  0.13 330.4  50455. 14.12 348.0  18532.
21:57:13 0.98 342.37 119.06 -0.91 1636  15.01   347.1  23720. -0.74 -0.51  -2.71  -2.86  -0.17 0.23 0.21 0.18  0.18 345.7  38384. 14.15 347.2  22034.
21:58:34 0.98 342.37 119.05 -0.91 1636  14.32   348.6  26436. -0.97 -0.53  -2.55  -3.01  -0.23 0.26 0.18 0.17  0.09 336.4 136071. 15.37 346.4  24597.
21:59:55 0.98 342.37 119.04 -0.91 1636  15.43   346.9  23931. -0.43 -0.75  -3.05  -2.49  -0.40 0.22 0.26 0.21  0.10 345.8  44699. 15.35 348.3  28970.
22:01:16 0.98 342.37 119.02 -0.91 1636  14.24   346.9  28203. -0.38 -0.43  -3.00  -2.62  -0.26 0.32 0.28 0.33  0.21 334.6  38124. 15.19 345.0  26628.
