1978/115   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:05 0.32  41.30 199.16  0.01 1667 105.20   432.6  51439.  2.68  4.98  30.64 -18.32 -58.70 2.15 3.17 2.41  6.61 423.1 192179. 81.91 431.9  45381.
 0:00:46 0.32  41.30 199.16  0.01 1667 122.92   428.3  40398.  4.14  4.37  31.72 -27.37 -53.84 1.76 7.99 5.14  7.27 428.3 186682. 98.12 424.4  50627.
 0:01:26 0.32  41.30 199.15  0.01 1667 144.27   435.6  49607.  3.23  4.85  29.22 -21.10 -58.35 1.72 3.11 3.76  6.68 432.5 318921.112.99 432.3  43377.
 0:02:07 0.32  41.31 199.15  0.01 1667 128.03   438.6  53103.  4.96  4.46  29.38 -24.61 -56.70 4.70 4.86 2.71  5.89 439.0 302925.104.43 432.8  53268.
 0:02:47 0.32  41.31 199.14  0.01 1667 132.14   439.3  92659.  4.90  4.51  23.96 -29.76 -57.09 4.28 2.62 1.87  5.98 445.1 341465. 90.41 435.8 100887.
 0:03:28 0.32  41.31 199.14  0.01 1667  99.27   437.4  50546.  4.99  3.96  29.60 -27.09 -56.32 1.44 0.68 1.07  4.60 434.0 234786. 81.06 431.2  50536.
 0:04:08 0.31  41.32 199.14  0.01 1667 104.30   433.7  57020.  4.17  4.00  31.32 -27.08 -55.25 1.67 0.64 1.11  5.74 432.4 278679. 86.46 431.7  62731.
 0:04:49 0.31  41.32 199.14  0.01 1667 103.96   423.2  42704.  4.71  3.40  35.24 -26.74 -52.59 1.91 1.09 0.98  6.42 419.4 347832. 84.90 419.8  56461.
 0:05:29 0.31  41.32 199.13  0.01 1667 112.32   429.5  58453.  5.34  3.46  35.85 -27.34 -51.67 1.63 0.52 1.02  5.39 424.9 286852. 91.08 423.0  54629.
 0:06:10 0.31  41.32 199.13  0.01 1667 113.81   421.2  49490.  5.44  3.32  36.98 -27.22 -50.85 1.85 0.86 1.32  6.56 418.7 349989. 93.13 418.5  54590.
 0:06:50 0.31  41.32 199.12  0.01 1667 113.09   421.1  57144.  5.36  3.26  39.16 -27.11 -49.74 0.54 0.63 0.38  5.50 421.4 279315. 91.72 414.8  56913.
 0:07:31 0.31  41.33 199.12  0.01 1667 111.67   417.4  54317.  5.27  3.06  40.18 -27.61 -48.69 0.39 0.29 0.30  6.00 414.3 319869. 89.19 410.6  50559.
 0:08:11 0.31  41.33 199.12  0.01 1667 104.75   419.2  57771.  5.02  3.09  41.24 -28.01 -48.25 0.58 0.35 0.48  4.75 411.9 232525. 85.37 413.2  57683.
 0:08:52 0.31  41.33 199.11  0.01 1667 110.73   417.2  54012.  5.39  3.00  40.50 -27.97 -48.88 0.49 0.39 0.53  5.76 412.9 311709. 89.37 410.5  51046.
 0:09:32 0.31  41.34 199.11  0.01 1667 102.62   419.3  60821.  5.45  2.87  40.50 -28.27 -49.31 0.33 0.30 0.31  5.05 413.9 235968. 84.49 412.7  60681.
 0:10:13 0.31  41.34 199.11  0.02 1667 117.63   416.9  55877.  5.02  3.24  39.35 -28.30 -49.05 1.46 1.41 1.06  5.67 410.9 329147. 97.35 412.3  64631.
 0:10:53 0.31  41.34 199.10  0.02 1667 117.79   421.4  57790.  5.05  3.53  39.38 -28.20 -49.24 1.39 1.60 1.40  5.53 412.1 242543. 95.78 415.1  55701.
 0:11:34 0.31  41.34 199.10  0.02 1667 131.64   400.4  60350.  2.73  2.86  40.38 -24.71 -49.81 3.04 1.23 2.91  6.56 406.9 247961.113.87 396.7  57845.
 0:12:14 0.31  41.35 199.10  0.02 1667 129.89   417.4  52144.  5.29  3.62  36.60 -26.70 -52.09 1.30 1.32 0.92  6.50 412.6 184383.108.00 410.7  52521.
 0:12:55 0.31  41.35 199.09  0.02 1667 124.05   413.8  51777.  4.22  3.98  37.45 -25.67 -52.20 1.99 0.98 1.26  8.10 413.1 265334. 99.54 408.7  47993.
 0:13:35 0.31  41.35 199.09  0.02 1667 120.92   418.4  51871.  4.97  3.82  40.22 -26.05 -50.33 2.11 0.93 1.50  6.32 412.3 179692.101.94 412.7  51186.
 0:14:16 0.31  41.36 199.09  0.02 1667 122.69   410.1  53161.  4.89  3.24  43.19 -26.79 -48.09 0.57 0.76 0.62  6.00 406.7 278796.101.89 403.7  49230.
 0:14:56 0.31  41.36 199.08  0.02 1667 119.86   405.7  48032.  5.39  2.99  44.15 -27.03 -47.16 0.83 0.96 0.83  4.44 412.7 126482. 98.18 403.9  56029.
