1981/095   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:32 0.93 261.54 257.72 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.99 364.5  50098.
 0:03:14 0.93 261.54 257.70 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.29 360.2  41350.
 0:05:56 0.93 261.54 257.68 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 10.84 366.0  42438.
 0:08:38 0.93 261.54 257.65 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.09 363.1  47090.
 0:11:21 0.93 261.54 257.62 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.45 360.2  51771.
 0:14:03 0.93 261.54 257.60 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.80 363.5  54006.
 0:16:45 0.93 261.54 257.57 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.32 367.9  58177.
 0:19:27 0.93 261.54 257.55 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.47 368.1  65284.
 0:22:09 0.93 261.54 257.52 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 10.87 357.1  40177.
 0:24:51 0.93 261.54 257.50 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.83 357.4  46697.
 0:27:33 0.93 261.54 257.47 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.61 354.3  45573.
 0:30:15 0.93 261.53 257.44 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.19 359.2  57881.
 0:32:57 0.93 261.53 257.42 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.03 359.4  60525.
 0:35:39 0.93 261.53 257.40 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  9.68 360.7  48675.
 0:38:21 0.93 261.53 257.37 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.49 373.3  52667.
 0:41:03 0.93 261.53 257.35 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.42 371.1  67363.
 0:43:45 0.93 261.53 257.32 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.55 358.4  60239.
 0:46:27 0.93 261.53 257.29 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.65 367.2  53414.
 0:49:09 0.93 261.53 257.27 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.82 368.9  64407.
 0:51:51 0.93 261.53 257.25 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.26 365.2  58118.
 0:54:33 0.93 261.53 257.22 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.23 364.0  63917.
 0:57:15 0.93 261.53 257.19 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.33 362.9  53346.
 0:59:57 0.93 261.53 257.17 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.41 371.6  54538.
 1:02:39 0.93 261.53 257.14 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.00 374.5  71495.
 1:05:21 0.93 261.53 257.12 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.95 376.9  56994.
 1:08:03 0.93 261.53 257.10 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.89 377.6  61165.
 1:10:45 0.93 261.53 257.07 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.80 373.9  53512.
 1:13:27 0.93 261.53 257.04 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.85 375.5  72834.
 1:16:09 0.93 261.53 257.02 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.98 379.9  57355.
 1:18:51 0.93 261.53 256.99 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.82 384.2  69488.
 1:21:33 0.93 261.53 256.97 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.16 383.9  72860.
 1:24:15 0.93 261.53 256.95 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.09 389.4  62760.
 1:26:57 0.93 261.53 256.92 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.08 393.3  79883.
 1:29:39 0.93 261.53 256.89 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.26 389.9  62770.
 1:32:21 0.93 261.53 256.87 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.58 393.1  78372.
 1:35:03 0.93 261.53 256.84 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.47 392.2  66402.
 1:37:45 0.93 261.53 256.82 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.32 400.5  66252.
 1:40:27 0.93 261.52 256.79 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.96 397.1  85360.
 1:43:09 0.93 261.52 256.77 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.24 391.9  83872.
 1:45:51 0.93 261.52 256.74 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.97 390.9  62487.
 1:48:33 0.93 261.52 256.72 -2.56 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.19 388.1  70664.
 1:51:15 0.93 261.52 256.69 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.01 391.2  62208.
 1:53:57 0.93 261.52 256.67 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.56 388.0  75673.
 1:56:39 0.93 261.52 256.64 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.34 390.3  66353.
 1:59:21 0.93 261.52 256.62 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.46 388.0  79441.
 2:02:03 0.93 261.52 256.59 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.21 387.5  66655.
 2:04:45 0.93 261.52 256.57 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.36 385.4  75364.
 2:07:27 0.93 261.52 256.54 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.20 387.1  66386.
 2:10:09 0.93 261.52 256.52 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.51 385.6  70001.
 2:12:51 0.93 261.52 256.49 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.85 386.3  77261.
 2:15:33 0.93 261.52 256.47 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.81 386.6  75806.
 2:18:15 0.93 261.52 256.44 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 25.64 388.9  62286.
 2:20:57 0.93 261.52 256.42 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.16 387.2  69459.
 2:23:39 0.93 261.52 256.39 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.27 388.3  53440.
 2:26:21 0.93 261.52 256.37 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.46 384.6  49718.
 2:29:03 0.93 261.52 256.34 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.99 388.9  52960.
 2:31:45 0.93 261.52 256.31 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.75 384.6  49773.
 2:34:27 0.93 261.52 256.29 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.60 387.7  51566.
 2:37:09 0.93 261.52 256.27 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.19 385.1  49321.
 2:39:51 0.93 261.52 256.24 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.70 387.6  44390.
 2:42:33 0.93 261.52 256.22 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.64 387.2  30763.
 2:45:15 0.93 261.52 256.19 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.24 386.3  36678.
 2:47:57 0.93 261.52 256.16 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.39 381.3  38017.
 2:50:39 0.93 261.51 256.14 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.04 380.7  28830.
 2:53:21 0.93 261.51 256.12 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.61 379.5  36974.
 2:56:03 0.93 261.51 256.09 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.21 380.0  29031.
 2:58:45 0.93 261.51 256.06 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.30 376.7  31932.
 3:01:27 0.93 261.51 256.04 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.61 379.9  28054.
 3:04:09 0.93 261.51 256.01 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.80 380.2  32936.
 3:06:51 0.93 261.51 255.99 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.76 384.1  37926.
 3:09:33 0.93 261.51 255.97 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.88 387.3  32868.
 3:12:15 0.93 261.51 255.94 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.38 382.9  42217.
 3:14:57 0.93 261.51 255.91 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.25 381.3  41886.
 3:17:39 0.93 261.51 255.89 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.90 381.0  37477.
 3:20:21 0.93 261.51 255.86 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.81 375.8  30782.
 3:23:03 0.93 261.51 255.84 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.36 376.5  26650.
 3:25:45 0.93 261.51 255.81 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.76 375.8  29067.
 3:28:27 0.93 261.51 255.79 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.10 377.3  26153.
 3:31:09 0.93 261.51 255.76 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.59 378.4  32260.
 3:33:51 0.93 261.51 255.74 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.22 380.2  29438.
 3:36:33 0.93 261.51 255.71 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.32 377.4  32221.
 3:39:15 0.93 261.51 255.69 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.20 372.7  29610.
 3:41:57 0.93 261.51 255.66 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.26 371.9  33095.
 3:44:39 0.93 261.51 255.64 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.26 372.8  29785.
