1977/279   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:21:30 0.51 178.96 105.16 -6.50 1659  26.15   360.3 171337.  2.95  0.16   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.83 356.5 165912.
 1:04:42 0.51 179.01 104.81 -6.50 1659  22.68   382.5  92493.  7.62 -0.67   0.00   0.00   0.00 0.00 0.00 0.00  0.78 401.5 374898. 19.29 376.2  94774.
 1:47:54 0.51 179.05 104.46 -6.49 1659  30.52   383.8  95063.  8.35  2.32   0.00   0.00   0.00 0.00 0.00 0.00  1.01 391.7 372520. 25.87 378.6 110379.
