1977/325   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:03 0.64 319.39 359.48  6.11 1662 109.56   272.2  41626.  1.52 -1.67   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.114.24 271.4  45248.
 0:00:43 0.64 319.39 359.47  6.11 1662 117.48   272.6  45628.  2.39 -1.45   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.115.59 269.9  43815.
 0:01:24 0.64 319.39 359.47  6.11 1662 111.00   270.2  44033.  2.72 -1.26   0.00   0.00   0.00 0.00 0.00 0.00  1.14 266.4  50689.110.73 268.0  39501.
 0:02:04 0.64 319.39 359.46  6.11 1662 113.83   272.5  45517.  2.04 -1.58   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.113.61 269.9  45537.
 0:02:45 0.64 319.39 359.45  6.11 1662 129.06   270.7  46599.  0.70 -0.59   0.00   0.00   0.00 0.00 0.00 0.00  1.68 269.8  72817.130.84 270.5  47847.
 0:03:25 0.64 319.39 359.45  6.11 1662 109.81   276.3  49851.  2.95 -0.51   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.105.73 275.1  43036.
 0:04:06 0.64 319.39 359.44  6.11 1662 123.88   285.2  46206.  4.20  1.93   0.85  13.07 -11.41 0.64 0.52 0.81 -1.00  -1.0     -1.117.79 282.6  41629.
 0:04:46 0.64 319.39 359.44  6.11 1662 121.34   287.6  40330.  4.18  1.65   0.37  12.93 -11.29 0.70 0.45 0.55  1.54 279.4  58602.121.71 284.3  44595.
 0:05:27 0.64 319.39 359.43  6.11 1662 131.42   283.9  38865.  3.38  1.96  -0.01  11.93 -12.23 0.21 0.20 0.18  2.02 279.0  52469.127.05 282.3  39781.
 0:06:07 0.64 319.39 359.43  6.11 1662 131.81   283.6  39550.  3.18  1.93  -0.08  11.82 -12.62 0.29 0.24 0.32  1.91 278.6  72545.129.00 281.1  38416.
