1978/122   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:33 0.32  55.76 121.10  2.61 1667  43.92   417.9 114752. -3.94 -5.81 -47.19  -4.66 -17.53 0.87 5.22 3.24 -1.00  -1.0     -1. 36.39 418.5 114122.
 0:01:14 0.32  55.77 121.10  2.61 1667  46.92   425.5 151804. -8.24 -5.74 -43.77 -14.80 -20.63 1.73 2.77 3.36 -1.00  -1.0     -1. 36.49 433.5 132394.
 0:01:54 0.32  55.72 121.05  2.48 1667  -1.00    -1.0     -1. -1.00 -1.00 -44.24  -7.02 -22.00 2.89 8.92 2.20 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:02:34 0.32  55.77 121.09  2.61 1667  43.17   421.1 137377. -6.71 -5.23 -45.59  -8.36 -21.30 0.68 1.43 1.51  1.25 440.1 366244. 37.41 422.2 134921.
 0:03:14 0.32  55.77 121.09  2.61 1667  41.09   416.5 110763. -7.59 -4.06 -46.33  -7.33 -20.81 0.44 3.59 1.53 -1.00  -1.0     -1. 32.33 422.4 106046.
 0:03:55 0.32  55.77 121.08  2.61 1667  46.94   424.5 183106.-11.04 -0.69 -45.93 -15.38 -14.11 1.06 7.20 4.61 -1.00  -1.0     -1. 36.36 436.1 177739.
 0:04:35 0.32  55.78 121.08  2.61 1667  45.31   435.6 169859.-11.23 -3.70 -41.40 -23.18 -16.40 3.52 8.06 1.90 -1.00  -1.0     -1. 39.02 449.8 177986.
 0:05:17 0.32  55.78 121.08  2.61 1667  38.95   421.3 135708.-11.00 -2.09 -47.39 -15.01 -11.66 2.12 5.54 3.07  1.32 437.7 352081. 31.93 431.7 122132.
 0:05:57 0.32  55.78 121.07  2.61 1667  44.22   422.0 114274. -9.23 -3.80 -47.43 -14.84 -13.59 0.97 2.98 3.17 -1.00  -1.0     -1. 36.19 430.8 135841.
 0:06:38 0.32  55.79 121.07  2.61 1667  42.60   408.9 100527. -8.81 -1.34 -46.76  -5.83 -18.16 2.12 9.21 5.53 -1.00  -1.0     -1. 34.55 419.0 104786.
 0:07:18 0.32  55.79 121.07  2.61 1667  44.06   416.1 100387. -3.76 -5.52 -48.12   2.65 -18.04 1.73 4.80 3.81  1.78 440.8 479953. 35.44 417.6  95807.
 0:07:59 0.32  55.79 121.06  2.61 1667  48.24   427.5 146509. -2.85 -7.34 -44.18   1.31 -25.67 3.52 3.53 6.94  1.54 443.0 379888. 39.30 430.5 128220.
 0:08:39 0.32  55.79 121.06  2.61 1667  46.80   424.2 119927.  0.00  0.52 -44.04  -0.58 -26.18 2.00 6.59 4.91 -1.00  -1.0     -1. 38.98 427.1 149595.
 0:09:20 0.32  55.80 121.06  2.61 1667  43.32   416.2  95349. -2.88 -1.09 -47.38  -2.11 -20.19 2.19 3.61 5.38  1.29 454.0 265893. 35.17 418.8 103467.
 0:10:00 0.32  55.80 121.06  2.61 1667  46.67   408.3 111468. -4.06  1.39 -41.29  -2.70 -24.0111.15 5.5612.99 -1.00  -1.0     -1. 36.98 411.3 112764.
 0:10:41 0.32  55.80 121.05  2.61 1667  22.68   448.2  38611. -2.91-10.09 -34.70   1.68 -36.15 8.83 4.08 7.63 -1.00  -1.0     -1. 18.02 440.9  34258.
 0:11:21 0.32  55.81 121.05  2.61 1667  42.68   425.3 118202. -5.34 -1.80 -44.30  -5.70 -26.35 0.62 4.56 1.35 -1.00  -1.0     -1. 36.09 430.2 128756.
 0:12:02 0.32  55.81 121.04  2.61 1667  41.25   436.0 128954. -4.03 -3.62 -42.69   1.31 -28.62 1.43 6.97 2.43 -1.00  -1.0     -1. 35.97 440.1 152807.
 0:12:42 0.32  55.81 121.04  2.61 1667  42.36   430.3 123510. -0.55 -3.22 -44.14  -0.36 -26.87 1.65 5.84 2.59 -1.00  -1.0     -1. 33.94 425.9 119225.
 0:13:23 0.32  55.81 121.04  2.61 1667  43.14   435.9 136367. -6.89 -3.43 -40.80   7.53 -23.45 2.4619.42 8.36 -1.00  -1.0     -1. 38.00 443.8 176089.
 0:14:03 0.32  55.82 121.03  2.61 1667  45.64   448.8 167653.  1.83 -4.27 -38.46  20.50 -25.19 2.44 9.9813.98 -1.00  -1.0     -1. 38.39 442.8 160935.
 0:14:44 0.32  55.82 121.03  2.61 1667  39.05   438.3 132654.  1.66 -4.33 -45.51   3.63 -17.45 4.5812.2014.74 -1.00  -1.0     -1. 30.70 434.5 109941.
 0:15:24 0.32  55.82 121.03  2.61 1667  46.99   424.9 109463.  0.00  0.00 -49.09 -15.14  -9.36 0.82 3.44 8.69 -1.00  -1.0     -1. 39.00 421.8 105188.
 0:16:05 0.32  55.83 121.03  2.61 1667  43.99   428.5 132816.  0.00  0.00 -48.99 -16.14 -13.28 0.93 2.39 2.14  1.27 477.9 462178. 35.36 426.9 109606.
 0:16:45 0.32  55.83 121.02  2.61 1667  43.84   411.6 103759. -8.92 -0.63 -50.11 -15.30 -10.17 0.26 0.44 0.62  1.25 428.4 346156. 34.82 418.9 101355.
 0:17:26 0.32  55.83 121.01  2.62 1667  45.77   413.5 128986. -9.21 -0.36 -49.62 -16.91  -9.01 1.03 2.93 1.08  1.36 468.5 459852. 38.41 421.1 128951.
