1975/013   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:34 0.89 350.76 119.12 -3.30 1623   4.46   710.1 307798. -1.09  5.32   2.45  -6.44  -7.12 0.33 0.26 0.34  0.21 735.61167366.  4.58 715.3 323546.
 0:01:14 0.89 350.76 119.12 -3.30 1623   4.78   719.3 322091. -1.35  6.11   1.99  -5.78  -7.85 0.50 0.31 0.33  0.19 734.2 787322.  4.58 717.0 313931.
 0:01:55 0.89 350.76 119.11 -3.30 1623   4.61   701.9 316114. -1.24  5.64   3.12  -5.83  -7.17 0.82 0.72 0.83  0.22 738.71028280.  4.60 697.4 306135.
 0:02:35 0.89 350.76 119.10 -3.30 1623   4.71   661.7 271311. -1.95  1.73   7.02  -5.96  -2.01 1.14 1.15 2.01  0.18 715.21095432.  4.77 656.1 252106.
 0:03:16 0.89 350.76 119.10 -3.30 1623   4.75   658.4 303689. -2.05  1.41   8.18  -5.36  -0.80 0.41 0.60 0.79  0.13 715.9 848445.  4.74 662.0 271155.
 0:03:56 0.89 350.76 119.09 -3.30 1623  -1.00    -1.0     -1. -1.00 -1.00   6.65  -5.59  -4.25 0.72 0.69 1.28 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:04:38 0.89 350.76 119.08 -3.30 1623   4.60   670.3 330407. -1.43  2.89   6.64  -5.89  -4.02 0.29 0.37 0.33  0.19 703.2 702499.  4.51 667.4 284877.
 0:05:17 0.89 350.76 119.08 -3.30 1623   4.78   671.4 279211. -1.40  3.71   6.29  -5.88  -4.63 0.35 0.26 0.37  0.18 719.2 961752.  4.67 674.0 332798.
 0:05:58 0.89 350.76 119.07 -3.30 1623   5.08   679.4 319232. -1.50  4.07   5.78  -5.89  -5.09 0.29 0.38 0.34  0.21 727.91140754.  5.01 675.3 289970.
 0:06:38 0.89 350.76 119.06 -3.30 1623   4.88   685.0 288723. -2.10  5.28   5.11  -5.32  -6.25 0.39 0.29 0.37  0.17 734.4 771522.  4.78 685.5 329680.
 0:07:19 0.89 350.76 119.06 -3.30 1623   4.91   692.3 281810. -2.25  5.69   4.60  -5.13  -6.72 0.46 0.56 0.64  0.22 724.91013311.  4.93 690.4 286956.
