1980/243   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:22 0.98  99.76  88.98 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   1.81   2.15   1.95 0.17 0.10 0.20 -1.00  -1.0     -1.  4.03 367.2  50345.
 0:03:04 0.98  99.76  88.96 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   1.51   2.19   2.03 0.11 0.24 0.20 -1.00  -1.0     -1.  3.90 363.8  32972.
 0:05:46 0.98  99.76  88.93 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   0.78   1.97   1.60 0.08 0.20 0.16 -1.00  -1.0     -1.  4.33 357.4  61935.
 0:08:28 0.98  99.76  88.91 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   0.32   1.69   1.11 0.25 0.10 0.20 -1.00  -1.0     -1.  4.70 365.5  70771.
 0:11:10 0.98  99.76  88.88 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   0.07   1.73   0.79 0.12 0.08 0.30 -1.00  -1.0     -1.  4.47 361.4  71723.
 0:13:52 0.98  99.75  88.86 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00  -0.39   2.69   1.35 0.10 0.22 0.22 -1.00  -1.0     -1.  4.64 366.9  68140.
 0:16:34 0.98  99.75  88.83 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   1.76  -1.29   1.33 0.12 0.22 0.20 -1.00  -1.0     -1.  3.96 364.4  54490.
 0:19:16 0.98  99.75  88.80 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   1.35  -0.96   1.28 0.13 0.30 0.17 -1.00  -1.0     -1.  4.42 361.8  45469.
 0:21:58 0.98  99.75  88.78 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   1.51  -1.11   0.92 0.16 0.04 0.18 -1.00  -1.0     -1.  4.03 364.2  52787.
 0:24:40 0.98  99.75  88.76 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   0.28   0.16   1.37 0.17 0.28 0.15 -1.00  -1.0     -1.  3.67 362.4  39453.
 0:27:22 0.98  99.75  88.73 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   0.66  -0.48   1.29 0.08 0.20 0.16 -1.00  -1.0     -1.  3.60 363.1  42487.
 0:30:04 0.98  99.75  88.70 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   0.62  -0.58   1.21 0.16 0.17 0.20 -1.00  -1.0     -1.  4.05 362.1  52225.
 0:32:44 0.98  99.75  88.68 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   0.97   0.30   0.96 0.29 0.21 0.26 -1.00  -1.0     -1.  3.68 361.9  79811.
 0:35:26 0.98  99.75  88.65 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   1.13   0.54   0.80 0.48 0.10 0.28 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:38:08 0.98  99.75  88.63 -0.08 1698  -1.00    -1.0     -1. -1.00 -1.00   2.74  -1.05   0.31 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 1:17:26 0.98  99.74  88.26 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.42 344.0  51560.
 1:28:14 0.98  99.74  88.16 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   1.89  -0.60   0.05 0.35 0.26 0.25 -1.00  -1.0     -1.  3.62 352.2  59850.
 1:29:29 0.98  99.74  88.15 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   1.84  -1.05   0.30 0.00 0.00 0.00 -1.00  -1.0     -1.  3.39 346.2  43935.
 1:40:17 0.98  99.74  88.05 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   1.47  -0.18   0.46 0.10 0.17 0.19 -1.00  -1.0     -1.  3.48 351.2  45046.
 1:51:05 0.98  99.74  87.94 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   2.61   0.28  -0.09 0.05 0.19 0.00 -1.00  -1.0     -1.  3.89 346.4  46911.
 2:01:53 0.98  99.73  87.84 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   1.84  -1.06   0.51 0.01 0.00 0.20 -1.00  -1.0     -1.  4.23 348.4  59362.
 2:12:41 0.98  99.73  87.74 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   1.95  -1.05  -0.29 0.01 0.00 0.20 -1.00  -1.0     -1.  4.07 343.0  44166.
 2:23:29 0.98  99.73  87.64 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   1.68  -1.19  -0.56 0.19 0.09 0.05 -1.00  -1.0     -1.  4.06 339.1  28879.
 2:34:17 0.98  99.73  87.54 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   0.65  -1.57   1.66 0.05 0.00 0.19 -1.00  -1.0     -1.  4.32 348.0  39362.
 2:45:05 0.98  99.73  87.44 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   0.87  -1.47   1.40 0.15 0.10 0.01 -1.00  -1.0     -1.  3.90 354.0  42847.
 3:04:14 0.98  99.72  87.26 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   1.55  -1.18   0.21 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 3:09:56 0.98  99.72  87.21 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.47 351.2  34057.
 3:15:20 0.98  99.72  87.15 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   1.65  -0.98   0.28 0.28 0.25 0.05 -1.00  -1.0     -1.  3.79 352.0  43685.
 3:20:44 0.98  99.72  87.11 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   1.55  -1.25  -0.11 0.00 0.04 0.16 -1.00  -1.0     -1.  4.14 353.9  46706.
 3:22:52 0.98  99.72  87.09 -0.09 1698  -1.00    -1.0     -1. -1.00 -1.00   1.67  -0.82   0.20 0.29 0.32 0.15 -1.00  -1.0     -1.  3.93 350.7  59580.
 3:28:16 0.98  99.72  87.03 -0.10 1698  -1.00    -1.0     -1. -1.00 -1.00   1.85  -0.56   0.12 0.30 0.49 0.39 -1.00  -1.0     -1.  4.02 351.9  53833.
 3:33:40 0.98  99.72  86.98 -0.10 1698  -1.00    -1.0     -1. -1.00 -1.00  -0.02  -0.48   0.89 0.22 0.11 0.00 -1.00  -1.0     -1.  4.00 346.3  38270.
 3:39:04 0.98  99.72  86.93 -0.10 1698  -1.00    -1.0     -1. -1.00 -1.00  -0.52  -0.90   0.81 0.17 0.16 0.16 -1.00  -1.0     -1.  4.26 347.7  45524.
 3:44:28 0.98  99.72  86.88 -0.10 1698  -1.00    -1.0     -1. -1.00 -1.00   0.50  -0.78   0.66 0.28 0.11 0.17 -1.00  -1.0     -1.  4.51 348.3  47931.
 3:49:52 0.98  99.71  86.83 -0.10 1698  -1.00    -1.0     -1. -1.00 -1.00   0.07  -1.31   1.42 0.14 0.40 0.19 -1.00  -1.0     -1.  3.79 348.0  23408.
 3:55:16 0.98  99.71  86.78 -0.10 1698  -1.00    -1.0     -1. -1.00 -1.00  -0.26  -0.67   0.65 0.17 0.10 0.19 -1.00  -1.0     -1.  4.68 344.4  51108.
 4:00:40 0.98  99.71  86.73 -0.10 1698  -1.00    -1.0     -1. -1.00 -1.00  -0.18  -0.95   0.41 0.10 0.29 0.16 -1.00  -1.0     -1.  3.99 343.5  44286.
 4:06:04 0.98  99.71  86.68 -0.10 1698  -1.00    -1.0     -1. -1.00 -1.00   0.12  -0.61   0.98 0.16 0.19 0.16 -1.00  -1.0     -1.  3.81 340.5  32660.
