1980/104   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:23 0.79 274.58 302.68 -4.82 1694  14.83   301.0  84184.  0.22  4.99   5.98  -3.32   0.09 0.30 0.27 0.13 -1.00  -1.0     -1. 14.51 300.4  65122.
 0:01:44 0.79 274.58 302.67 -4.82 1694  14.42   297.5  79688.  0.16  4.80   6.21  -2.87   0.15 0.22 0.21 0.35  0.50 296.8 113215. 14.55 295.3  70440.
 0:03:05 0.79 274.59 302.66 -4.82 1694  15.65   297.6  95544.  0.14  5.00   5.99  -1.83  -0.82 0.13 0.23 0.28 -1.00  -1.0     -1. 15.33 297.6  76839.
 0:06:40 0.79 274.59 302.62 -4.82 1694  -1.00    -1.0     -1. -1.00 -1.00   6.61  -1.83  -0.06 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:12:04 0.79 274.59 302.57 -4.82 1694  -1.00    -1.0     -1. -1.00 -1.00   6.61  -1.83  -0.22 0.00 0.00 0.20 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:12:22 0.79 274.50 302.48 -4.71 1694  -1.00    -1.0     -1. -1.00 -1.00   6.57  -1.75  -0.30 0.08 0.16 0.20 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:13:53 0.79 274.50 302.47 -4.71 1694  -1.00    -1.0     -1. -1.00 -1.00   6.54  -1.57   0.34 0.05 0.17 0.25 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:14:46 0.79 274.59 302.55 -4.82 1694  -1.00    -1.0     -1. -1.00 -1.00   6.84  -1.49   0.59 0.15 0.22 0.17 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:14:47 0.79 274.59 302.55 -4.82 1694  14.59   293.9  85123.  0.77  5.09   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.92 295.8  99140.
 0:15:04 0.79 274.59 302.55 -4.82 1694  14.95   294.9  90044.  0.34  5.48   6.72  -1.39   0.69 0.19 0.15 0.04  0.87 285.7 131290. 15.38 294.1  80406.
 0:16:36 0.79 274.59 302.53 -4.82 1694  15.10   295.7  80113. -0.67  5.49   6.21  -1.35   0.02 0.25 0.10 0.16 -1.00  -1.0     -1. 15.15 294.4  73873.
 0:19:18 0.79 274.59 302.51 -4.82 1694  14.72   292.9  84340.  0.25  5.54   6.17  -2.09  -0.47 0.23 0.26 0.01 -1.00  -1.0     -1. 14.25 295.5  84463.
 0:22:00 0.79 274.59 302.48 -4.82 1694  15.01   294.5  86497. -0.50  5.11   6.45  -1.90  -0.47 0.20 0.10 0.00 -1.00  -1.0     -1. 15.15 293.9  83131.
 0:24:42 0.79 274.59 302.46 -4.82 1694  14.65   292.6  86026. -0.25  5.12   6.34  -1.46  -0.87 0.16 0.08 0.00 -1.00  -1.0     -1. 15.08 295.0  92071.
 0:27:24 0.79 274.59 302.43 -4.83 1694  14.47   294.6  90830. -0.37  5.75   6.22  -1.82  -1.19 0.09 0.24 0.16 -1.00  -1.0     -1. 14.77 293.9  84668.
