1976/307   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:12 0.41 334.81  42.73  6.22 1647  -1.00    -1.0     -1. -1.00 -1.00  14.97   2.08  -1.48 0.20 0.05 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:02:36 0.41 334.81  42.71  6.22 1647  -1.00    -1.0     -1. -1.00 -1.00  14.39   2.25  -1.32 0.07 0.16 0.20 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:08:00 0.41 334.82  42.67  6.22 1647  -1.00    -1.0     -1. -1.00 -1.00  14.55   2.65  -1.48 0.04 0.16 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:15:23 0.41 334.97  42.75  6.32 1647  -1.00    -1.0     -1. -1.00 -1.00  15.87   0.73  -1.07 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:20:47 0.41 334.98  42.71  6.32 1647  92.64   258.7  23499.  2.46 -0.47   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 81.35 256.4  28024.
 0:26:11 0.41 334.99  42.68  6.32 1647  93.77   256.1  25468.  2.36 -0.58  16.26  -0.88  -1.69 0.20 0.20 0.16 -1.00  -1.0     -1. 80.15 254.3  25702.
 0:31:35 0.41 335.00  42.63  6.32 1647 101.97   250.7  28174.  1.73 -0.89  14.87  -1.64  -2.42 0.10 0.15 0.20 -1.00  -1.0     -1. 87.87 248.2  28099.
 0:33:42 0.41 334.88  42.49  6.21 1647  -1.00    -1.0     -1. -1.00 -1.00  14.51  -1.78  -2.26 0.16 0.19 0.16 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:33:55 0.41 335.01  42.62  6.32 1647 103.00   252.2  25676.  0.00  0.00  14.47  -1.48  -2.18 0.20 0.27 0.00 -1.00  -1.0     -1. 87.95 251.2  26758.
 0:39:06 0.41 334.89  42.45  6.21 1647  -1.00    -1.0     -1. -1.00 -1.00  14.55  -2.58  -2.50 0.12 0.04 0.16 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:44:30 0.41 335.03  42.54  6.32 1647  99.01   253.2  28005.  1.41 -0.91  14.45  -2.96  -2.10 0.24 0.24 0.16 -1.00  -1.0     -1. 85.12 251.1  28255.
 0:54:51 0.41 334.92  42.34  6.21 1647  -1.00    -1.0     -1. -1.00 -1.00   9.79  -3.96  -1.23 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:55:31 0.41 335.05  42.46  6.32 1647 103.19   253.7  25880.  1.96 -1.57  10.89  -4.46  -1.22 1.10 0.50 0.01  1.76 244.7  66801. 87.63 252.2  22236.
 0:56:12 0.41 334.92  42.33  6.21 1647  -1.00    -1.0     -1. -1.00 -1.00  12.79  -5.26  -1.20 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:56:52 0.41 334.92  42.33  6.21 1647  -1.00    -1.0     -1. -1.00 -1.00  13.29  -5.06  -1.20 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 1:17:07 0.41 335.09  42.31  6.31 1647  95.32   250.9  21696.  2.39 -1.49  14.68  -3.96  -0.09 0.00 0.00 0.00 -1.00  -1.0     -1. 84.05 249.0  25526.
 1:38:43 0.41 335.14  42.16  6.31 1647  96.43   251.2  26150.  2.68 -2.29  14.33  -6.15   1.41 0.25 0.10 0.20 -1.00  -1.0     -1. 83.78 248.3  25280.
 2:00:20 0.41 335.18  42.00  6.31 1647  98.48   253.3  29044.  2.96 -3.97  13.45  -3.85   5.10 0.00 0.00 0.00 -1.00  -1.0     -1. 84.81 249.8  28599.
 2:20:10 0.41 335.09  41.73  6.19 1647  -1.00    -1.0     -1. -1.00 -1.00  13.38  -2.05   2.70 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 2:21:31 0.41 335.09  41.72  6.19 1647  -1.00    -1.0     -1. -1.00 -1.00  12.77  -2.25   3.10 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 2:21:56 0.41 335.22  41.85  6.30 1647  89.93   257.0  29067.  3.37 -2.36  12.77  -2.25   3.50 0.00 0.00 0.00 -1.00  -1.0     -1. 75.58 253.8  24714.
