1978/304   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 7:24:10 0.29 243.02  58.13  3.04 1674 146.30   277.0 164674. -1.90 -1.32   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.110.47 280.4 159129.
 7:26:52 0.29 243.02  58.11  3.04 1674 137.67   276.4 131397. -1.04 -3.97  39.59  11.47  14.55 0.95 2.78 0.95 -1.00  -1.0     -1.104.59 278.2 130809.
 7:29:34 0.29 243.04  58.10  3.04 1674 153.52   280.5 151534. -3.22 -3.75  37.18  17.23  11.85 1.04 1.35 1.39 -1.00  -1.0     -1.117.92 284.8 154214.
 7:32:16 0.29 243.05  58.09  3.04 1674 148.04   295.9 116717.  1.25 -9.81  31.19  10.15  26.57 0.49 1.00 0.48 -1.00  -1.0     -1.114.72 294.8 115349.
 7:35:00 0.29 243.07  58.08  3.04 1674 120.23   292.1  81559. -2.88-10.13  26.27   0.65  32.94 0.29 1.26 0.54 -1.00  -1.0     -1. 95.72 297.3 102229.
 7:37:42 0.29 243.08  58.06  3.04 1674 135.34   294.7  97022. -3.61 -8.15  31.51  11.49  26.78 1.01 1.70 0.69 -1.00  -1.0     -1.102.02 298.7  96148.
 7:40:24 0.29 243.09  58.05  3.05 1674 134.30   300.8 105864.  0.33-11.37  22.03  30.41  19.87 1.94 2.97 2.28 -1.00  -1.0     -1.103.22 300.9 107781.
 7:43:06 0.29 243.10  58.04  3.05 1674 127.31   306.7  66473. -6.95 -6.17  22.95  21.99  27.74 0.73 1.54 1.60 -1.00  -1.0     -1. 95.92 314.7  67454.
 7:45:48 0.29 243.11  58.03  3.05 1674 141.30   300.1  94524. -6.26 -6.50  24.12  23.81  24.33 1.00 1.16 1.12 -1.00  -1.0     -1.106.54 308.9  86601.
 7:48:30 0.29 243.13  58.02  3.05 1674 141.51   315.6  91740.  2.93  3.84  28.05  11.45 -26.85 5.82 1.73 5.07 -1.00  -1.0     -1.113.14 314.3 104574.
 7:51:12 0.29 243.14  58.01  3.05 1674 153.97   284.6 151005. -2.53 -2.11  40.65   9.88   3.31 0.53 1.60 2.21 -1.00  -1.0     -1.117.65 287.2 151108.
 7:53:54 0.29 243.15  57.99  3.05 1674 143.81   291.9 124305. -0.27 -9.30  30.50  22.57  14.38 1.32 1.89 1.54 -1.00  -1.0     -1.110.14 294.1 149351.
 7:56:36 0.29 243.16  57.98  3.06 1674 126.40   293.0 121596. -2.10  0.00  34.23  13.21   5.51 2.74 8.25 3.09 -1.00  -1.0     -1. 97.66 295.5 124699.
 7:59:18 0.29 243.18  57.97  3.06 1674 147.79   297.4  96057. -6.98 -1.52  26.16  29.69  -0.10 1.98 1.78 5.14 -1.00  -1.0     -1.112.40 304.7  97441.
 8:02:00 0.29 243.19  57.96  3.06 1674 112.11   289.5  80354. -3.83  0.69  28.80  26.87   0.66 1.56 1.94 3.29 -1.00  -1.0     -1. 89.02 295.6 105377.
 8:04:42 0.29 243.20  57.94  3.06 1674 152.52   292.4 107456. -6.05 -3.83  30.20  27.13   2.66 1.13 1.67 2.65 -1.00  -1.0     -1.112.24 300.4  94660.
 8:07:24 0.29 243.21  57.93  3.06 1674 135.85   285.8  95134. -4.82 -1.69  30.58  26.99   0.34 1.98 1.97 0.38 -1.00  -1.0     -1.109.72 292.4 114297.
 8:10:06 0.29 243.23  57.92  3.06 1674 133.38   287.9 107582. -5.10 -2.15  33.85  21.35  -2.33 1.75 3.08 2.94 -1.00  -1.0     -1.101.37 292.8 107781.
 8:12:48 0.29 243.24  57.91  3.07 1674 141.02   286.1  93689. -3.87  1.49  32.20  21.35  -9.72 0.49 3.19 6.54 -1.00  -1.0     -1.111.34 292.2 114547.
 8:15:30 0.29 243.25  57.90  3.07 1674 138.93   303.8  96778.  0.00-11.23  21.75  16.96  23.73 1.92 7.31 6.45 -1.00  -1.0     -1.112.13 302.1  95544.
