1978/079   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:02:49 0.75 337.49 250.62 -7.14 1666  47.42   359.3  22642.  4.63 -0.04   6.30   0.75 -10.63 0.09 0.19 0.19  1.02 352.9  62942. 41.51 357.1  25146.
 1:05:39 0.75 337.49 250.05 -7.14 1666  48.39   357.5  20179.  4.52  0.19   7.28   1.70 -12.40 0.26 0.40 0.29  1.80 357.3  45816. 38.12 354.8  21664.
 1:06:16 0.75 337.49 250.05 -7.14 1666  44.61   358.0  20988.  4.33  0.25   7.55   3.02 -11.76 0.22 0.22 0.22  1.12 350.5  38319. 37.11 355.4  20173.
 1:06:36 0.75 337.49 250.04 -7.14 1666  44.61   358.0  20979.  4.33  0.25   7.56   2.99 -11.78 0.21 0.14 0.23  1.12 350.5  38371. 37.11 355.4  20173.
 1:06:56 0.75 337.49 250.04 -7.14 1666  48.46   357.4  20326.  4.27  0.32   7.63   2.70 -11.86 0.17 0.32 0.34  1.50 356.3  45517. 38.97 355.0  21206.
 1:07:37 0.75 337.49 250.04 -7.14 1666  43.79   357.7  22596.  4.26  0.21   7.61   2.58 -12.06 0.22 0.30 0.32  1.15 350.7  38631. 38.35 355.9  24899.
 1:08:17 0.75 337.49 250.03 -7.14 1666  45.20   358.8  22879.  4.23  0.04   7.61   1.87 -12.06 0.21 0.67 0.39  1.69 357.3  44452. 36.40 356.4  23028.
 1:08:58 0.75 337.49 250.02 -7.14 1666  43.87   359.3  22249.  4.06  0.25   7.28   1.16 -11.71 0.22 0.56 0.55  1.04 352.4  59317. 38.48 357.5  25237.
 1:09:38 0.75 337.49 250.02 -7.14 1666  48.01   358.0  22820.  3.64  0.07   7.46   2.59 -11.02 0.25 0.42 0.43  1.47 354.0  36889. 40.97 355.6  23373.
 1:10:19 0.75 337.49 250.01 -7.14 1666  50.04   358.1  23288.  3.51  0.30   7.45   1.41 -12.06 0.23 0.31 0.34  1.38 351.8  48922. 41.83 356.4  25241.
 1:10:59 0.75 337.49 250.01 -7.14 1666  43.18   357.9  23158.  3.56  0.51   7.32   1.95 -11.66 0.49 0.67 0.64  0.94 352.4  55705. 37.75 355.2  23594.
 1:11:40 0.75 337.49 250.00 -7.14 1666  51.74   358.6  22937.  3.40  0.27   6.38   2.76 -11.01 0.53 0.44 0.66  1.24 349.1  43166. 43.31 357.0  25276.
 1:12:20 0.75 337.49 249.99 -7.14 1666  54.02   358.7  22271.  3.90  0.27   5.42   4.27 -10.45 0.70 0.84 0.66  1.86 355.4  41931. 45.65 356.4  22145.
 1:13:01 0.75 337.49 249.99 -7.14 1666  58.43   359.7  21904.  3.16  0.15   5.07   5.75  -9.51 0.99 0.70 0.57  1.33 350.2  37747. 47.55 358.2  25247.
