1976/197   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:18:24 0.98 178.90 259.92 -4.23 1643   7.32   383.3  53038.  1.33  3.23   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.72 380.6  52671.
 1:01:36 0.98 178.90 259.51 -4.23 1643   6.13   389.6  69001.  0.01  2.60   0.00   0.00   0.00 0.00 0.00 0.00  0.21 383.1 191932.  5.64 389.6  61272.
 1:44:48 0.98 178.89 259.11 -4.24 1643   5.91   383.8  61328.  0.63  2.20   0.00   0.00   0.00 0.00 0.00 0.00  0.14 373.9 235292.  5.32 384.0  71888.
