1979/187   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 5:02:13 0.84 121.36 266.30  3.71 1683  30.48   560.2  16798. -2.58  5.52   0.00   0.00   0.00 0.00 0.00 0.00  1.02 572.9  90125. 12.70 559.9  40015.
 5:13:01 0.84 121.36 266.20  3.71 1683  24.37   441.6  19130. -1.62  2.40   0.00   0.00   0.00 0.00 0.00 0.00  2.22 444.5  59772. 23.30 441.8  21485.
 5:23:49 0.84 121.36 266.10  3.70 1683  16.64   436.3  15911. -1.81  2.05   0.00   0.00   0.00 0.00 0.00 0.00  0.10 481.3 139307. 24.28 438.4  13387.
 5:31:03 0.84 121.36 266.03  3.70 1683  20.65   442.7  12487. -1.65  1.96   0.00   0.00   0.00 0.00 0.00 0.00  2.43 448.0  43854. 21.55 446.3  15573.
 5:41:51 0.84 121.36 265.93  3.70 1683  11.59   439.7  19634. -1.33  1.87   2.18  13.01  -7.06 0.14 0.09 0.19  0.05 486.6 147701. 23.50 439.9  10811.
 5:52:39 0.84 121.36 265.83  3.70 1683  26.46   439.6  11795. -1.61  1.76   0.79  12.84  -7.34 0.00 0.00 0.00  1.51 446.5  56432. 19.90 438.8  16229.
 6:03:27 0.84 121.36 265.73  3.70 1683  16.16   439.8  18877. -1.22  1.74   3.21  12.61  -7.08 0.19 0.09 0.17  1.81 429.7  39150. 24.92 439.3  11457.
 6:14:15 0.84 121.36 265.64  3.70 1683  17.69   444.2  18331. -1.57  2.28   0.68  13.00  -7.54 0.10 0.15 0.20  1.66 446.1  46232. 20.40 445.9  19049.
 6:25:03 0.84 121.36 265.54  3.70 1683  22.90   439.9  17363. -2.76  1.41   1.68  14.10  -4.66 0.19 0.09 0.19  0.07 486.1 134434. 22.15 439.9  12919.
 6:35:51 0.84 121.36 265.44  3.70 1683  28.93   433.7  14410. -1.21  1.80   3.65  12.83  -5.41 0.20 0.10 0.00  0.81 432.8 105484. 24.49 432.2  17743.
 6:46:39 0.84 121.36 265.34  3.70 1683  24.41   432.7  17421. -1.83  2.03   1.94  12.63  -5.20 0.57 0.33 0.18  1.92 430.8  38241. 25.82 435.0  14397.
 6:57:25 0.84 121.36 265.24  3.70 1683  23.50   435.9  13968.  0.00  0.00   1.08  13.17  -4.34 0.45 0.05 0.21  1.14 441.3  82303. 25.65 433.8  17158.
