1978/179   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 3:53:06 0.89 173.32 202.34 -1.72 1669  -1.00    -1.0     -1. -1.00 -1.00  -7.56   2.42  -3.53 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 4:55:30 0.89 173.32 201.76 -1.72 1669  16.59   342.3  47993.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 5:38:42 0.89 173.32 201.36 -1.72 1669  15.72   350.1  31010.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  0.13 345.1 138709. 14.73 349.1  30185.
