1984/051   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:16:11 0.64 227.86  31.47  6.09 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  9.21 727.6 422559.
 0:59:23 0.64 227.87  31.09  6.09 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  8.92 738.8 375106.
 6:33:00 0.64 228.02  28.19  6.06 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.28 719.9 272559.
 7:38:54 0.64 228.05  27.62  6.06 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.84 755.8 305719.
 7:41:36 0.64 228.05  27.59  6.06 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.14 773.8 342673.
 7:43:27 0.64 228.05  27.58  6.06 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.25 730.0 231394.
 7:46:09 0.64 228.05  27.55  6.06 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.41 737.3 295844.
 7:48:51 0.64 228.05  27.53  6.06 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.92 728.9 257954.
 7:51:30 0.64 228.06  27.50  6.06 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.65 746.6 299014.
 7:54:12 0.64 228.06  27.48  6.06 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.73 745.9 311852.
 8:35:54 0.64 228.07  27.12  6.05 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.26 728.9 236644.
 8:38:36 0.64 228.08  27.10  6.05 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.98 749.3 293609.
 8:41:18 0.64 228.08  27.07  6.05 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.29 756.1 280251.
 8:44:00 0.64 228.08  27.05  6.05 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.96 774.5 322143.
 8:46:45 0.64 228.08  27.02  6.05 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.72 771.0 352393.
 8:49:27 0.64 228.08  27.00  6.05 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.90 748.7 333162.
 8:52:09 0.64 228.08  26.98  6.05 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.34 750.7 389035.
15:19:38 0.65 228.25  23.60  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.54 726.2 326665.
16:02:50 0.65 228.26  23.22  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.56 723.3 354368.
16:29:32 0.65 228.28  22.99  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.48 762.5 447560.
16:32:14 0.65 228.28  22.96  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.83 792.8 437788.
16:33:28 0.65 228.28  22.95  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.46 774.0 483994.
16:36:10 0.65 228.28  22.93  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.61 762.6 408422.
16:38:52 0.65 228.28  22.90  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.77 746.4 378380.
16:41:34 0.65 228.28  22.88  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.29 742.9 478589.
16:44:16 0.65 228.28  22.86  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.47 747.3 353120.
16:46:58 0.65 228.28  22.83  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.55 782.9 425314.
16:49:40 0.65 228.28  22.81  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.20 756.6 368349.
16:52:22 0.65 228.29  22.79  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.10 763.0 450366.
16:55:04 0.65 228.29  22.76  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.01 756.2 388879.
16:57:46 0.65 228.29  22.74  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.96 773.3 427289.
17:00:28 0.65 228.29  22.72  6.02 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.50 734.0 384929.
17:03:10 0.65 228.29  22.69  6.01 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.05 736.0 310760.
17:05:52 0.65 228.29  22.67  6.01 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.13 732.1 323442.
17:08:34 0.65 228.29  22.65  6.01 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.89 728.6 321156.
17:11:16 0.65 228.29  22.62  6.01 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.57 735.0 331603.
17:13:58 0.65 228.29  22.60  6.01 1745  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.11 724.5 311228.
