1982/019   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:08:45 0.62 257.29  37.41  6.25 1717  20.25   363.2  64615. -3.04 -1.87   0.00   0.00   0.00 0.00 0.00 0.00  0.33 370.7 142672. 20.72 362.0  63628.
 0:30:21 0.62 257.30  37.22  6.25 1717  20.51   359.7 107426. -2.74 -0.66   0.00   0.00   0.00 0.00 0.00 0.00  0.38 382.2 223481. 20.45 360.8  93185.
 0:51:57 0.62 257.31  37.04  6.25 1717  23.56   338.7 132865. -4.89 -3.05   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 24.45 341.8 116201.
 1:13:33 0.62 257.32  36.85  6.25 1717  21.26   336.3 129409. -0.90  5.02   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.58 338.5 132547.
 1:35:09 0.62 257.34  36.66  6.25 1717  22.04   333.9 151563. -4.43  4.98   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.58 334.7 141487.
 1:56:45 0.62 257.35  36.48  6.25 1717  20.81   340.4 116503.  1.76 -4.08   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.68 338.5 104074.
 2:18:21 0.62 257.36  36.29  6.24 1717  21.65   340.8  74932.  1.44 -2.25   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.85 338.7  63105.
 2:39:57 0.62 257.37  36.10  6.24 1717  21.51   333.4  60392.  3.67 -2.46   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.84 330.1  68390.
 3:01:33 0.62 257.38  35.91  6.24 1717  23.99   348.8  43848.  2.92 -4.07   0.00   0.00   0.00 0.00 0.00 0.00  0.44 348.7 167439. 23.08 346.4  39917.
 3:23:10 0.62 257.39  35.73  6.24 1717  23.30   335.8  59668.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 24.45 335.9  63036.
 3:51:27 0.63 257.40  35.49  6.24 1717  22.56   314.9  50579.  4.53  0.56   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.51 310.1  45017.
