1979/030   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:08:06 0.98 342.07  43.23 -4.23 1677   3.01   454.5 108521. -5.84  0.22   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.01 459.0 105422.
 0:18:54 0.98 342.06  43.13 -4.24 1677   2.36   443.1 102518. -4.18 -1.15   0.00   0.00   0.00 0.00 0.00 0.00  0.10 488.5 294388.  2.62 443.1 100371.
 0:29:42 0.98 342.06  43.02 -4.24 1677   2.58   436.5  83615. -3.49 -1.24   0.00   0.00   0.00 0.00 0.00 0.00  0.08 460.5 323741.  2.46 438.6  79977.
 0:40:30 0.98 342.06  42.92 -4.24 1677   2.89   438.4  84021. -4.14 -0.71   0.00   0.00   0.00 0.00 0.00 0.00  0.05 486.3 288008.  2.90 437.4  80688.
 0:51:18 0.98 342.06  42.82 -4.24 1677   2.74   430.4  68231. -2.58 -1.27   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.80 433.6  83268.
 1:02:06 0.98 342.05  42.72 -4.24 1677   3.17   423.5  79565. -2.33 -0.17   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.91 426.1  63884.
 1:12:54 0.98 342.05  42.62 -4.24 1677   2.79   428.1  64657. -2.53 -0.72   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.74 427.0  57797.
 1:23:42 0.98 342.05  42.52 -4.24 1677   3.08   438.9  79022. -4.41 -2.68   0.00   0.00   0.00 0.00 0.00 0.00  0.07 464.5 299625.  3.10 438.9  76943.
 1:34:30 0.98 342.05  42.42 -4.24 1677   3.12   417.5  60743. -0.73  2.89   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.98 417.4  60600.
 1:45:18 0.98 342.04  42.31 -4.24 1677   2.70   418.1  54275. -2.26  1.54   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.84 422.3  75056.
 1:56:06 0.98 342.04  42.21 -4.24 1677   2.98   418.8  57696. -1.19  1.24   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  2.89 417.8  54444.
 2:06:54 0.98 342.04  42.11 -4.24 1677   3.19   412.9  49156.  0.33  0.94   0.00   0.00   0.00 0.00 0.00 0.00  0.27 368.1 230732.  3.01 412.4  46615.
